Book of Love, Boy
Kon Kan, I Beg Your Pardon (I Never Promised You a Rose Garden)
Anything Box, When We Lie
Beach Bunny, Clueless
Mal Blum, Better Go
Schande, Gregor Macgregor
Wild Nothing, Summer Holiday
Alvvays, Atop a Cake
Mediocre, Litterbug!
Remember Sports, Where Are You
Yo La Tengo, Nothing to Hide
illuminati hotties, What's the Fuzz
Hazel English, Summer Nights
Real Estate, Daniel
The Clientele, Trains in the Night
The Beatles, It's Only Love
The Kinks, Waterloo Sunset (Stereo Mix)
The Green Pajamas, I Have Touched Madness
Matthew Sweet, We're the Same
Teenage Fanclub, About You
The School, Put Your Hand In Mine
The Softies, California Highway 99
Bon Iver, S P E Y S I D E
Haley Heynderickx, Foxglove
DeYarmond Edison, Dead Anchor
Fleet Foxes, Helplessness Blues
Son Volt, Tear Stained Eye
Waxahatchee, Much Ado About Nothing
Drive-By Truckers, Maria's Awful Disclosures
Bright Eyes & Alex Orange Drink, Rainbow Overpass
Temple of the Dog, Hunger Strike
Gang Of Four, I Found That Essence Rare
Rocket from the Tombs, I Sell Soul
Goldfinger, Here In Your Bedroom
Kate Bush, Suspended In Gaffa
Queen, Death On Two Legs (Dedicated To...)
Was (Not Was), Out Come the Freaks
Ween, Roses Are Free
Impact Driver, Cuppa Ambition
Deep Purple, Maybe I'm a Leo
Nick Lowe & Los Straitjackets, Jet Pac Boomerang
Martha & The Muffins, Cooling The Medium
Sonic Youth, The Neutral
Bram Tchaikovsky, Girl of My Dreams
The dB's, Big Brown Eyes
The Soft Boys, Let Me Put It Next to You
The Flamin' Groovies, Please Please Girl
The Holy Modal Rounders, Euphoria
The Who, I Can't Explain
Liam Lynch, United States of Whatever
Devo, Too Much Paranoias
The Belairs, Mr. Moto
Mission of Burma, This Is Not a Photograph
The Ramones, I Can't Give You Anything
November Group, Flatland
Dragon, Rain
Visage, Fade to Grey
Lettuce, Silverdome
Joe Strummer & The Mescaleros, Get Down Moses
Talking Heads, Love -> Building On Fire
Bis, The Powerpuff Girls (End Theme)
Social Distortion, Bad Luck
The Dictators, Stay With Me
LCD Soundsystem, Daft Punk Is Playing At My House
Ian Hunter, Just Another Night
Glen Campbell, Good Riddance (Time of Your Life)
Margo Price, Fight to Make It (feat. Mavis Staples & Adia Victoria)
Taylor Swift, Florida!!! (feat. Florence + The Machine)
Chappell Roan, Good Luck, Babe!
The Bourbon Tabernacle Choir, While We've Got Your Attention I'd Like To Point Out A Couple Of Things
Sharon Jones & The Dap-Kings, People Don't Get What They Deserve
Mother's Finest, Truth'll Set You Free > Can't Fight the Feeling (Live at the Print Shop)
Parliament, Chocolate City
Gary Clark Jr., What About The Children (feat. Stevie Wonder)
Orville Peck, Death Valley High (feat. Beck)
Alabama 3, Get On This One
Drive-By Truckers, Thoughts and Prayers
The Donnas, Strutter
Queen, Somebody To Love
KISS, Calling Dr. Love
Cheap Trick, Surrender
They Might Be Giants, Doctor Worm
Hallelujah The Hills, I'm In The Phone Book,I'm On The Planet,I'm Dying Slowly
Bend Sinister, Big Star
Flatfoot 56, Electric Avenue
Cheap Perfume, It's Okay to Punch Nazis
Cherry Glazerr, Told You I'd Be with the Guys
Glam Skanks, Miss Androgynous
The Weekend, Workin' For The Weekend
Louise Post, You Get High
Blondie, Gravity
Metric, Youth Without Youth
The Raveonettes, Uncertain Times
Liquid Liquid, Cavern
Squeeze, Cool For Cats
Tin Tin, Kiss Me
Express Therapy, Me & Myself
The Undertones, Wednesday Week
The Vapors, Turning Japanese
Christian Kleine, Friday End
Jawbox, Cooling Card
Sugar, A Good Idea
Entropy (DE), Kenoma
Fretblanket, Twisted
Dragmules, Send Away
Christian Kleine, Lucien
Lush, Nothing Natural
Mo Dotti, wasted delay
Drop Nineteens, Angel
The Ropers, It's So Strange
Christian Kleine, TV
Gary Numan, Me! I Disconnect from You
The Flying Lizards, Money
Allie X, Girl With No Face
The Bongos, Apache Dancing
Christian Kleine, Statues
The Names, Calcutta
The Occasion, No Future
Siouxsie and the Banshees, Swimming Horses
The Cure, Birdmad Girl
Christian Kleine, TVZ
Mavis Piggott, Keeping Still
Frosted, Hey Girl
Janelane, Think I'd Be Fine Without You
that dog., He's Kissing Christian
Team Dresch, She's Crushing My Mind
Christian Kleine, Delicious
Mallcops, Fear of Missing Out
Lady Pills, BN2B
Winkler, Bazooka Baby
Deer Isle, Six O'Clock
Jake McKelvie, Once Unseated
Otis Shanty, Outrage
Boo Boo Spoiler, boo boo 4ever
The Collect Pond, Sympathetic Hero
MJ Lenderman, You Don't Know The Shape I'm In
Merce Lemon, Crow
Clinic Stars, Isn't It
Belong, Difficult Boy
Xiu Xiu, Common Loon
fantasy of a broken heart, Doughland
Peel Dream Magazine, Lie In the Gutter
Porches, Crying At The End
Midwife, Better Off Alone
Trace Mountains, Gone & Done
Starcleaner Reunion, Snowfeel
Fievel Is Glauque, As Above So Below
Being Dead, Goodnight
Elias Rønnenfelt, No One Else
Spiral XP, Sinner
skirts, Run
Shower Curtain, benadryl man
Fashion Club, Confusion
Open Head, Catacomb
SPIRIT OF THE BEEHIVE, STRANGER ALIVE
They Are Gutting a Body of Water Remix, shaniatwainlovestory
COUCOU CHLOE, GUESS
yunè pinku, Half Alive
Rolling Mix, Femme Fatale
Sangre Nueva & Florentino, Toka
They Hate Change, Doe
HiTech, SPANK!
Susobrino & Dj Fucci, Esquites
Indigo De Souza, EVIL
Parquet Courts, Walking at a Downtown Pace
The Outlets, Knock Me Down
Cloud Nothings, Stay Useless
Control Top, Chain Reaction
Beeef, Nice Clean Shirt
Speedy Ortiz, Scabs
Buffalo Tom, Tangerine
THUS LOVE, Put On Dog
Squirrel Flower, Intheskatepark
Juliana Hatfield, Mouthful of Blood
Colleen Green, TV
Mean Creek, Cool Town
Alvvays, After The Earthquake
Courtney Barnett, Pedestrian at Best
Eagulls, Possessed
The So So Glos, Dancing Industry
Dehd, Dog Days
TORRES, Collect
Closetalker, J Masochist
Silicon Values, What Do You Hate
Pardoner, When She's Next To Me
Memo PST, Platform Damage
