The Posies, Hate Song
Visage, Tar
Johnny Thunders & The Heartbreakers, Chinese Rocks
Slade, Gudbuy T'Jane
Free, I'm a Mover
Fantastic Negrito, Working Poor
Soundgarden, Spoonman
Tanya Donelly, Pretty Deep
Oingo Boingo, Only A Lad
Blue Öyster Cult, Cities On Flame With Rock and Roll
Midnight Oil, Blue Sky Mine
Shawn Lee's Ping Pong Orchestra, Trick Me
The Coathangers, One Way Or Another
Elvis Costello & The Attractions, I Can't Stand Up For Falling Down
The Vibrators, Bad Time
Nebula, Come Down
Banda Black Rio, Maria Fumaça
Weedeater, Wizard Fight
Queens of the Stone Age, Medication
Mose Allison, I'm the Wild Man
The Sadies, Medicine Ball
Camper Van Beethoven, Wasted
The Jam, Start!
Cabaret Voltaire, James Brown (7'' Version)
Black Mountain, Don't Run Our Hearts Around
Manic Street Preachers, Decline & Fall
The Cure, Boys Don't Cry
The Dream Syndicate, Tell Me When It's Over
Fatboy Slim, Michael Jackson
Urge Overkill, The Candidate
Elastica, Stutter
The Empty Hearts, The World's Gone Insane
Superchunk, I Hate History
X, Sex And Dying In High Society
MONO, Halcyon (Beautiful Days)
Shellac, The End of Radio
Pigface, Suck
Leonard Nimoy, Music to Watch Space Girls By
Jawbreaker, The Boat Dreams From the Hill
The Breeders, Lime House
Big Black, The Model
Screaming Females, It All Means Nothing
Superchunk, Throwing Things
Pixies, Cactus
Low, Sunflower
Nirvana, All Apologies (Original Steve Albini 1993 Mix)
The Jesus Lizard, Mouth Breather
McLusky, To Hell With Good Intentions
Brainiac, Noth1ng 3V3r Chan935
Cloud Nothings, Stay Useless
Cheap Trick, Brontosaurus
Shadowy Men On A Shadowy Planet, Spy School Graduation Theme
Guided By Voices, Big Boring Wedding
Slint, Glenn
PJ Harvey, Rub 'Til It Bleeds
Joanna Newsom, Cosmia
Songs: Ohia, Farewell Transmission
Beastie Boys, Multilateral Nuclear Disarmament (Instrumental Loop)
Juliana Hatfield, Telephone Line
Ramones, I Wanna Be Your Boyfriend
Colleen Green, TV
Omni, Plastic Pyramid
Nabihah Iqbal, This World Couldn’t See Us
Mahjongg, The Rrabbitt
Madness, Baggy Trousers
They Might Be Giants, Man, It's So Loud In Here
Prince, I Could Never Take The Place Of Your Man
Cyndi Lauper, She Bop (7" Single Remix)
New Order, Love Vigilantes
Tribe, Joyride (I Saw The Film)
The Cure, Mr. Pink Eyes
"Weird Al" Yankovic, Attack of the Radioactive Hamsters from a Planet Near Mars
Walt Disney World, Tomorrowland Area Loop (First Movement)
Peter Fernandez and Keith Messier, Popcorn
RuPaul, Call Me Mother
Underworld, Two Months Off
Emergency Broadcast Network, Electronic Behavior Control System
Pob, Bluebottle
Power-Pill, Pac-Man (Original Full Version)
Saint Etienne, Stormtrooper In Drag
Transa, Enervate (Original Mix)
Lost Tribe, Gamemaster (Original Mix)
Dream Traveler, Time (Original Version)
Still Corners, The Message
David Bowie, "Heroes"
Hallelujah The Hills, Here Goes Nothing
U2, Drowning Man
Minutemen, The Price of Paradise
The Stranglers, No More Heroes (Edit)
Nirvana, Dumb (Steve Albini 2013 Mix)
The Wedding Present, Corduroy
Chuck Mangione, Cannonball Run Theme
Big Black, Kerosene
Talking Heads, Love for Sale
Wildhoney, Slow Motion
Seaweed Mustache, Flush
trauma ray, Bishop
DJ Sabrina The Teenage DJ, You('ll Always) Own My Heart
Hotline TNT, I Thought You'd Change (DJ Sabrina The Teenage DJ Remix)
The Field, Istedgade
Hot Chip, Flutes
Jungle, Beat 54 (All Good Now)
Caribou, Come Find Me
Clairo, Love Songs
Tchotchke, You'll Remember Me
The Lemon Twigs, The One
Foxygen, How Can You Really
Whitney, No Matter Where We Go
TOPS, Direct Sunlight
Destroyer, New Ways of Living
JW Francis, Mississippi
Mt. Misery, Waking Up
Daughter of Swords, Alone Together
Wild Cub, Thunder Clatter
Tegan and Sara, Back In Your Head
Best Coast, Bratty B
Toro y Moi, Empty Nesters
Ducktails, Under Cover
The Sea and Cake, I Should Care
The Hard Quartet, Hey
Guns N' Roses, Paradise City
Lankum, What Will We Do When We Have No Money?
Gillian Welch, Wayside/Back in Time
Momentum, Relapse
Bicycle Inn, Leap Year
Billy Woods & Kenny Segal, Soft Landing
