Wildhoney, Slow Motion
Seaweed Mustache, Flush
trauma ray, Bishop
DJ Sabrina The Teenage DJ, You('ll Always) Own My Heart
Hotline TNT, I Thought You'd Change (DJ Sabrina The Teenage DJ Remix)
The Field, Istedgade
Hot Chip, Flutes
Jungle, Beat 54 (All Good Now)
Caribou, Come Find Me
Clairo, Love Songs
Tchotchke, You'll Remember Me
The Lemon Twigs, The One
Foxygen, How Can You Really
Whitney, No Matter Where We Go
TOPS, Direct Sunlight
Destroyer, New Ways of Living
JW Francis, Mississippi
Mt. Misery, Waking Up
Daughter of Swords, Alone Together
Wild Cub, Thunder Clatter
Tegan and Sara, Back In Your Head
Best Coast, Bratty B
Toro y Moi, Empty Nesters
Ducktails, Under Cover
The Sea and Cake, I Should Care
The Hard Quartet, Hey
Guns N' Roses, Paradise City
The Posies, Hate Song
Visage, Tar
Johnny Thunders & The Heartbreakers, Chinese Rocks
Slade, Gudbuy T'Jane
Free, I'm a Mover
Fantastic Negrito, Working Poor
Soundgarden, Spoonman
Tanya Donelly, Pretty Deep
Oingo Boingo, Only A Lad
Blue Öyster Cult, Cities On Flame With Rock and Roll
Midnight Oil, Blue Sky Mine
Shawn Lee's Ping Pong Orchestra, Trick Me
The Coathangers, One Way Or Another
Elvis Costello & The Attractions, I Can't Stand Up For Falling Down
The Vibrators, Bad Time
Nebula, Come Down
Banda Black Rio, Maria Fumaça
Weedeater, Wizard Fight
Queens of the Stone Age, Medication
Mose Allison, I'm the Wild Man
The Sadies, Medicine Ball
Camper Van Beethoven, Wasted
The Jam, Start!
Cabaret Voltaire, James Brown (7'' Version)
Black Mountain, Don't Run Our Hearts Around
Manic Street Preachers, Decline & Fall
The Cure, Boys Don't Cry
The Dream Syndicate, Tell Me When It's Over
Fatboy Slim, Michael Jackson
Urge Overkill, The Candidate
Elastica, Stutter
The Empty Hearts, The World's Gone Insane
Superchunk, I Hate History
X, Sex And Dying In High Society
The Revillos, Your Baby's Gone
Detroit Cobras, Bye Bye Baby
Ko & The Knockouts, I Really Hate You
The Saw Doctors, That's What She Said Last Night
Dust Rhinos, Don't Come Knocking
Levellers, The Recruiting Sergeant (War Child Version)
The Stanfields, Mrs. McGrath
The Dreadnoughts, The Cruel Wars
Kilmaine Saints, The Fields of Athenry
