Ready for the World, Oh Sheila
Chromeo, Come Alive (feat. Toro Y Moi)
Giorgio Moroder, La Disco
Orbital, P.H.U.K.
Deorro, Bailar (feat. Pitbull & Elvis Crespo)
Robyn, Call Your Girlfriend
Rihanna, S&M
Britney Spears, Till The World Ends
Fedde Le Grand, Put Your Hands Up for Detroit (Radio Edit)
Depeche Mode, Just Can't Get Enough (Dirty South Mix)
Whodini & DJ Icey, Five Minutes of Funk (Icey's 7" Magic)
Dis N' Dat, Party (feat. 69 Boyz & Quad City D.J.'s)
Duice, Dazzey Duks
Splack Pack, Shake That Ass Bitch [Blutarski Still-Explicit Radio-Only Edit]
Iggy & The Stooges / Salt-N-Pepa, No Fun / Push It
The Grid, Swamp Thing
Power-Pill, Pac-Man (Original Full Version)
LCD Soundsystem, Tribulations
W&W, Hardwell & Lil Jon, Live the Night
DJs from Mars, Phat Ass Drop (How To Produce a Club Track Today) [Main Radio Edit]
Lords of Acid, Let's Get High
One Direction, Live While We're Young
*NSYNC, Pop (Radio Version)
L.A. Style, James Brown Is Dead
Daft Punk, Derezzed
The Crystal Method, Trip Like I Do
Digikid84, Bboy Underground
The Gap Band, You Dropped a Bomb On Me
The Stone Roses, She Bangs the Drums
Sinéad O'Connor, Mandinka
Paul Simon, Kodachrome
Daniel Lanois, Sleeping In The Devil's Bed
U2, With or Without You
Joy Division, Shadowplay
Iron Maiden, Wasted Years
Concrete Blonde, Dance Along the Edge
Creedence Clearwater Revival, Born On The Bayou
LCD Soundsystem, Bye Bye Bayou
Liz Phair, Johnny Sunshine
Pixies, Tony's Theme
The Magnetic Fields, The Luckiest Guy On The Lower East Side
The Mountain Goats, The Best Ever Death Metal Band in Denton
Tenacious D, Wonderboy
HomeStar Runner, Trogdor
The Replacements, Bastards of Young
D-Tension, Kenmore Square
The Mighty Mighty Bosstones, They Came To Boston
Tove Lo, Habits (Stay High)
Annie, April (feat. Richard X)
The 1975, Somebody Else
Al Green, Let's Stay Together
Beastie Boys, Get It Together
Björk, Possibly Maybe
Peter Gabriel, Games Without Frontiers (Massive/DB Mix)
Still Corners, Black Lagoon
