Quincy Jones, Something Special
George Benson, Love X Love
Steely Dan, Kid Charlemagne
Sharon Van Etten, Afterlife
The Cure, The End of the World
2nd Grade, Triple Bypass In B-Flat
The Happy Somethings, Bed Friend
Chime School, Taking Time to Tell You
Belle and Sebastian, Me and the Major
Stereolab, Laissez Faire
U.S. Highball, Which Way is Up
Slaughter Beach, Dog, Pretty O.K.
Alanis Morissette, Head over Feet
Pom Pom Squad, Messages
OMBIIGIZI, Street Names and Land Claims
Titus Andronicus, Titus Andronicus
Cloud Nothings, I'm Not Part Of Me
Jeff Rosenstock, All This Useless Energy
Car Seat Headrest, Bodys
Pardoner, Future of Music
Mannequin Pussy, Aching
The Clash, I'm So Bored with the U.S.A.
Ramones, Bonzo Goes to Bitburg
Stiff Little Fingers, Barbed Wire Love
Generation X, Dancing with Myself
Vampire Weekend, A-Punk
TV on the Radio, Wolf Like Me
Soft Kill, Wanting War
Nothing, Bent Nail
Cold Cave, She Reigns Down
NESYA, Delulu
Xeno & Oaklander, Magic of the Manifold
Van Halen, Runnin' with the Devil
The Boomtown Rats, Lookin' After No. 1
The Courettes, California
Julian Cope, World Shut Your Mouth
Dan Baird, On My Way
Hayley and the Crushers, Blood and Treasure
Yeah Yeah Yeahs, Y Control (Brooklyn Fire Retouch)
Little Steven & The Disciples of Soul, Lyin' In a Bed of Fire
Suzi Quatro, 48 Crash
Motorists, Call Control
Huey Lewis & The News, Hip to Be Square
Joni Mitchell, (You're So Square) Baby, I Don't Care
King Crimson, Sleepless
The Jam, All Mod Cons
Camper Van Beethoven, Cowboys from Hollywood
Sham 69, Thats Life
Otoboke Beaver, I Am Not Maternal
Woody Guthrie, Dance Around
The Undertones, Male Model
The Specials, Do the Dog
Saturne, Calypso
The Muffs, Big Mouth
The Donnas, Gimme A Ride
Status Quo, Caroline
Cola, Nice Try
Los Lobos, High Places
Siouxsie & The Banshees, Peek-A-Boo
Social Distortion, Cold Feelings
The Clash, Hitsville U.K.
Radiohead, Karma Police
Outkast ft Zach De La Rocha, BOB (Remix)
Elastica, Never Here
The Rutles, Get Up and Go
Verka Serduchka, Party
Otis Redding, Cigarettes and Coffee
Camara and The Come Ons, Cry Baby
Barrett Strong, Money (That's What I Want)
The White Stripes, St. James Infirmary Blues
The Marvelettes, Please Mr. Postman
