Re-Flex, The Politics Of Dancing
Yaz, Situation (Richard X Remix)
The Disco Boys, Hold the Line (Radio Edit feat. Toto)
DJs From Mars, Enter Telephone
Iggy & The Stooges / Salt-N-Pepa, No Fun / Push It
The Grid, Swamp Thing
Darude, Sandstorm
DMX, X Gon' Give It To Ya
KRS-One, Sound of da Police
A Tribe Called Quest, Buggin' Out
Ghost, Jesus He Knows Me
Bon Jovi, Raise Your Hands
Darude, Sandstorm
Daft Punk, Human After All
LCD Soundsystem, Daft Punk Is Playing At My House (Soulwax Shibuya Mix)
New Order, Confusion (The Pump Panel Reconstruction Remix)
Prince & The Revolution, America
The City of Prague Philharmonic Orchestra, Dr. Strangelove: The Bomb Run
Superchunk, What A Time To Be Alive
Hallelujah The Hills, People Keep Dying (And No One Can Stop It)
Chuck Mangione, Cannonball Run Theme
Abbie Barrett, I Will Let You Know
Polly Cutter, One Day At A Time
Public Enemy, Fight The Power
London Symphony Orchestra;John Williams, Raiders of the Lost Ark from Raiders of the Lost Ark (1981)
Return of the Magnificent Seven, Main Theme
Dave Grusin, Fratelli Chase
Erich Kunzel & Cincinnati Pops Orchestra, Music from Space Camp
Jerry Goldsmith, Air Force One: The Parachutes
Klaus Doldinger, Bastian's Happy Flight
John Petersen, Voltron: Defender Of The Universe (Theme)
Los Angeles Philharmonic, Main Theme from Battlestar Galactica
Murray Gold, The Majestic Tale (Of a Madman In a Box)
Ennio Morricone, The Ecstasy of Gold
Bill Conti, Gonna Fly Now (Theme From "Rocky")
Alan Silvestri, Portals
Ludwig Göransson, The Mandalorian
Ennio Morricone, The Strength Of The Righteous (Main Title) from The Untouchables (1987)
John Williams & Boston Pops Orchestra, Flying from "E.T. The Extra-Terrestrial"
Dave Grusin, Water Slide and Galleon
Study Montage, Back To School
John Williams & London Symphony Orchestra, Theme from Superman (Concert Version)
Alan Silvestri, Captain America March
Warner Bros. Studio Orchestra, Die Wacht Am Rhein / La Marseillaise (Medley)
Fozzie, America
Fesliyan Studios, Destruction (2HMFRFH Sweeper)
A. G. Cook, Beautiful (2023 Edit)
CHVRCHES, Lungs
Lindstrøm, Christabelle, Lovesick
Lil Mama, Lip Gloss
Zebra Katz, IN IN IN
Tiga, Shoes
Technotronic, Pump Up The Jam
Remix, Bidi, Bidi, Do You Wanna Dance
LMFAO, Sexy and I Know It
Wilmoth Houdini, Bobby Sox Idol (Frank Sinatra)
BIVkarot, Let Us Adore You
Us3, Cantaloop (Flip Fantasia)
Club Mix, Go!
Bootsy Collins, The Mothership
The Comet Is Coming, Final Eclipse (Full Version)
Mr. Oizo, Cut Dick
Radio Edit, D.A.N.C.E
Beyoncé, COZY
Disclosure, Confess To Me (feat. Jessie Ware)
VIP, Deceiver
Ashley Beedle, Your Acid Life
RuPaul, Call Me Mother
Annalisa, Mon Amour
Rihanna, Calvin Harris, This Is What You Came For
Yeah Yeah Yeahs, Zero
Cali Swag District, Teach Me How to Dougie
Mary J. Blige, Family Affair
Zapp, More Bounce to the Ounce
Erik More Club Mix, I Like to Move It (feat. The Mad Stuntman)
EVM128, Gamma Riddim
Doja Cat, Boss Bitch
Yelle, Moteur Action (feat. SOPHIE & A. G. Cook)
M83, Raconte-Moi Une Histoire
Michael K. Miller, Solid Gold Theme (Season 1 Opening)
AC/DC, You Shook Me All Night Long
Guns N' Roses, Welcome To The Jungle
Jane's Addiction, Been Caught Stealing
Gnarls Barkley, Crazy
Baby Charles, I Bet You Look Good On The Dancefloor
Lizzo, Boys
Ronnie H Jones, Video Games
Sylvian Esso, Radio
Dawn Richard, Bussifame (Felix Da Housecat x Dave The Hustler Remix)
Grace Ives, Lullaby
Edwin Birdsong, Cola Bottle Baby
Midnight Magic, Beam Me Up
Parliament, Give Up The Funk (Tear The Roof Off The Sucker)
Queen, Another One Bites The Dust
KISS, I Was Made For Loving You
Hot 8 Brass Band, Love Will Tear Us Apart
Brother Soul, Cookies
Rubblebucket, Came Out Of A Lady
Black Kids, I'm Not Gonna Teach Your Boyfriend How To Dance With You
Orchestral Manoeuveres In The Dark, Electricity
Lizzy Mercier Descloux, Fire
Beyonce, Ring The Alarm
Robin S, Show Me Love
Adonis, No Way Back
Danube Dance, Unique (NY Underground Mix) feat. Kim Cooper
Skrillex, Missy Elliott, Mr. Oizo, RATATA
Scissor Sisters, Let's Have A Kiki
Nacai, Let's Get Ready To Rumble
Aociz, Shakalaka
Tinashe, Die a Little Bit (Feat. Ms Banks & Karnage Kills) KDA Remix
Flo Rida, Right Round
Tag Team, Whoomp! There It Is
Vengaboys, We Like To Party! (The Vengabus)
Quad City DJ's, C'mon N' Ride It (The Train)
LCD Soundsystem, Daft Punk Is Playing at My House
Sia, Cheap Thrills
Jem, Come On Closer
Sampa the Great, Final Form
Calypso Rose, Abatina
J Balvin, Mi Gente (feat. Beyoncé and Willy William)
ROSALÍA, CHICKEN TERIYAKI
Justin Timberlake, Damn Girl
James Brown, Super Bad
SAULT, I Just Want to Dance
ACRAZE, Do It To It (feat. Cherish)
Drake, Massive
Ciara, Get Up (feat. Chamillionaire)
Breakwater, Release the Beast
Vaughan Mason and Crew, Bounce, Rock, Skate, Roll
Daft Punk, Da Funk
MSTRKRFT, Bodywork
Justice, Waters of Nazareth
Space Laces, Droid
DJ Swamp, Worship The Robots
Green Velvet, DEEPFAKE (feat. Mihalis Safras)
DJ Donna Summer, Such Language
DJ Snake, Turn Down for What (feat. Lil Jon)
Katy Perry, Dark Horse
The Weekend, Blinding Lights
Lykke Li, Dance, Dance, Dance
Purity Ring, Ungirthed
Carly Rae Jepsen, Call Me Maybe
CHVRCHES, The Mother We Share
Lady Gaga, The Edge Of Glory
Robyn, Dancing on My Own
Prince, Baby I'm a Star
Dexys Midnight Runners, Come On Eileen
Sunsquabi, Grind
The Blues Project, Flute Thing
Beastie Boys, Ricky's Theme
Karen O & Danger Mouse, Super Breath
Holy Ghost!, Nancy Whang & The Juan MacLean, I Wanted to Tell Her
LAVA LA RUE, Hi-Fidelity (feat. Biig Piig)
Tinariwen, Amoss Idjraw
Los Bitchos, Talkie Talkie
PawPaw Rod, Glass House
The Herbaliser, Mrs Chombee Takes the Plunge (DJ Food re-bake)
SAMEKA, First Song
Sunbörn, Dancing in the Dusk
