Fozzie, America
Klaatu, True Life Hero
Adam & The Ants, Cartrouble
Pixies, You're So Impatient
Little Feat, Fat Man In the Bathtub (Live)
Larkin Poe, Wanted Woman / AC/DC
Bruce Hornsby & The Range, The Valley Road
Carla Olson & Mick Taylor, Sway
Johnny Winter, All Tore Down
Visage, The Anvil
Tom Tom Club, L'elephant
Gustaf, Starting and Staring
The Clash, Capital Radio One
The Who, Substitute (Live At Hull)
Mike Bloomfield, Lights Out
Patti Smith Group, Hymn
The Courettes, I Wanna Be Your Yoko Ono
Emerson, Lake & Palmer, The Hut Of Baba Yaga
Ultramagnetic MC's, Traveling At the Speed of Thought (Remix)
Creedence Clearwater Revival, Ooby Dooby
The Two Tens, Don't Tell Me What to Do
Green Day, Burnout
Squeeze, Get Smart
Supergrass, Going Out
Kenny Parker, She Might Meet Me
Humble Pie, Four Day Creep
Stereolab, Les Yper-Sound
Japan, The Art of Parties
10cc, The Wall Street Shuffle
Reel Big Fish, Dateless Losers
Mike Oldfield, Family Man
The Jim Carroll Band, Wicked Gravity
The Rolling Stones, Bite My Head Off
Neurotic Outsiders, Six Feet Under
Talking Heads, Crosseyed and Painless
X, True Love, Pt. 2
Taffy, I Love My Radio (Radio Version)
R.E.M., Underneath The Bunker (Instrumental Loop)
Janet Jackson, Rhythm Nation
Backstreet Boys, Everybody (Backstreet's Back)
Le Tigre, Deceptacon
Joe Jackson, Steppin' Out
Portugal. The Man, Feel It Still
Peter Bjorn & John, Young Folks
Clap Your Hands Say Yeah, Upon This Tidal Wave of Young Blood
J.J. Jackson, But It's Alright
Thurston Harris, Little Bitty Pretty One
Kenny Loggins, Footloose
Junior Senior, Move Your Feet
Björk, Big Time Sensuality
Black Box, Everybody Everybody
Scissor Sisters, Let's Have A Kiki
Madonna, Like a Prayer
The Juan MacLean, City Life Disco
The Knocks, Dancing With The DJ
Daft Punk, Digital Love
The Chemical Brothers, Wide Open (f. Beck)
Public Service Broadcasting, Night Mail
Tribe, Rescue Me
Impakt, Defcon
Kyper, Tic Tac Toe (Original Mix)
Flo Rida, Low  (Album Version)
Juvenile, Back That Azz Up
Lil Jon & The East Side Boyz & Ying Yang Twins, Get Low
Dillon Francis & DJ Snake, Get Low
Balkan Beat Box, Hermetico
Panjabi MC, Beware (Jay-Z Remix)
Cherub, Bleed Gold, Piss Excellence
Fifth Harmony, Worth It (feat. Kid Ink)
Tones and I, Dance Monkey
Soho, Hippychick
The Smiths, How Soon Is Now? (12" Version)
Giorgio Moroder, Chase
Peter Fernandez and Keith Messier, Popcorn
Technotronic, Move This
Amorphous, Kelly Rowland & CeCe Peniston, Finally (Cannot Hide It)
Deee-Lite, Groove Is In the Heart
Sergio Mendes, Waters of March (feat. Ledisi)
Nina Simone & Sofi Tukker, Sinnerman (Sofi Tukker Remix)
New Order, Age of Consent
Death, Politicians in My Eyes
The Brains, Money Changes Everything
The Hooters, And We Danced
Miss Eaves, Cactus Killer
Trini Lopez, Lemon Tree
Sofi Tukker & Amadou & Mariam, Mon Cheri
Tom Petty, Zombie Zoo
Jane's Addiction, Classic Girl
Orville Peck, Turn to Hate
Beck, Debra
Chuck Mangione, Cannonball Run Theme
Tee Vee Toons, One Day At A Time
The Pogues, Dirty Old Town
Soltero, Fight Song For True Love
Mister Rogers, Be Brave, Be Strong
Pink Floyd, Us and Them / Any Colour You Like
