Slowdive, 40 Days
Radiohead, Paranoid Android
Biig Piig, Favourite Girl
Jamie xx, Loud Places (feat. Romy)
Gil Scott-Heron & Jamie xx, I'll Take Care of U
The xx, Chained
Lescop, La forêt
Sky Ferreira, Everything Is Embarrassing
Caroline Polachek, So Hot You're Hurting My Feelings
Charli xcx & The Japanese House, Apple featuring the japanese house
Katie Gavin, Casual Drug Use
Sam Fender, Seventeen Going Under
Lucius, Old Tape
Buffalo Tom, Sodajerk
Joy Buzzer, Jeanette
R.E.M., These Days
Chris Richards and the Subtractions, And Suddenly
The Laughing Chimes, High Beams
The Well Wishers, Fed Up
Glitter Party, Baby Bye Bye
Beat Happening, Noise
Pavement, Shoot the Singer (1 Sick Verse)
My Wonderful Boyfriend, Here Comes Your Man
Thursday, White Bikes
Glare, Floating
Longwave, No Direction
The Ravines, Blue Eyes
2nd Grade, I Wanna Be On Your Mind
The Smashing Pumpkins, The Everlasting Gaze
SNFU, Uncontrollable Urge
The Fleshtones, Layin' Pipe
The Donnas, Nothing To Do
John Doe, Giant Step Backward
The Launderettes, Red River
Three Dog Night, One
Blondie, 11:59
KO KO MO, Pass It On
Big Audio Dynamite, Rock Non-Stop (All Night Long)
Patti Smith, Gimme Shelter
Peter Green, Green Manalishi
Rockpile, Oh What a Thrill
Iggy Pop, Home
The Muffs, What You've Done
Talking Heads, Who Is It?
Rachel Sweet, Baby Let's Play House
The Ventures, Night Stick
Papa Roach, Gouge Away
Madness, E.R.N.I.E.
The Rutles, Nevertheless
Lalo Schifrin, The School Bus
The Network, Hey Elon
Girls At Our Best!, Getting Nowhere Fast
Wax, California
Satriani, Johnson & Vai, My Guitar Wants To Kill Your Mama
David Byrne, His Wife Refused
The Stranglers, Choosey Susie
Steppenwolf, Screaming Night Hog
Martha & The Muffins, Danceparc (Everyday It's Tomorrow)
Reverend Horton Heat, Slow
New Order, The Beach
David Bowie, It's No Game, Pt. 1
Our Daughter's Wedding, Lawn Chairs
The Romantics, She's Got Everything
Udo Dirkschneider, The Stroke
Johnny Cash, Thirteen
Neko Case, Bad Luck
Jeff Beck, I Ain't Superstitious
Stevie Wonder, Superstition
Captain Tractor, Frozen Puck to the Head
Cowboy Junkies, Fuck, I Hate the Cold
The Dudes, Saturday Night (My C is Alright)
The Arrogant Worms, Me Like Hockey
The Tragically Hip, Fifty-Mission Cap
Chixdiggit!, (I Feel Like) (Gerry) Cheevers (Stitch Marks On My Heart)
Dropkick Murphys, Time to Go
D.O.A., The Hockey Song
Captain Tractor, Going to a Hockey Game
The Runaways, Cherry Bomb
The Come Ons, Red Lips & Fingertips
Mary Weiss, Cry About the Radio
The Raveonettes, Will You Love Me Tomorrow
The Eyeliners, Do the Zombie
The Misfits, This Magic Moment (feat. Ronnie Spector)
Starcrawler, Love's Gone Again
The Donnas, Living After Midnight
Fabulous Disaster, Got the Time
Flatfoot 56, I Believe It
The Clash, Clampdown
Black 47, Funky Céili (Bridie's Song)
Flogging Molly, Black Friday Rule
Skinny Lister, Trouble On Oxford Street
The Men They Couldn't Hang, I Loved the Summer of Hate
The Pogues, Sally Maclennane (The John Peel Show)
The Saw Doctors, Bless Me Father
The Gobshites, Sorry Mom I Spent Your Christmas Present Money On Beer
The Men They Couldn't Hang, I Loved the Summer of Hate
The Rumjacks, Christmas in Killarney
Frank Turner, Last Christmas
The Dollyrots, Fairytale of New York
Liquid Liquid, Cavern
John Foxx, Underpass
Tubeway Army, Something's in the House
AK/DK, Square Route [feat TVAM]
Chrome, Danger Zone
Yesness, If You Say So
The Raincoats, No One's Little Girl
Medium Medium, Hungry, So Angry
La Sécurité, Detour
Au Pairs, It's Obvious
Yesness, Your Reverb Is Showing
Majesty Crush, No. 1 Fan
Ride, Like a Daydream
Underlined Passages, lkbkwds
Spirea X, Speed Reaction
The Boo Radleys, Does This Hurt?
Yesness, Occasional Grape?
Men Without Hats, Security
TWIN NOIR, Schwarze Katze
The Passage, XOYO
Silicon Teens, Let’s Dance
Taxi-Girl, Mannequin
Yesness, Horror Snuggle
A Taste of Honey, Sukiyaki
Champaign, Try Again
Brenda Russell, So Good, So Right
Jordana, Like A Dog
Franke & The Knockouts, Sweetheart
Yesness, Non-incredible Visitor
Liz Phair, Fuck and Run
The Spinanes, Spitfire
Sex Week, Angel Blessings
The Afghan Whigs, Debonair
Yesness, Not So Sorry Now Are You
Horse Jumper of Love, Airport
Strange Mangers, Lurker
Squirrel Flower, Daylight Savings
Palehound, Flowing Over
Speedy Ortiz, American Horror
Ovlov, The Great Crocodile
Bent Shapes, What We Do Is Public
Infinity Girl, Heavy
Friko, When You Sleep
Dutch Interior, Sandcastle Molds
BAMBARA, Pray To Me
The Men, Pony
Courting, Pause at You
Lavendar Blue, Wishbone
Autocamper, Ken Hom
SACRED PAWS, Another Day
Witch Post, Chill Out
Fat Dog, Peace Song
Soft Plastics, Drown!
fish narc, my ceiling
Gleemer, Half Smile
FACS, Desire Path
Ex-Vöid, Pinhead
Intermission, Ball n Chain
TV Girl & George Clanton, Fauxllennium
Dream, Ivory, Bullet Train
Freak Slug, Sexy Lemon
Kassie Krut, Racing Man
Lean Low, Out Of Rhythm (feat. Jaydonclover)
Ela Minus, UPWARDS
Shygirl, Immaculate (feat. Saweetie)
DJ Lycox, Pedale Ku El
FKA twigs & Koreless, Drums of Death
HiTech, SHADOWREALM (feat. Zelooperz)
Wireheads, Hook Echo
Automatic, NRG
Dog Race, The Leader
Gustaf, Mine
Pixies, You're So Impatient
Blondshell,Bully, Docket (feat. Bully)
SPRINTS, Heavy
Thee Oh Sees,Osees, Pixelated Moon
Julien Baker,TORRES, Sugar in the Tank
Pavement, Cut Your Hair
Twen, Stunts
Lunar Vacation, Tom
Twin Peaks, Making Breakfast
Alvvays, Adult Diversion
Mitski, My Body's Made of Crushed Little Stars
Shannon & The Clams, The Moon Is In The Wrong Place
Horsegirl, Anti-glory
Slow Pulp, Hanging By A Moment
The Middle Class, A Blueprint For Joy
Fun Faacts, Sad At The Gym
Straw Man Army, Staring At The Sun
Feeling Figures, The Falcon
Pilot To Gunner, Hail Hallucinator
Kolya, Astronaut
3 The Hardway, Newspaper
Cherry Cheeks, Cherry Radio
Nervous Tick & The Zipper Lips, Ready For Hell
Mike Fournier, Les Rallizes Denudes
Drug Church, Myopic
Lothario, Right Down The Line
Faucheuse, Vertige
Rat Chasm, Wasteland Centerfold
Kayo Dot, Lost Souls On Lonesome's Way
Jejune, Indian Giver
Freddy Cannon, Palisades Park
These Stains Are Who I Am, programme theme
Laura Branigan, Self Control
Lisa LeBlanc, Gossip
Love Is All, Last Choice
Little Boots, New In Town
Luscious Jackson, Take a Ride
Naomi Campbell, Life of Leisure
Snoop Dogg, Dr. Dre, 50 Cent & Eminem, Gunz N Smoke
Tricky, Parenthesis
Portishead, All Mine
Fever Ray, Even It Out
FKA twigs, Lights On
Pat Fleet, pat fleet drop (telephone)
Tool, Jerk-Off (Live)
The Cure, Drone:Nodrone
