Sex Pistols, Did You No Wrong
Bowling for Soup, Suckerpunch
Randy California, Day Tripper
The Allman Brothers Band, Trouble No More
Daryl Hall, Sacred Songs
Echobelly, Nobody Like You
The Faces, My Fault
Big Audio Dynamite, Mr. Walker Said
The Godfathers, Birth, School, Work, Death
Spoon, Do I Have to Talk You Into It
Hot Tuna, Santa Claus Retreat
The Jam, The Bitterest Pill (I Ever Had To Swallow)
The Move, Do Ya
Talking Heads, Thank You for Sending Me an Angel
Bis, Listen Up
John Mayall & The Bluesbreakers, Another Man
Status Quo, Down the Dustpipe (7'')
The League of Gentlemen, Heptaparaparshinokh
The Knack, Heartbeat
The Muffs, Honeymoon
Surfer Blood, Neighbour Riffs
The Clash, Brand New Cadillac
X, Year 1
The Boomtown Rats, Mary of the 4th Form (Single Version)
Utopia, Love In Action
George Harrison, Wah-Wah (Live)
Crosby, Stills & Nash, 49 Bye-Byes
David Bowie, Ziggy Stardust
David Bowie, Suffragette City
ZZ Top, Dreadmonboogaloo
Jeff Beck, Dirty Mind
Dire Straits, Heavy Fuel (VSC Back Off Mix)
Angelfish, Suffocate Me
Juliana Hatfield, Ok Ok
Joe Strummer & The Mescaleros, Techno D-Day
The English Beat, March Of The Swivel Heads
Fishbone, Party At Ground Zero
The Mighty Mighty Bosstones, Hope I Never Lose My Wallet
Kid Creole & The Coconuts, Stool Pigeon
Major Lazer, Light It Up (feat. Nyla & Fuse ODG) [Remix]
Shakira, Whenever, Wherever
Rob Base & DJ EZ Rock, Joy and Pain
Eddie Murphy, Party All The Time (+3 dB)
Madonna, Material Girl
Sia, Cheap Thrills (feat. Sean Paul)
a-ha, Take On Me
The Weeknd, Blinding Lights
Neil Norman, Buckaroo Banzai
Taylor Swift, You Belong With Me
Chromeo, Come Alive (feat. Toro Y Moi)
Peter Godwin, Images Of Heaven (Razormaid Version 1998)
Coldplay, Clocks (Royksopp Trembling Heart Remix)
The Shamen, Move Any Mountain
Mint Royale, Rock and Roll Bar
Lisa Lisa & Cult Jam, Let the Beat Hit 'Em
Black Box, Strike It Up
Unknown DJ, Last Night Billie Jean Saved My Life
LCD Soundsystem, Tribulations (Lindstrom Mix)
Quantic, Atlantic Oscillations
Inner City, Big Fun
Lenlow, J-Lo vs K-Co vs S-Wo (2.0)
Smash, Bootysitition
Soulwax, Independent Working Women
Daft Punk, Daftendirekt
Blur, There's No Other Way
Dino, King Kong 5
The Breeders, Cannonball
Carly Rae Jepsen, Making the Most of the Night
マクロスMACROSS 82-99, Thank You
ABBA, Dancing Queen
Wisin, Vacaciones
Macklemore & Ryan Lewis, Thrift Shop (feat. Wanz)
Falco, Rock Me Amadeus (The American Edit)
Peter Gabriel, I Have the Touch
T'Pau, Heart and Soul (Single Version)
Ofra Haza, Im Nin’Alu
Gary Numan & Tubeway Army, Are 'Friends' Electric?
The Sugarcubes, Birthday
Cocteau Twins, Heaven or Las Vegas
A Tribe Called Quest & Norman Cook, I Left My Wallet in El Segundo (Vampire Mix)
Hugh Masekela, Grazing In the Grass
Stephen Bishop, The Heart Is So Willing
Kim Carnes, Bette Davis Eyes
America, You Can Do Magic
The Doobie Brothers, It Keeps You Runnin'
MessyJames, No More Pressure (Annie Lennox vs Queen)
New Order, The Perfect Kiss (Substance Edit)
Chuck Mangione, Cannonball Run Theme
Bacao Rhythm & Steel Band, P.I.M.P.
Billy Ocean, Get Outta My Dreams, Get Into My Car
John Parr, St. Elmo's Fire (Man In Motion)
