Bis, The End Starts Today
The Cure, Shake Dog Shake (New Blood Mix 2018)
Siouxsie &amp; The Banshees, Monitor
HEALTH, HATEFUL
Wolfsheim, Once In A Lifetime
Nine Inch Nails, Sin
Kenny Loggins, Mr. Night
Rainbow, Since You Been Gone
Girls, Lust For Life
The Dandy Warhols, We Used to Be Friends
They Might Be Giants, S-E-X-X-Y (Kendal Mintcake Total Remix)
The Normal, Warm Leatherette
The Tubes, TV Is King
Girls Against Boys, Kill the Sex Player
Brian Eno, Seven Deadly Finns
Stone Temple Pilots, Sour Girl
Midnight Oil, The Dead Heart
The Bryan Ferry Orchestra, Avalon
Brian Eno, Deep Blue Day
Luna, Slash Your Tires
Annie Lennox, No More "I Love You's"
The Chameleons, Don't Fall
The Divine Comedy, National Express (Edit)
Steve Miller Band, Jet Airliner
Dr. John, New Looks
Plastic Bertrand, Ça Plane Pour Moi
Vangelis, Blade Runner (End Titles)
Peter Fernandez and Keith Messier, Popcorn
HELLO, New York Groove
Grace Jones, Nightclubbing
Mike Doughty, Down On The River By The Sugar Plant
R.E.M., First We Take Manhattan
Blondie, In the Flesh
Chuck Mangione, Cannonball Run Theme
LCD Soundsystem, Yr City Is A Sucker (London Sessions)
Soul Coughing, Theme From Rachel's Sitcom
Soul Coughing, Janine
Coldplay, Clocks (Royksopp Trembling Heart Remix)
New Order, Everything's Gone Green (12" Version)
Game Theory, Nine Lives To Rigel Five
Darkbuster, Cheap Wine
They Might Be Giants, Space Suit
The Misfits, We Are 138
Kyle MacLachlan, Clean Place, Reasonably Priced
Brian Eno, Little Fishes
Magdalena Bay, That's My Floor
Happy Mondays, Wrote for Luck
The Strokes, What Ever Happened?
MJ Lenderman, On My Knees
Matthew Sweet, Sick of Myself
Jenny O., Come Get Me
The Beaches, Jocelyn
Allie X &amp; Empress Of, Galina
LCD Soundsystem, All I Want (London Session)
Men I Trust, Husk
Brainstory, Nobody But You
Don Covay &amp; The Goodtimers, Come See About Me
El Michels Affair, Snakes (feat. Lee Fields)
Kelly Finnigan, My Love Is For You
The Beach Boys, Here She Comes
Yellow Days, Gap in the Clouds
Cults, Cells
Chappell Roan, Picture You
Sade, Cherish the Day
FKJ &amp; ((( O ))), Vibin' Out
Alice Phoebe Lou, The World Above
New Order, Age of Consent
Nemahsis, coloured concrete
The Marías, Heavy
Nilüfer Yanya, Just A Western
Leon Bridges, That's What I Love
The Kills, Happier Than Ever
Devon Again, Sunburn
Ethel Cain, For Sure
Suki Waterhouse, Model, Actress, Whatever
These Stains Are Who I Am, programme theme
The Bug, Annihilated (Force of Gravity)
The Bug, Fucka (Tongue As A Weapon)
Coil, Things Happen
100 gecs, Doritos &amp; Fritos
Cyndi Lauper, Girls Just Want to Have Fun (2013 Anamanaguchi Remix, Mix 2)
Juliette Lewis, Hardly Wait
The Bobby Lees, Strange Days
David Bowie, Hallo Spaceboy (Remix)
How to destroy angels, Is Your Love Strong Enough?
Nine Inch Nails, The Hand That Feeds (DFA Mix)
Allie Goertz, Wish
Kim Deal, A Good Time Pushed
Zola Jesus, The Way
Public Service Broadcasting, Towards the Dawn
The Jesus and Mary Chain, Just Like Honey
Ducks Ltd., Head On (feat. Illuminati Hotties)
Pat Fleet, pat fleet drop (telephone)
The Beatles, Across The Universe
Godspeed You! Black Emperor, SUN IS A HOLE SUN IS VAPORS
Aphex Twin, Rhubarb Orc 1953 Rev
Charli xcx &amp; Billie Eilish, Guess featuring Billie Eilish
Hot Chip, Guilty
LCD Soundsystem, (we don't need this) fascist groove thang (electric lady sessions)
!!!, When The Going Gets Tough, The Tough Get Karazzee
Brian Eno, Third Uncle
Tanya Tagaq, Blood   Auk
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
Faith No More, Just a Man
Beastie Boys, Paul Revere
Z-Trip, Breakfast Club
KJ-52, Revenge Of The Nerds (f. Pigeon John)
A Tribe Called Quest, Buggin' Out
Nuuk Posse, Kaataq
Mark Morrison, Return Of The Mack (Edit)
Alabama 3, Speed Of The Sound Of Loneliness
U2, Another Time Another Place
Whitney Houston, It's Not Right But It's Okay (Thunderpuss Radio Mix)
Amber, Sexual (Original Radio Edit)
Wet Leg, Wet Dream
The Rapture, House Of Jealous Lovers
Britney Spears, Till The World Ends
Rhythim Is Rhythim, Strings of Life
Orbital, Chime (Octave One Remix)
Underworld, Dark &amp; Long
Moby, I Love To Move In Here (Holy Ghost! Remix Edit)
Steve "Silk" Hurley, Jack Your Body (Original Club Mix)
Les Rythmes Digitales, Jacques Your Body Makes Me Sweat (Radio Edit)
The Magnetic Fields, Famous
Combustible Edison, The Millionaire's Holiday
The Boomtown Rats, Trash Glam Baby
The Chemical Brothers, The Golden Path (f. Wayne Coyne)
The Lemonheads, Confetti
Mogwai, Ritchie Sacramento
Japanese Breakfast, Savage Good Boy
Silver Jews, Honk If You're Lonely
Soul Coughing, Lazybones
Barcelona, C-64
Arlo Parks, Too Good
Lana Del Rey, Diet Mountain Dew
DJ Kappel &amp; Smitty, Juicy / New York, New York
LCD Soundsystem, Losing My Edge
Garbage &amp; Screaming Females, Because the Night
Dry Cleaning, Goodnight
10,000 Maniacs, Planned Obsolescence
Daft Punk, Motherboard
High Highs, A Real Hero
Evening Lights, Lovely Disaster
Devo, Jerkin' Back 'n' Forth
Julian Casablancas, 11th Dimension
The Secrets, The Loneliest Duet
Colleen Green, I Wanna Be a Dog
Candy Butchers, Till You Die
Children of the Flaming Wheel, Condos In Boston
Human Sexual Response, Land of the Glass Pinecones
the furniture, to every roommate i ever made angry, you were probably right
Beeef, I Wish It Was Christmas Today
Madness, Our House
David Bowie, Golden Years
Queen, I'm Going Slightly Mad
Cocteau Twins, Heaven or Las Vegas
Björk, It's Oh So Quiet
Cornershop, Wog (Freaky's Edit)
Lush, For Love
New Order, Crystal
Reggie Watts, Fuck Shit Stack
Miss Eaves, 3 Jobs
The Dead Milkmen, Everybody's Got Nice Stuff But Me
The New Pornographers, Hey Snow White
David Bowie, Moonage Daydream
Wayquay, Navigate
Wild Ones, Golden Twin
They Might Be Giants, Space Suit
Stephen Fry, Pan Galactic Gargle Blaster
The Galileo 7, Nobody Knows Anything
The La's, There She Goes
Modest Mouse, Tiny Cities Made Of Ashes [Edit]
Sebadoh, Flame
Clinic, The Equaliser
Jurassic 5, Swing Set
Fatboy Slim, Weapon of Choice (Attack Hamster Edit f. Bootsy Collins)
Course Of Empire, Infested (Darwin Goodman Mix)
Sade, Smooth Operator (7" Version)
ABBA, Gimme! Gimme! Gimme! (A Man After Midnight)
Rick James, Give It to Me Baby
Brazilian Girls, Don't Stop
Björk, Big Time Sensuality
The Human League, Don't You Want Me
Alphaville, Dance With Me (Album Version)
Blondie, Atomic
BT, Never Gonna Come Back Down (f. M. Doughty)
Roxy Music, Do the Strand
David Bowie, Rebel Rebel
POW!, Cyberattack #3
MCL, New York, New York (Midnight Mix)
Cajmere, Percolator (Original Version)
Pitbull, Krazy (featuring Lil' Jon)
Front 242, Headhunter, Vol. 1.0
Vulfpeck, Conscious Club
Ed Shepp, Partydance
Shit Robot, Where It's At (feat. Reggie Watts)
Robyn, Call Your Girlfriend
Coins, Root Down (Daft Science Remix)
Young Black Teenagers, Tap The Bottle
The High Decibels, Miss Cindy
Dolly Parton, 9 To 5
Stevie Nicks, Edge of Seventeen
Destiny's Child, Bootylicious
The Pointer Sisters, Automatic
R.E.M., First We Take Manhattan
Wildhoney, Slow Motion
Seaweed Mustache, Flush
trauma ray, Bishop
DJ Sabrina The Teenage DJ, You('ll Always) Own My Heart
Hotline TNT, I Thought You'd Change (DJ Sabrina The Teenage DJ Remix)
The Field, Istedgade
Hot Chip, Flutes
Jungle, Beat 54 (All Good Now)
Caribou, Come Find Me
Clairo, Love Songs
Tchotchke, You'll Remember Me
The Lemon Twigs, The One
Foxygen, How Can You Really
Whitney, No Matter Where We Go
TOPS, Direct Sunlight
Destroyer, New Ways of Living
JW Francis, Mississippi
Mt. Misery, Waking Up
Daughter of Swords, Alone Together
Wild Cub, Thunder Clatter
Tegan and Sara, Back In Your Head
Best Coast, Bratty B
Toro y Moi, Empty Nesters
Ducktails, Under Cover
The Sea and Cake, I Should Care
The Hard Quartet, Hey
Guns N' Roses, Paradise City
The Posies, Hate Song
Visage, Tar
Johnny Thunders &amp; The Heartbreakers, Chinese Rocks
Slade, Gudbuy T'Jane
Free, I'm a Mover
Fantastic Negrito, Working Poor
Soundgarden, Spoonman
Tanya Donelly, Pretty Deep
Oingo Boingo, Only A Lad
Blue Öyster Cult, Cities On Flame With Rock and Roll
Midnight Oil, Blue Sky Mine
Shawn Lee's Ping Pong Orchestra, Trick Me
The Coathangers, One Way Or Another
