Jesse Welles, United Health
Saya Gray, SHELL ( OF A MAN )
Remi Wolf, Cinderella
Doechii, NISSAN ALTIMA
Charly xcx, 365
Brittany Howard, Proove It To You
Nilüfer Yanya, Method Actor
St. Vincent, Broken Man
OT The Real, Blow
Moses Sumney, Lyra Ptamuk, Sam Smith, You Make Me Feel (Mighty Real)
The Sorcerers, Bebaynetu
Ke$ha, JOYRIDE
Childish Gambino, A Place Where Love Goes
Skrillex, Hamdi, TAICHU, OFFIAH, contra, Push
Chinese American Bear, Feelin' Fuzzy (毛绒绒的感觉)
Patricia Brennan, Five Suns
Waxahatchee, Right Back to It (feat. MJ Lenderman)
Gillian Welch, David Rawlings, Howdy Howdy
Adrianne Lenker, Free Treasure
Angel Olsen, Sinkhole
Yin Yin, The Year of the Rabbit
Kim Deal, Crystal Breath
Tierra Whack, SHOWER SONG
Kendrick Lamar, tv off (feat. Lefty gunplay)
Jessica Pratt, The Last Year
Sade, Young Lion
ЩукаРиба, Ой на горі
Dua Saleh, want
Maggie Rogers, In The Living Room
Beyoncé, YA YA
Tunde Adebimpe, Magnetic
SPRINTS, Heavy
Liz Phair, Hey Lou
They Might Be Giants, I Can't Remember the Dream
Alphaville, Red Rose (Single Version '88)
New Order, Thieves like Us (12" Extended)
The Weeknd, Take My Breath
CHVRCHES, Good Girls
The Stone Roses, Waterfall
The Chordettes, Lollipop
The Monkees, Last Train to Clarksville
The Magnetic Fields, Strange Powers
The Sheds, Drunk For Lunch
The Smiths, There Is a Light That Never Goes Out
The Magnetic Fields, 100,000 Fireflies
INXS, Never Tear Us Apart
Duran Duran, Come Undone
The Church, Under The Milky Way
Blur, Sing
Cocteau Twins, Carolyn's Fingers
David Bowie, Starman
The Lightning Seeds, Pure
Death, Keep On Knocking
Le Tigre, Get Off the Internet
The Fire Engines, Fascist Groove Thing (Peel Session)
Northern State, Sucka Mofo
Ramones, Do You Remember Rock 'N' Roll Radio?
Spouse, Drag Queen
Big Dipper, Homosapien
The Levellers, The Game
Colleen Green, TV
Hot Chip, Transmission
The 6ths, Movies In My Head (with Georgia Hubley)
Belle &amp; Sebastian, Get Me Away from Here, I’m Dying
Stereolab, Emperor Tomato Ketchup
The Strokes, Is This It
Iggy Pop, Cry For Love
Alice Cooper, Clones (We're All)
The Who, I Can See For Miles
The Cure, Primary
U2, Until the End of the World
Björk, Venus as a Boy
Edie Brickell &amp; New Bohemians, What I Am
Thompson Twins, Lay Your Hands On Me
Davíd Garza, Disco Ball World
The Cure, Icing Sugar
Sonic Youth, Teen Age Riot
Ride, Kaleidoscope
Toadies, I'm Not In Love
Modest Mouse, Convenient Parking
The Gun Club, Sex Beat
Guided By Voices, Everyone Thinks I'm a Raincloud (When I'm Not Looking)
The Replacements, Bastards of Young
Bauhaus, All We Ever Wanted Was Everything
Tom Novotny, Kevin
Lavender Diamond, Like an Arrow
Lou Barlow, Division Day
Boss Hog, I'm Not Like Everybody Else
Le Tigre, My My Metrocard
LCD Soundsystem, Movement
Nirvana, Molly's Lips
Dirty Projectors, Parking Structure
Kyle MacLachlan, The Milky Way
The Hidden Cameras, Death of a Tune
BBC Philharmonic Orchestra plays Stravinsky, Greeting Prelude
Frank Zappa, Cosmik Debris
Brenton Wood, Oogum Boogum Song
