Diana King, Shy Guy
Beats International, Dub Be Good to Me
Happy Mondays, Loose Fit
Blankenberge, Together
Lucy Dacus, Ankles
Daneshevskaya, Kermit &amp; Gyro
Cass McCombs, Belong to Heaven
Paul Simon, Late In the Evening
Jackson Browne, Lawyers In Love
The Walkmen, Heaven
Delivery, Deadlines
The Tubs, Narcissist
Parannoul, Imagination
Chime School, Dead Saturdays
The Smiths, Cemetry Gates
Chew Bear, Sewing Machine
quickly, quickly, Enything
Ducks Ltd., Head On (feat. illuminati hotties)
Ginnels, Lands Faraway
Drop Nineteens, Mayfield
Wednesday, One More Last One
Swervedriver, Rave Down
Sonic Youth, Dirty Boots
Stephen Malkmus &amp; The Jicks, Shiggy
Angel Olsen, High &amp; Wild
Camera Obscura, Tears for Affairs
Shilpa Ray, Portrait Of A Cat Lady
Chevelle, Send the Pain Below
Spirit, Morning Will Come
The Three O'Clock, I Go Wild
Supergrass, Rush Hour Soul
The Rolling Stones, Stop Breaking Down
Steely Dan, The Boston Rag
Baxter Dury, Claire
The Julie Ruin, Roses More than Water
Pixies, Dig for Fire
NRBQ, Get Rhythm
Joe Cocker, Space Captain
The Cure, All I Ever Am (Live Troxy London MMXXIV)
Sponge, Supersonic
The New Pornographers, Use It
The Clash, Koka Kola
The Undertones, (She's a) Runaround
The Flatmates, You're Gonna Get Hurt
Joan Jett, What Can I Do for You?
The Muffs, Crush Me
Emmylou Harris, Didn't Leave Nobody But The Baby
Janis Joplin, Mercedes Benz
Elastica, Car Song
The Groovie Ghoulies, Planet Brian Jones
The Beatles, Why Don't We Do It In the Road?
Orbital, The Saint Theme
The Police, Masoko Tanga
Big Audio Dynamite, Limbo The Law
The Members, Radio (Dub Version)
Thompson Twins, Who Wants To Be A Millionaire?
John Butler Trio, Used to Get High
Long John Baldry, It Ain't Easy
Something Happens, Parachute
Graham Parker &amp; The Rumour, I Want You Back
The Hives, Hate to Say I Told You So
Obi-Wan Kenobi, This Message Is a Warning
Frank Turner, The Sand in the Gears
Titus Andronicus, We're Coming Back
Ezra Furman, Tell Em All to Go to Hell
Magneta Lane, Leave The Light On
Sade Adu, Young Lion
The Raveonettes, Uncertain Times
Sara Bareilles, Brave
Kacey Musgraves, Follow Your Arrow
Worriers, They/Them/Theirs
Against Me!, True Trans Soul Rebel
Garbage, Androgyny
Lily Allen, Fuck You
Sam Roberts Band, We're All In This Together
Beach Bunny, Cloud 9 (feat. Tegan and Sara)
