Beastie Boys, Get It Together
Paperboy, Ditty (Radio Edit)
Afu-Ra, God of Rap
Lizzo, Batches &amp; Cookies (feat. Sophia Eris)
Rihanna, Rude Boy
DJ Shadow, C.O.N.F.O.R.M. (f. Gift Of Gab, Lateef The Truth Speaker, and Infamous Taz)
Terror Squad, Lean Back (f. Fat Joe &amp; Remy)
Major Lazer, Bubble Butt (feat. Bruno Mars, Tyga &amp; Mystic)
Jagged Edge, Where the Party At
Destiny's Child, Survivor
Superchunk, Break the Glass
The Urinals, I'm A Bug
Battles, Ddiamondd
Death from Above 1979, Right On, Frankenstein!
They Might Be Giants, I Should Be Allowed To Think
Lush, For Love
Cracker, This Is Cracker Soul
LIVE, Operation Spirit (The Tyranny of Tradition)
Liz Phair, Johnny Sunshine
Pixies, Tony's Theme
The Magnetic Fields, The Luckiest Guy On The Lower East Side
The Mountain Goats, The Best Ever Death Metal Band in Denton
Tenacious D, Wonderboy
HomeStar Runner, Trogdor
The Replacements, Bastards of Young
D-Tension, Kenmore Square
The Mighty Mighty Bosstones, They Came To Boston
Pavement, Summer Babe (Winter Version)
Japanese Breakfast, Be Sweet
Yo La Tengo, Mr. Tough
They Might Be Giants, Minimum Wage
Sergio Mendes, Waters of March (feat. Ledisi)
Pixies, La La Love You
The Rentals, Friends of P.
The Cars, Bye Bye Love
Weezer, In the Garage
The Black Ryder, Santaria
Really Great, If We Talked
(T-T)b, Hey, Creepshow
Lily Seabird, Trash Mountain (1pm)
Wooll, Thistle
jimrat, kneel
Noble Dust, Sleeping Lessons
Eph See &amp; Alexander the Grape, Let It Be
V V N, Ring the Bell
Fust, Bleached
Julien Baker &amp; TORRES, Sylvia
A.L. West, Rabbitbrush 2
Free Range, Hardly
Dutch Interior, Fourth Street
Mamalarky, Feels So Wrong
Hooky &amp; Winter, horseshoe
quickly quickly, Enything
Grumpy, Lonesome Ride (feat. Sidney Gish &amp; Precious Human)
Kate Teague, Get By
Momma, I Want You (Fever)
Glare, Guts
High., Catcher
Star 99, Kill
Courting, After You
DITZ, Four
La Sécurité, Detour
The Men, PO Box 96
Lambrini Girls, Nothing Tastes As Good As It Feels
FACS, You Future
Desire, The Judge
Mild Minds, I NEED U
Lawrence Hart, Closer To You
Villager, Dogma
camoufly &amp; Dazegxd, nothing left 2 say
lozeak, C'MON
DEVO, Freedom of Choice
Black Country, New Road, Besties
Two-Man Giant Squid, Weird Recordings (you've got some)
The New Cut, Valuable Customer
Youth Lagoon, Speed Freak
Horsegirl, Switch Over
Mamalarky, Nothing Lasts Forever
Momma, I Want You (Fever)
Throwing Muses, Counting Backwards
Dutch Interior, Fourth Street
Pixies, Head On
Viagra Boys, Man Made of Meat
Honeyglaze, Pretty Girls
Shannon &amp; The Clams, Wax &amp; String
Ex-Vöid, Sara
Dazy,Eight, The Crush
Dancer, Priority Girl
Lady Pills, Make Out
Willebrant, Sands lX (Endless)
Autista, Semilla
lovely weather, so tired
Fish in the Elevator, Down Under
Sungaze, Freer Than I Could Be
Boy With Apple, Linger On
swan•seas, Clarity
A Shoreline Dream, The Dream
Adorável Clichê, um sorriso que se vai
EVNTYD, Amor
A Deeper Heaven, Stay
Dutch Mustard, Loser
Haermape, In a silent space
schnallo, halt
VEIN BLUE, brown suit
Marewrew, HonkayaBoat Rowing Song
The Zombies, This Will Be Our Year
Foxygen, San Francisco
Elton John, Goodbye Yellow Brick Road
Neil Young &amp; Crazy Horse, Cinnamon Girl
The Allman Brothers Band, Jessica
Traffic, The Low Spark of High-Heeled Boys
Bruce Springsteen, Tougher Than The Rest
chilldspot, have a nice day!
Billie Eilish, bad guy
Tove Styrke, Sway
Phoebe Ryan, Should I
SOPHIE, Bipp
New Radicals, Murder on the Dancefloor
Kylie Minogue, Can't Get You Out Of My Head
The Rapture, House Of Jealous Lovers
LCD Soundsystem, Movement
LCD Soundsystem, Never As Tired As When I'm Waking Up
Cut Copy, Sun God
Talking Heads, Once In a Lifetime
Djo, Basic Being Basic
Santigold, L.E.S. Artistes
The Last Dinner Party, Nothing Matters
Annie, My Heartbeat
Ethel Cain, A House In Nebraska
SEGA, Last Wave (From Out Run)
Goanna, Solid Rock
Thelma Plum, Better in Blak
Saltwater Hank, 'Yaak (Link Wray Cover)
East Journey, Song of Arnhem Land (Salas/Moore Mix)
Baker Boy, Cool As Hell
SOJU GANG, Percolator
Miss Kaninna, Blak Britney
Dem Mob, Still No Justice
