The Chameleons, Swamp Thing
The Soup Dragons, Softly
Crime &amp; The City Solution, The Adversary
Morphine, A Head With Wings
Pearl Jam, Breath
The Lemonheads, Rudderless
Nirvana, Drain You
Piebald, American Hearts
The New Pornographers, Letter from an Occupant
Alternative TV, Action Time Vision
The Rezillos, Top Of The Pops
The Cool Greenhouse, The End of the World
The Mountain Goats, Wage Wars Get Rich Die Handsome
The Cranberries, Salvation
Rilo Kiley, The Frug
The Third Rail, Run, Run, Run
Kitner, Suddenly
Wet Leg, Too Late Now
The Josephine Wiggs Experience, (Make Me Feel Like) Doris Day
The Mountain Goats, The Best Ever Death Metal Band in Denton
The Damned, I Just Can't Be Happy Today
Translator, Everywhere That I'm Not
Split Enz, I Got You
Cosmonauts, Doom Generation
Jane's Addiction, Up the Beach
Galaxie 500, Here She Comes Now
Swervedriver, Duel (Radio Edit)
Bauhaus, All We Ever Wanted Was Everything
The New Highway Hymnal, Factory Song
Adriano Celentano, Prisencolinensinainciusol
Dino, King Kong 5
Röyksopp, Eple (Full Version)
Jeans Team / MJ Lan, Keine Melodien
Skee-Lo / Maurice Fulton Presents Stress / The Breeders, I Wish [A Capella] / My Gigolo / Cannonball
The Breeders, Cannonball
Belly, Gepetto
Liquid Liquid, Cavern
Roxy Music, More Than This
PARCOURS, Memories // Souvenirs
The Police, Synchronicity II
Simple Minds, Waterfront
SML, Industry
Thin Lizzy, Jailbreak
Karate, Defendants
Blue Öyster Cult, Burnin' for You
Head East, Never Been Any Reason
SML, Feed The Birds
Look Blue Go Purple, Cactus Cat
Slack Times, Hatchback
The Bats, Time to Get Ready
Able Tasmans, Hold Me 1
SML, History of Communication
Martha &amp; The Muffins, Echo Beach
Rush, Time Stand Still
She's In Parties, The Man
Eurythmics, When Tomorrow Comes
SML, Three Over Steel
Cornershop, Brimful Of Asha (Norman Cook Remix Edit)
White Town, Your Woman
Thandii, Past
Anjali, Hymn To The Sun
SML, Search Bar Hi Hat
The Fall, The Man Whose Head Expanded
Delivery, What For?
John Otway, Headbutts
John Cooper Clarke, Gimmix! Play Loud
Ian Dury, Sex &amp; Drugs &amp; Rock &amp; Roll
SML, Dolphin Language
Perry Como, Kewpie Doll
Sleigh Bells, Wanna Start A Band?
Gaia Rollo, Mountains
Orchestral Manoeuvres In The Dark, Telegraph
Tune-Yards, Water From Your Fountain (Water From Your Eyes Remix)
Dilettante, The Stuff Dreams are Made of
Q Lazzarus, I See Your Eyes
Cinnamon, Maybe In The Next Life
Ivy, Never Do That Again
Club 8, ooo
2nd Grade, I Wanna Be On Your Mind
Throwing Muses, Drugstore Drastic
The Spinanes, Noel, Jonah, and Me
Adorable, Sunshine Smile
julie, thread, stitch
shower curtain, bedbugs
They Are Gutting a Body of Water, kmart amen break
Clutter, Jesus
Lady Gaga, Abracadabra
Poppy, crystallized
Giorgio Moroder, From Here To Eternity
Pet Shop Boys, I Want a Dog
La Bionda, I Wanna Be Your Lover
Escort, Makeover
Fujiya &amp; Miyagi, Little Stabs At Happiness
Melanie C, I Turn To You
Nxdia, Boy Clothes
Stereolab, Jenny Ondioline
Cotton Candy, M-A-U-R-A
Jennifer Hudson, I Will Always Love You (live)
Gregtronic, Greg Wymer
The Monkees, Mary, Mary
Tin Huey, I'm a Believer
Jay-Z &amp; Linkin Park, Numb / Encore
Bitchin' Camaro, Straight Up
They Might Be Giants, Bills, Bills, Bills
D'Angelo &amp; Erykah Badu, Your Precious Love
Sheryl Crow, Sign Your Name
Johnny Cash, Redemption Day
Scott Bradlee's Postmodern Jukebox, Never Gonna Give You Up (feat. Clark Beckham)
Thirty Seconds to Mars, Bad Romance (live on BBC Radio)
The Cleverlys, Gangnam Style
Future Idiots, Friday
We Are the Union, Here It Goes Again
The Presidents of the United States of America, Video Killed the Radio Star
Priority Speaker, Silly Love Songs
Chaos Chaos, Genius of Love
Gloria Estefan, Everlasting Love
The Cure, Hello, I Love You
The Dynamics, Whole Lotta Love
Poster Children, I Feel Love
Tracey Thorn, The Book of Love
The Civil Wars, No Ordinary Love (live)
Adele, Make You Feel My Love
GoldFord, Show Me Love
Joshua Ray Walker, Cuz I Love You
The Early November, Bizarre Love Triangle
Crystal Castles, Not in Love (feat. Robert Smith)
Billy Idol, Don't You (Forget About Me)
Michael Hoenig, Max Headroom
Ezra Collective feat. Olivia Dean, No One’s Watching Me
Soul Coughing, Screenwriter's Blues
Alan Hawkshaw, Studio 69
Har Mar Superstar, Lady, You Shot Me
Alexander IV &amp; Flo Naegeli, Someone Like You
Smokey Robinson, Baby That's Backatcha
Sam Cooke, Cupid
Marvin Berry, Earth Angel (Will You Be Mine?) (feat. The Starlighters(
Lily Allen, Littlest Things
Lovage, Pit Stop (Take Me Home)
The Herbaliser, Ginger Jumps The Fence (Instrumental)
The Lightning Seeds, You Showed Me
Blockhead, Which One Of You Jerks Drank My Arnold Palmer
Handsome Boy Modeling School feat. Miho Hatori &amp; Mike D, Metaphysical
Moon Hooch &amp; Tonio Sagan, A Quantum Love Story (feat. Ann Druyan)
Lee Morgan, Yes I Can
Thee Sacred Souls, Can I Call You Rose?
Jamiroquai, Morning Glory
Jason Joshua, La Vida Es Fría
Maribou State feat. Andreya Triana, All I Need
Adrian Quesada &amp; Buffalo Hunt, Centrifugal
Sababa 5, Tokyo Midnight (feat. Yurika Hanashima)
Frank Zappa, Tell Me You Love Me
The Herbaliser, The Sensual Woman (Instrumental)
The Mothers of Invention, Valarie
The Monkees, Mary, Mary
Igmar Thomas’ Revive Big Band, THELONIUS (feat. Talib Kweli)
Pleasurewood, Ghost Ship
Eddie Parker &amp; Billy Sha-Rae's Soul Congress Band, Love You Baby
Monophonics, Foolish Love
Ginger Root, Loretta (日本語 version)
David Bowie, Wild IsThe Wind
The Killers, When the Dreams Run Dry
HAERTS, Your Love
Feist, Past In Present
Phoenix, Tonight (feat. Ezra Koenig)
The Postal Service, We Will Become Silhouettes
Belle and Sebastian, Ever Had A Little Faith?
The Libertines, Can't Stand Me Now
Pity Sex, Acid Reflex
The Clash, Clampdown
Michigander, I'll Be OK
The Raveonettes, Blush
The Criticals, Mother of Style
Art Brut, Moving To L.A.
The Vaccines, Sometimes, I Swear
Lovejoy, Portrait of a Blank Slate
The Film, Can You Touch Me?
Vistas, Calm
Sea Girls, I Want You To Know Me
Another Sky, The Cracks
Hot Chip, Positive
Anna Meredith, Redbluegreen
M83, Amnesia
Hanne Kolstø, We Don't See Ourselves
Elderbrook, Bob Moses, Inner Light
Moodoïd, Only One Man (with Melody's Echo Chamber)
moa moa, Drive
Blossoms, I Wanna Dance With Somebody
Yuzo Koshiro &amp; Motohiro Kawashima, Jungle Base (Video Game Soundtrack)
Sebadoh, Flame
Sonic Youth, Bull In the Heather
Soul Coughing, Soundtrack To Mary
Throwing Muses, Devil's Roof
Mother Love Bone, Stardog Champion
The Jesus and Mary Chain, Sugar Ray
Frank Black, Los Angeles
Wang Chung, To Live and Die in L.A.
Bran Van 3000, Drinking in L.A.
Missing Persons, Walking In L.A.
The Freeze, This Is Boston, Not L.A.
Miss Fairchild, Foreign Lands
Mr. Lif, Status (feat. Insight)
Gang Starr, Work
Swooli, Millennial 20s
Michael Christmas, Michael Cera
freezepop, Starlight
Al B. Sure!, Nite and Day
The Kinks, Come Dancing
The Housemartins, Happy Hour
Operation Ivy, Take Warning
Poolside, Harvest Moon
David Bowie, Golden Years
M, Pop Musik (7" Mix)
Blondie, Rapture (1981 The Best Of Blondie Edit)
Blue Öyster Cult, Godzilla
The Sweet, Love Is Like Oxygen
Queen, Who Wants to Live Forever
Electric Light Orchestra, Fire On High
Peter Gabriel, I Have the Touch (Robbie Robertson Mix)
The Crystal Ark, Tusk
Depresy, Unpure Romanticismpart 1The Alchemy of Eternity
Cynic, Cosmos
Saprogenic, Poison Replaces Oxygen
The Darkness, Love On the Rocks With No Ice
Demored, Well of Liquid Souls
Michel Genest, Radiant Rainbow Prism
Abominat, Derelict
Dan Swanö, Uncreation
Nightbringer, Lucifer Trismegistus
Brad Fiedel, Tech Noir/Alley Chase
SepticFlesh, Dark Art
Nile, 4th Arra of Dagon
Desolate Shrine, Cast To Walk the Star of Tomorrow
Michel Genest, Radiant Rainbow Prism
Tsukasa Saitoh, Blood-starved Beast
Drawn and Quartered, The One Who Lurks
Funeralium, Hang These Bastards
Vampire, At Midnight I'll Possess Your Corpse
Darkthrone, Hiking Metal Punks
Satanic Puppeteer Orchestra, The Apple Orchard
Symbyosis, War Phenomenon
Brutality, Septicemic Plague
Voivod, Mind Clock
Capharnaum, Journey Beyond
Michel Genest, Radiant Rainbow Prism
Cannibal Corpse, Unleashing the Bloodthirsty
Handsome Furs, Passport Kontrol
