Juliana Hatfield, What a Life
Morphine, Thursday
Todd Rundgren, Couldn't I Just Tell You
Larkin Poe, If God Is a Woman
John Lennon, How Do You Sleep?
Stan Ridgway, Drive, She Said
Lucinda Williams, Can't Let Go
NRBQ, Howard Johnson's Got His Ho-Jo Working
Jeff Lorber &amp; Karen White, The Facts of Love
Sea Level, Scarborough Fair
Kate Bush, Night of the Swallow
Mike Oldfield, Five Miles Out
The Neighborhoods, No Place Like Home
Mose Allison, Young Man's Blues
Green Day, The Grouch
Plastiscines, Loser
Big Bill Broonzy, Midnight Special
k.d. lang, Hanky Panky
Robert Gordon, Am I Blue
Big Audio Dynamite, Esquerita
X, I'm Coming Over
The Muffs, New Love
Genesis, Whodunnit?
Depeche Mode, I Feel You (Renegade Soundwave Afghan Surgery Mix)
Bis, Dead Wrestlers
Marianne Faithfull, Brain Drain
Bill Nelson, Banal
Talking Heads, Warning Sign
Spirit, 1984
The Boomtown Rats, Someone's Looking At You
Brian Setzer Orchestra, The House Is Rockin'
Mick Ronson, White Light / White Heat
Rye Coalition, Pussyfootin
Ferdinand Jay Smith III, HBO Feature Presentation ("Flight Over The City")
Joe McPhee, Shakey Jake
David Bowie, A New Career in a New Town
Battles, Tonto
L'Impératrice, Sonate Pacifique (feat. Isaac Delusion)
Little Dragon, Klapp Klapp
Groove Armada, Superstylin'
Tori Amos, Professional Widow (Armand's Star Trunk Funkin' Mix)
Sarah McLachlan, Possession (Rabbit In the Moon Mix)
Faithless, Drifting Away (Paradiso Remix)
Wolfsheim, Once In A Lifetime
Depeche Mode, Pleasure, Little Treasure (PCM Stereo)
The Temper Trap, Drum Song
Orbital, The Box
Don Mclean, Empty Chairs
Roberta Flack, Killing Me Softly With His Song
Roberta Flack, Compared to What
Undisputed Truth, Smiling Faces Sometimes
The Animals, We Gotta Get Out of This Place (US Single Version)
Robin Lane &amp; The Chartbusters, When Things Go Wrong
The Damned, I Just Can't Be Happy Today
8 Bit Universe, Slow Ride (8 Bit Tribute to Foghat)
Fleetwood Mac, Silver Springs (Live)
The Magnetic Fields, Yeah! Oh, Yeah!
Tom Lehrer, Harvard Fight Song
Plastic Bertrand, Ça Plane Pour Moi
Coyote Shivers, Sugarhigh
They Might Be Giants, The Communists Have the Music
Soltero, Communist Love Song
Wings, Love Take Me Down (To the Streets)
Geronimo Jackson, Dharma Lady
Grateful Dead, Touch of Grey
Jonathan Edwards, Shanty
Led Zeppelin, That's the Way
