     seq                                        show                                      episode                                  artist                                                                     track
0      0                              ENJOY YOUR DAY                                          #73                            Book of Love                                                                       Boy
1      1                              ENJOY YOUR DAY                                          #73                                 Kon Kan                    I Beg Your Pardon (I Never Promised You a Rose Garden)
2      2                              ENJOY YOUR DAY                                          #73                            Anything Box                                                               When We Lie
3      3                              ENJOY YOUR DAY                         Pick Your Own Apples                             Beach Bunny                                                                  Clueless
4      4                              ENJOY YOUR DAY                         Pick Your Own Apples                                Mal Blum                                                                 Better Go
5      5                              ENJOY YOUR DAY                         Pick Your Own Apples                                 Schande                                                          Gregor Macgregor
6      6                              ENJOY YOUR DAY                         Pick Your Own Apples                            Wild Nothing                                                            Summer Holiday
7      7                              ENJOY YOUR DAY                         Pick Your Own Apples                                 Alvvays                                                               Atop a Cake
8      8                              ENJOY YOUR DAY                         Pick Your Own Apples                                Mediocre                                                                Litterbug!
9      9                              ENJOY YOUR DAY                         Pick Your Own Apples                         Remember Sports                                                             Where Are You
10    10                              ENJOY YOUR DAY                         Pick Your Own Apples                             Yo La Tengo                                                           Nothing to Hide
11    11                              ENJOY YOUR DAY                         Pick Your Own Apples                      illuminati hotties                                                           What's the Fuzz
12    12                              ENJOY YOUR DAY                         Pick Your Own Apples                           Hazel English                                                             Summer Nights
13    13                              ENJOY YOUR DAY                           Minor Construction                             Real Estate                                                                    Daniel
14    14                              ENJOY YOUR DAY                           Minor Construction                           The Clientele                                                       Trains in the Night
15    15                              ENJOY YOUR DAY                           Minor Construction                             The Beatles                                                            It's Only Love
16    16                              ENJOY YOUR DAY                           Minor Construction                               The Kinks                                              Waterloo Sunset (Stereo Mix)
17    17                              ENJOY YOUR DAY                           Minor Construction                       The Green Pajamas                                                    I Have Touched Madness
18    18                              ENJOY YOUR DAY                           Minor Construction                           Matthew Sweet                                                            We're the Same
19    19                              ENJOY YOUR DAY                           Minor Construction                         Teenage Fanclub                                                                 About You
20    20                              ENJOY YOUR DAY                           Minor Construction                              The School                                                     Put Your Hand In Mine
21    21                              ENJOY YOUR DAY                           Minor Construction                             The Softies                                                     California Highway 99
22    22                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                                Bon Iver                                                           S P E Y S I D E
23    23                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                       Haley Heynderickx                                                                  Foxglove
24    24                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                        DeYarmond Edison                                                               Dead Anchor
25    25                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                             Fleet Foxes                                                        Helplessness Blues
26    26                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                                Son Volt                                                          Tear Stained Eye
27    27                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                             Waxahatchee                                                    Much Ado About Nothing
28    28                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub                       Drive-By Truckers                                                 Maria's Awful Disclosures
29    29                              ENJOY YOUR DAY                 Yes There Is A Cat Nightclub         Bright Eyes & Alex Orange Drink                                                          Rainbow Overpass
30    30                              ENJOY YOUR DAY  Just Playing a DJ Sabrina Mixtape Next Week                       Temple of the Dog                                                             Hunger Strike
31    31                          VERY SELDOM CASUAL                                      unknown                            Gang Of Four                                                 I Found That Essence Rare
32    32                          VERY SELDOM CASUAL                                      unknown                   Rocket from the Tombs                                                               I Sell Soul
33    33                          VERY SELDOM CASUAL                                      unknown                              Goldfinger                                                      Here In Your Bedroom
34    34                          VERY SELDOM CASUAL                                      unknown                               Kate Bush                                                        Suspended In Gaffa
35    35                          VERY SELDOM CASUAL                                      unknown                                   Queen                                       Death On Two Legs (Dedicated To...)
36    36                          VERY SELDOM CASUAL                                      unknown                           Was (Not Was)                                                       Out Come the Freaks
37    37                          VERY SELDOM CASUAL                                      unknown                                    Ween                                                            Roses Are Free
38    38                          VERY SELDOM CASUAL                                      unknown                           Impact Driver                                                            Cuppa Ambition
39    39                          VERY SELDOM CASUAL                                      unknown                             Deep Purple                                                           Maybe I'm a Leo
40    40                          VERY SELDOM CASUAL                                      unknown           Nick Lowe & Los Straitjackets                                                         Jet Pac Boomerang
41    41                          VERY SELDOM CASUAL                                      unknown                    Martha & The Muffins                                                        Cooling The Medium
42    42                          VERY SELDOM CASUAL                                      unknown                             Sonic Youth                                                               The Neutral
43    43                          VERY SELDOM CASUAL                                      unknown                        Bram Tchaikovsky                                                         Girl of My Dreams
44    44                          VERY SELDOM CASUAL                                      unknown                                The dB's                                                            Big Brown Eyes
45    45                          VERY SELDOM CASUAL                                      unknown                           The Soft Boys                                                 Let Me Put It Next to You
46    46                          VERY SELDOM CASUAL                                      unknown                    The Flamin' Groovies                                                        Please Please Girl
47    47                          VERY SELDOM CASUAL                                      unknown                 The Holy Modal Rounders                                                                  Euphoria
48    48                          VERY SELDOM CASUAL                                      unknown                                 The Who                                                           I Can't Explain
49    49                          VERY SELDOM CASUAL                                      unknown                              Liam Lynch                                                 United States of Whatever
50    50                          VERY SELDOM CASUAL                                      unknown                                    Devo                                                        Too Much Paranoias
51    51                          VERY SELDOM CASUAL                                      unknown                             The Belairs                                                                  Mr. Moto
52    52                          VERY SELDOM CASUAL                                      unknown                        Mission of Burma                                                  This Is Not a Photograph
53    53                          VERY SELDOM CASUAL                                      unknown                             The Ramones                                                 I Can't Give You Anything
54    54                          VERY SELDOM CASUAL                                      unknown                          November Group                                                                  Flatland
55    55                          VERY SELDOM CASUAL                                      unknown                                  Dragon                                                                      Rain
56    56                          VERY SELDOM CASUAL                                      unknown                                  Visage                                                              Fade to Grey
57    57                          VERY SELDOM CASUAL                                      unknown                                 Lettuce                                                                Silverdome
58    58                          VERY SELDOM CASUAL                                      unknown           Joe Strummer & The Mescaleros                                                            Get Down Moses
59    59                          VERY SELDOM CASUAL                                      unknown                           Talking Heads                                                  Love -> Building On Fire
60    60                          VERY SELDOM CASUAL                                      unknown                                     Bis                                           The Powerpuff Girls (End Theme)
61    61                          VERY SELDOM CASUAL                                      unknown                       Social Distortion                                                                  Bad Luck
62    62                          VERY SELDOM CASUAL                                      unknown                           The Dictators                                                              Stay With Me
63    63                          VERY SELDOM CASUAL                                      unknown                         LCD Soundsystem                                          Daft Punk Is Playing At My House
64    64                          VERY SELDOM CASUAL            Thanks for listening! You did it!                              Ian Hunter                                                        Just Another Night
65    65                          RADIO FREE ENTROPY                                          #55                           Glen Campbell                                         Good Riddance (Time of Your Life)
66    66                          RADIO FREE ENTROPY                                          #55                             Margo Price                    Fight to Make It (feat. Mavis Staples & Adia Victoria)
67    67                          RADIO FREE ENTROPY                                          #55                            Taylor Swift                                 Florida!!! (feat. Florence + The Machine)
68    68                          RADIO FREE ENTROPY                                          #55                           Chappell Roan                                                          Good Luck, Babe!
69    69                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW            The Bourbon Tabernacle Choir   While We've Got Your Attention I'd Like To Point Out A Couple Of Things
70    70                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW            Sharon Jones & The Dap-Kings                                        People Don't Get What They Deserve
71    71                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW                         Mother's Finest  Truth'll Set You Free > Can't Fight the Feeling (Live at the Print Shop)
72    72                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW                              Parliament                                                            Chocolate City
73    73                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW                          Gary Clark Jr.                             What About The Children (feat. Stevie Wonder)
74    74                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW                            Orville Peck                                            Death Valley High (feat. Beck)
75    75                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW                               Alabama 3                                                           Get On This One
76    76                          RADIO FREE ENTROPY                          wElCoMe To ThE sHoW                       Drive-By Truckers                                                      Thoughts and Prayers
77    77                          RADIO FREE ENTROPY                                   talk break                              The Donnas                                                                  Strutter
78    78                          RADIO FREE ENTROPY                                   talk break                                   Queen                                                          Somebody To Love
79    79                          RADIO FREE ENTROPY                                   talk break                                    KISS                                                          Calling Dr. Love
80    80                          RADIO FREE ENTROPY                                   talk break                             Cheap Trick                                                                 Surrender
81    81                          RADIO FREE ENTROPY                                   talk break                    They Might Be Giants                                                               Doctor Worm
82    82                          RADIO FREE ENTROPY                                   talk break                    Hallelujah The Hills                  I'm In The Phone Book,I'm On The Planet,I'm Dying Slowly
83    83                          RADIO FREE ENTROPY                                   talk break                           Bend Sinister                                                                  Big Star
84    84                          RADIO FREE ENTROPY                                   talk break                             Flatfoot 56                                                           Electric Avenue
85    85                          RADIO FREE ENTROPY              bagpipes make everything better                           Cheap Perfume                                                  It's Okay to Punch Nazis
86    86                          RADIO FREE ENTROPY              bagpipes make everything better                          Cherry Glazerr                                             Told You I'd Be with the Guys
87    87                          RADIO FREE ENTROPY              bagpipes make everything better                             Glam Skanks                                                          Miss Androgynous
88    88                          RADIO FREE ENTROPY              bagpipes make everything better                             The Weekend                                                   Workin' For The Weekend
89    89                          RADIO FREE ENTROPY              bagpipes make everything better                             Louise Post                                                              You Get High
90    90                          RADIO FREE ENTROPY              bagpipes make everything better                                 Blondie                                                                   Gravity
91    91                          RADIO FREE ENTROPY              bagpipes make everything better                                  Metric                                                       Youth Without Youth
92    92                          RADIO FREE ENTROPY                     gOoD nIgHt AnD gOoD lUcK                         The Raveonettes                                                           Uncertain Times
93    93                              GUNS OR BUTTER                                          #29                           Liquid Liquid                                                                    Cavern
94    94                              GUNS OR BUTTER                                          #29                                 Squeeze                                                             Cool For Cats
95    95                              GUNS OR BUTTER                                          #29                                 Tin Tin                                                                   Kiss Me
96    96                              GUNS OR BUTTER                                          #29                         Express Therapy                                                               Me & Myself
97    97                              GUNS OR BUTTER                                          #29                          The Undertones                                                            Wednesday Week
98    98                              GUNS OR BUTTER                                          #29                              The Vapors                                                          Turning Japanese
99    99                              GUNS OR BUTTER                                          #29                        Christian Kleine                                                                Friday End
100  100                              GUNS OR BUTTER                                          #29                                  Jawbox                                                              Cooling Card
101  101                              GUNS OR BUTTER                                          #29                                   Sugar                                                               A Good Idea
102  102                              GUNS OR BUTTER                                          #29                            Entropy (DE)                                                                    Kenoma
103  103                              GUNS OR BUTTER                                          #29                             Fretblanket                                                                   Twisted
104  104                              GUNS OR BUTTER                                          #29                               Dragmules                                                                 Send Away
105  105                              GUNS OR BUTTER                                          #29                        Christian Kleine                                                                    Lucien
106  106                              GUNS OR BUTTER                                          #29                                    Lush                                                           Nothing Natural
107  107                              GUNS OR BUTTER                                          #29                                Mo Dotti                                                              wasted delay
108  108                              GUNS OR BUTTER                                          #29                          Drop Nineteens                                                                     Angel
109  109                              GUNS OR BUTTER                                          #29                              The Ropers                                                           It's So Strange
110  110                              GUNS OR BUTTER                                          #29                        Christian Kleine                                                                        TV
111  111                              GUNS OR BUTTER                                          #29                              Gary Numan                                                 Me! I Disconnect from You
112  112                              GUNS OR BUTTER                                          #29                      The Flying Lizards                                                                     Money
113  113                              GUNS OR BUTTER                                          #29                                 Allie X                                                         Girl With No Face
114  114                              GUNS OR BUTTER                                          #29                              The Bongos                                                            Apache Dancing
115  115                              GUNS OR BUTTER                                          #29                        Christian Kleine                                                                   Statues
116  116                              GUNS OR BUTTER                                          #29                               The Names                                                                  Calcutta
117  117                              GUNS OR BUTTER                                          #29                            The Occasion                                                                 No Future
118  118                              GUNS OR BUTTER                                          #29               Siouxsie and the Banshees                                                           Swimming Horses
119  119                              GUNS OR BUTTER                                          #29                                The Cure                                                              Birdmad Girl
120  120                              GUNS OR BUTTER                                          #29                        Christian Kleine                                                                       TVZ
121  121                              GUNS OR BUTTER                                          #29                           Mavis Piggott                                                             Keeping Still
122  122                              GUNS OR BUTTER                                          #29                                 Frosted                                                                  Hey Girl
123  123                              GUNS OR BUTTER                                          #29                                Janelane                                             Think I'd Be Fine Without You
124  124                              GUNS OR BUTTER                                          #29                               that dog.                                                    He's Kissing Christian
125  125                              GUNS OR BUTTER                                          #29                             Team Dresch                                                    She's Crushing My Mind
126  126                              GUNS OR BUTTER                                          #29                        Christian Kleine                                                                 Delicious
127  127                             ALLSTON PUDDING                                          #17                                Mallcops                                                       Fear of Missing Out
128  128                             ALLSTON PUDDING                                          #17                              Lady Pills                                                                      BN2B
129  129                             ALLSTON PUDDING                                          #17                                 Winkler                                                              Bazooka Baby
130  130                             ALLSTON PUDDING                                          #17                               Deer Isle                                                               Six O'Clock
131  131                             ALLSTON PUDDING                                          #17                           Jake McKelvie                                                             Once Unseated
132  132                             ALLSTON PUDDING                                          #17                             Otis Shanty                                                                   Outrage
133  133                             ALLSTON PUDDING                                          #17                         Boo Boo Spoiler                                                             boo boo 4ever
134  134                             ALLSTON PUDDING                                          #17                        The Collect Pond                                                          Sympathetic Hero
135  135                             ALLSTON PUDDING                                   Talk Break                            MJ Lenderman                                           You Don't Know The Shape I'm In
136  136                             ALLSTON PUDDING                                   Talk Break                             Merce Lemon                                                                      Crow
137  137                             ALLSTON PUDDING                                   Talk Break                            Clinic Stars                                                                  Isn't It
138  138                             ALLSTON PUDDING                                   Talk Break                                  Belong                                                             Difficult Boy
139  139                             ALLSTON PUDDING                                   Talk Break                                 Xiu Xiu                                                               Common Loon
140  140                             ALLSTON PUDDING                                   Talk Break               fantasy of a broken heart                                                                 Doughland
141  141                             ALLSTON PUDDING                                   Talk Break                     Peel Dream Magazine                                                         Lie In the Gutter
142  142                             ALLSTON PUDDING                                   Talk Break                                 Porches                                                         Crying At The End
143  143                             ALLSTON PUDDING                                   Talk Break                                 Midwife                                                          Better Off Alone
144  144                             ALLSTON PUDDING                                   Talk Break                         Trace Mountains                                                               Gone & Done
145  145                             ALLSTON PUDDING                                   Talk Break                     Starcleaner Reunion                                                                  Snowfeel
146  146                             ALLSTON PUDDING                                   Talk Break                       Fievel Is Glauque                                                         As Above So Below
147  147                             ALLSTON PUDDING                                   Talk Break                              Being Dead                                                                 Goodnight
