     seq                show                                                        episode                                             artist                                                       track
0      0  VERY SELDOM CASUAL                                                        unknown                                         The Posies                                                   Hate Song
1      1  VERY SELDOM CASUAL                                                        unknown                                             Visage                                                         Tar
2      2  VERY SELDOM CASUAL                                                        unknown                Johnny Thunders & The Heartbreakers                                               Chinese Rocks
3      3  VERY SELDOM CASUAL                                                        unknown                                              Slade                                               Gudbuy T'Jane
4      4  VERY SELDOM CASUAL                                                        unknown                                               Free                                                 I'm a Mover
5      5  VERY SELDOM CASUAL                                                        unknown                                  Fantastic Negrito                                                Working Poor
6      6  VERY SELDOM CASUAL                                                        unknown                                        Soundgarden                                                    Spoonman
7      7  VERY SELDOM CASUAL                                                        unknown                                      Tanya Donelly                                                 Pretty Deep
8      8  VERY SELDOM CASUAL                                                        unknown                                       Oingo Boingo                                                  Only A Lad
9      9  VERY SELDOM CASUAL                                                        unknown                                   Blue Öyster Cult                          Cities On Flame With Rock and Roll
10    10  VERY SELDOM CASUAL                                                        unknown                                       Midnight Oil                                               Blue Sky Mine
11    11  VERY SELDOM CASUAL                                                        unknown                    Shawn Lee's Ping Pong Orchestra                                                    Trick Me
12    12  VERY SELDOM CASUAL                                                        unknown                                    The Coathangers                                          One Way Or Another
13    13  VERY SELDOM CASUAL                                                        unknown                   Elvis Costello & The Attractions                           I Can't Stand Up For Falling Down
14    14  VERY SELDOM CASUAL                                                        unknown                                      The Vibrators                                                    Bad Time
15    15  VERY SELDOM CASUAL                                                        unknown                                             Nebula                                                   Come Down
16    16  VERY SELDOM CASUAL                                                        unknown                                    Banda Black Rio                                                Maria Fumaça
17    17  VERY SELDOM CASUAL                                                        unknown                                          Weedeater                                                Wizard Fight
18    18  VERY SELDOM CASUAL                                                        unknown                            Queens of the Stone Age                                                  Medication
19    19  VERY SELDOM CASUAL                                                        unknown                                       Mose Allison                                            I'm the Wild Man
20    20  VERY SELDOM CASUAL                                                        unknown                                         The Sadies                                               Medicine Ball
21    21  VERY SELDOM CASUAL                                                        unknown                               Camper Van Beethoven                                                      Wasted
22    22  VERY SELDOM CASUAL                                                        unknown                                            The Jam                                                      Start!
23    23  VERY SELDOM CASUAL                                                        unknown                                   Cabaret Voltaire                                   James Brown (7'' Version)
24    24  VERY SELDOM CASUAL                                                        unknown                                     Black Mountain                                 Don't Run Our Hearts Around
25    25  VERY SELDOM CASUAL                                                        unknown                             Manic Street Preachers                                              Decline & Fall
26    26  VERY SELDOM CASUAL                                                        unknown                                           The Cure                                              Boys Don't Cry
27    27  VERY SELDOM CASUAL                                                        unknown                                The Dream Syndicate                                      Tell Me When It's Over
28    28  VERY SELDOM CASUAL                                                        unknown                                        Fatboy Slim                                             Michael Jackson
29    29  VERY SELDOM CASUAL                                                        unknown                                      Urge Overkill                                               The Candidate
30    30  VERY SELDOM CASUAL                                                        unknown                                           Elastica                                                     Stutter
31    31  VERY SELDOM CASUAL                                                        unknown                                   The Empty Hearts                                     The World's Gone Insane
32    32  VERY SELDOM CASUAL                                                        unknown                                         Superchunk                                              I Hate History
33    33  VERY SELDOM CASUAL  Thanks for listening! It was a good idea afterall, wasn't it?                                                  X                               Sex And Dying In High Society
34    34           UNCERTAIN                                                           #699                                               MONO                                    Halcyon (Beautiful Days)
35    35           UNCERTAIN                                                           #699                                            Shellac                                            The End of Radio
36    36           UNCERTAIN                                                           #699                                            Pigface                                                        Suck
37    37           UNCERTAIN                                                           #699                                      Leonard Nimoy                               Music to Watch Space Girls By
38    38           UNCERTAIN                                                           #699                                         Jawbreaker                               The Boat Dreams From the Hill
39    39           UNCERTAIN                                                           #699                                       The Breeders                                                  Lime House
40    40           UNCERTAIN                                                           #699                                          Big Black                                                   The Model
41    41           UNCERTAIN                                                           #699                                  Screaming Females                                        It All Means Nothing
42    42           UNCERTAIN                                                           #699                                         Superchunk                                             Throwing Things
43    43           UNCERTAIN                                                           #699                                             Pixies                                                      Cactus
44    44           UNCERTAIN                                                           #699                                                Low                                                   Sunflower
45    45           UNCERTAIN                                                           #699                                            Nirvana              All Apologies (Original Steve Albini 1993 Mix)
46    46           UNCERTAIN                                                           #699                                   The Jesus Lizard                                              Mouth Breather
47    47           UNCERTAIN                                                           #699                                            McLusky                                To Hell With Good Intentions
48    48           UNCERTAIN                                                           #699                                           Brainiac                                        Noth1ng 3V3r Chan935
49    49           UNCERTAIN                                                           #699                                     Cloud Nothings                                                Stay Useless
50    50           UNCERTAIN                                                           #699                                        Cheap Trick                                                Brontosaurus
51    51           UNCERTAIN                                                           #699                    Shadowy Men On A Shadowy Planet                                 Spy School Graduation Theme
52    52           UNCERTAIN                                                           #699                                   Guided By Voices                                          Big Boring Wedding
53    53           UNCERTAIN                                                           #699                                              Slint                                                       Glenn
54    54           UNCERTAIN                                                           #699                                          PJ Harvey                                          Rub 'Til It Bleeds
55    55           UNCERTAIN                                                           #699                                      Joanna Newsom                                                      Cosmia
56    56           UNCERTAIN                                                           #699                                        Songs: Ohia                                       Farewell Transmission
57    57           UNCERTAIN                                                           #699                                       Beastie Boys        Multilateral Nuclear Disarmament (Instrumental Loop)
58    58           UNCERTAIN                                                           #699                                   Juliana Hatfield                                              Telephone Line
59    59           UNCERTAIN                                                           #699                                            Ramones                                   I Wanna Be Your Boyfriend
60    60           UNCERTAIN                                                           #699                                      Colleen Green                                                          TV
61    61           UNCERTAIN                                                           #699                                               Omni                                             Plastic Pyramid
62    62           UNCERTAIN                                                           #699                                      Nabihah Iqbal                                  This World Couldn’t See Us
63    63           UNCERTAIN                                                           #699                                           Mahjongg                                                The Rrabbitt
64    64           UNCERTAIN                                                           #699                                            Madness                                              Baggy Trousers
65    65           UNCERTAIN                                                           #699                               They Might Be Giants                                   Man, It's So Loud In Here
66    66           UNCERTAIN                                                           #699                                             Prince                    I Could Never Take The Place Of Your Man
67    67           UNCERTAIN                                                           #699                                       Cyndi Lauper                                   She Bop (7" Single Remix)
68    68           UNCERTAIN                                                           #699                                          New Order                                             Love Vigilantes
69    69           UNCERTAIN                                                           #699                                              Tribe                                    Joyride (I Saw The Film)
70    70           UNCERTAIN                                                           #699                                           The Cure                                               Mr. Pink Eyes
71    71           UNCERTAIN                                                           #699                                "Weird Al" Yankovic  Attack of the Radioactive Hamsters from a Planet Near Mars
72    72           UNCERTAIN                                                           #699                                  Walt Disney World                     Tomorrowland Area Loop (First Movement)
73    73           UNCERTAIN                                                           #699                  Peter Fernandez and Keith Messier                                                     Popcorn
74    74           UNCERTAIN                                                           #699                                             RuPaul                                              Call Me Mother
75    75           UNCERTAIN                                                           #699                                         Underworld                                              Two Months Off
76    76           UNCERTAIN                                                           #699                        Emergency Broadcast Network                          Electronic Behavior Control System
77    77           UNCERTAIN                                                           #699                                                Pob                                                  Bluebottle
78    78           UNCERTAIN                                                           #699                                         Power-Pill                             Pac-Man (Original Full Version)
79    79           UNCERTAIN                                                           #699                                      Saint Etienne                                        Stormtrooper In Drag
80    80           UNCERTAIN                                                           #699                                             Transa                                     Enervate (Original Mix)
81    81           UNCERTAIN                                                           #699                                         Lost Tribe                                   Gamemaster (Original Mix)
82    82           UNCERTAIN                                                           #699                                     Dream Traveler                                     Time (Original Version)
83    83           UNCERTAIN                                                           #699                                      Still Corners                                                 The Message
84    84           UNCERTAIN                                                           #699                                        David Bowie                                                    "Heroes"
85    85           UNCERTAIN                                                           #699                               Hallelujah The Hills                                           Here Goes Nothing
86    86           UNCERTAIN                                                           #699                                                 U2                                                Drowning Man
87    87           UNCERTAIN                                                           #699                                          Minutemen                                       The Price of Paradise
88    88           UNCERTAIN                                                           #699                                     The Stranglers                                       No More Heroes (Edit)
89    89           UNCERTAIN                                                           #699                                            Nirvana                                Dumb (Steve Albini 2013 Mix)
90    90           UNCERTAIN                                                           #699                                The Wedding Present                                                    Corduroy
91    91           UNCERTAIN                                                           #699                                     Chuck Mangione                                        Cannonball Run Theme
92    92           UNCERTAIN                                                           #699                                          Big Black                                                    Kerosene
93    93           UNCERTAIN                                                           #699                                      Talking Heads                                               Love for Sale
94    94      ENJOY YOUR DAY                                                            #74                                          Wildhoney                                                 Slow Motion
95    95      ENJOY YOUR DAY                                                            #74                                   Seaweed Mustache                                                       Flush
96    96      ENJOY YOUR DAY                                                            #74                                         trauma ray                                                      Bishop
97    97      ENJOY YOUR DAY                                             Good Running Music                          DJ Sabrina The Teenage DJ                                You('ll Always) Own My Heart
98    98      ENJOY YOUR DAY                                             Good Running Music                                        Hotline TNT    I Thought You'd Change (DJ Sabrina The Teenage DJ Remix)
99    99      ENJOY YOUR DAY                                             Good Running Music                                          The Field                                                   Istedgade
100  100      ENJOY YOUR DAY                                             Good Running Music                                           Hot Chip                                                      Flutes
101  101      ENJOY YOUR DAY                                             Good Running Music                                             Jungle                                      Beat 54 (All Good Now)
