     seq                 show                                                        episode                                                  artist                                                                       track
0      0       ENJOY YOUR DAY                                                            #74                                               Wildhoney                                                                 Slow Motion
1      1       ENJOY YOUR DAY                                                            #74                                        Seaweed Mustache                                                                       Flush
2      2       ENJOY YOUR DAY                                                            #74                                              trauma ray                                                                      Bishop
3      3       ENJOY YOUR DAY                                             Good Running Music                               DJ Sabrina The Teenage DJ                                                You('ll Always) Own My Heart
4      4       ENJOY YOUR DAY                                             Good Running Music                                             Hotline TNT                    I Thought You'd Change (DJ Sabrina The Teenage DJ Remix)
5      5       ENJOY YOUR DAY                                             Good Running Music                                               The Field                                                                   Istedgade
6      6       ENJOY YOUR DAY                                             Good Running Music                                                Hot Chip                                                                      Flutes
7      7       ENJOY YOUR DAY                                             Good Running Music                                                  Jungle                                                      Beat 54 (All Good Now)
8      8       ENJOY YOUR DAY                                             Good Running Music                                                 Caribou                                                                Come Find Me
9      9       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                                  Clairo                                                                  Love Songs
10    10       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                               Tchotchke                                                          You'll Remember Me
11    11       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                         The Lemon Twigs                                                                     The One
12    12       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                                 Foxygen                                                          How Can You Really
13    13       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                                 Whitney                                                       No Matter Where We Go
14    14       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                                    TOPS                                                             Direct Sunlight
15    15       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                               Destroyer                                                          New Ways of Living
16    16       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                              JW Francis                                                                 Mississippi
17    17       ENJOY YOUR DAY                                 We'll Make Great Pets (Vocals)                                              Mt. Misery                                                                   Waking Up
18    18       ENJOY YOUR DAY                                           No Heat Club Turn Up                                      Daughter of Swords                                                              Alone Together
19    19       ENJOY YOUR DAY                                           No Heat Club Turn Up                                                Wild Cub                                                             Thunder Clatter
20    20       ENJOY YOUR DAY                                           No Heat Club Turn Up                                          Tegan and Sara                                                           Back In Your Head
21    21       ENJOY YOUR DAY                                           No Heat Club Turn Up                                              Best Coast                                                                    Bratty B
22    22       ENJOY YOUR DAY                                           No Heat Club Turn Up                                              Toro y Moi                                                               Empty Nesters
23    23       ENJOY YOUR DAY                                           No Heat Club Turn Up                                               Ducktails                                                                 Under Cover
24    24       ENJOY YOUR DAY                                           No Heat Club Turn Up                                        The Sea and Cake                                                               I Should Care
25    25       ENJOY YOUR DAY                                           No Heat Club Turn Up                                        The Hard Quartet                                                                         Hey
26    26       ENJOY YOUR DAY                      Sing Along In Your Cubicle or Home Office                                           Guns N' Roses                                                               Paradise City
27    27   VERY SELDOM CASUAL                                                        unknown                                              The Posies                                                                   Hate Song
28    28   VERY SELDOM CASUAL                                                        unknown                                                  Visage                                                                         Tar
29    29   VERY SELDOM CASUAL                                                        unknown                     Johnny Thunders & The Heartbreakers                                                               Chinese Rocks
30    30   VERY SELDOM CASUAL                                                        unknown                                                   Slade                                                               Gudbuy T'Jane
31    31   VERY SELDOM CASUAL                                                        unknown                                                    Free                                                                 I'm a Mover
32    32   VERY SELDOM CASUAL                                                        unknown                                       Fantastic Negrito                                                                Working Poor
33    33   VERY SELDOM CASUAL                                                        unknown                                             Soundgarden                                                                    Spoonman
34    34   VERY SELDOM CASUAL                                                        unknown                                           Tanya Donelly                                                                 Pretty Deep
35    35   VERY SELDOM CASUAL                                                        unknown                                            Oingo Boingo                                                                  Only A Lad
36    36   VERY SELDOM CASUAL                                                        unknown                                        Blue Öyster Cult                                          Cities On Flame With Rock and Roll
37    37   VERY SELDOM CASUAL                                                        unknown                                            Midnight Oil                                                               Blue Sky Mine
38    38   VERY SELDOM CASUAL                                                        unknown                         Shawn Lee's Ping Pong Orchestra                                                                    Trick Me
39    39   VERY SELDOM CASUAL                                                        unknown                                         The Coathangers                                                          One Way Or Another
40    40   VERY SELDOM CASUAL                                                        unknown                        Elvis Costello & The Attractions                                           I Can't Stand Up For Falling Down
41    41   VERY SELDOM CASUAL                                                        unknown                                           The Vibrators                                                                    Bad Time
42    42   VERY SELDOM CASUAL                                                        unknown                                                  Nebula                                                                   Come Down
43    43   VERY SELDOM CASUAL                                                        unknown                                         Banda Black Rio                                                                Maria Fumaça
44    44   VERY SELDOM CASUAL                                                        unknown                                               Weedeater                                                                Wizard Fight
45    45   VERY SELDOM CASUAL                                                        unknown                                 Queens of the Stone Age                                                                  Medication
46    46   VERY SELDOM CASUAL                                                        unknown                                            Mose Allison                                                            I'm the Wild Man
47    47   VERY SELDOM CASUAL                                                        unknown                                              The Sadies                                                               Medicine Ball
48    48   VERY SELDOM CASUAL                                                        unknown                                    Camper Van Beethoven                                                                      Wasted
49    49   VERY SELDOM CASUAL                                                        unknown                                                 The Jam                                                                      Start!
50    50   VERY SELDOM CASUAL                                                        unknown                                        Cabaret Voltaire                                                   James Brown (7'' Version)
51    51   VERY SELDOM CASUAL                                                        unknown                                          Black Mountain                                                 Don't Run Our Hearts Around
52    52   VERY SELDOM CASUAL                                                        unknown                                  Manic Street Preachers                                                              Decline & Fall
53    53   VERY SELDOM CASUAL                                                        unknown                                                The Cure                                                              Boys Don't Cry
54    54   VERY SELDOM CASUAL                                                        unknown                                     The Dream Syndicate                                                      Tell Me When It's Over
55    55   VERY SELDOM CASUAL                                                        unknown                                             Fatboy Slim                                                             Michael Jackson
56    56   VERY SELDOM CASUAL                                                        unknown                                           Urge Overkill                                                               The Candidate
57    57   VERY SELDOM CASUAL                                                        unknown                                                Elastica                                                                     Stutter
58    58   VERY SELDOM CASUAL                                                        unknown                                        The Empty Hearts                                                     The World's Gone Insane
59    59   VERY SELDOM CASUAL                                                        unknown                                              Superchunk                                                              I Hate History
60    60   VERY SELDOM CASUAL  Thanks for listening! It was a good idea afterall, wasn't it?                                                       X                                               Sex And Dying In High Society
61    61   RADIO FREE ENTROPY                                                            #56                                            The Revillos                                                            Your Baby's Gone
62    62   RADIO FREE ENTROPY                                                            #56                                          Detroit Cobras                                                                Bye Bye Baby
63    63   RADIO FREE ENTROPY                                                            #56                                      Ko & The Knockouts                                                           I Really Hate You
64    64   RADIO FREE ENTROPY                                                            #56                                         The Saw Doctors                                             That's What She Said Last Night
65    65   RADIO FREE ENTROPY                                            WeLcOmE tO tHe ShOw                                             Dust Rhinos                                                         Don't Come Knocking
66    66   RADIO FREE ENTROPY                                            WeLcOmE tO tHe ShOw                                               Levellers                                 The Recruiting Sergeant (War Child Version)
67    67   RADIO FREE ENTROPY                                            WeLcOmE tO tHe ShOw                                          The Stanfields                                                                Mrs. McGrath
68    68   RADIO FREE ENTROPY                                            WeLcOmE tO tHe ShOw                                        The Dreadnoughts                                                              The Cruel Wars
69    69   RADIO FREE ENTROPY                                            WeLcOmE tO tHe ShOw                                         Kilmaine Saints                                                       The Fields of Athenry
