     seq                                  show                                               episode                                  artist                                                              track
0      0                               unknown                                               unknown                             Utah Saints                                                     Something Good
1      1                               unknown                                               unknown              The Campaign For Real Time                                                 Something Is Wrong
2      2                               unknown                                               unknown                             Death Grips                                                  I've Seen Footage
3      3                               unknown                                               unknown                                 Messiah                                                   Temple of Dreams
4      4                               unknown                                               unknown                                     EMF                                                   Long Summer Days
5      5                               unknown                                               unknown                               New Order                                 Temptation (Secret Machines Remix)
6      6                               unknown                                               unknown                             Lime Garden                                                               Pulp
7      7                               unknown                                               unknown                                Yard Act                                                       The Overload
8      8                               unknown                                               unknown                                The Cure                                                               Open
9      9                               unknown                                               unknown                                 Yin Yin                                                           Nautilus
10    10                               unknown                                               unknown                                Bohannon                                              Let's Start the Dance
11    11                               unknown                                               unknown                             The Winners                                           Get Ready for the Future
12    12                               unknown                                               unknown                    Lexsoul Dancemachine                                                       Beef Grinder
13    13                               unknown                                               unknown                                Dee Gees                                              You Should Be Dancing
14    14                               unknown                                               unknown                        A Taste of Honey                              Boogie Oogie Oogie (Single Version 2)
15    15                               unknown                                               unknown                            The Gap Band                         Early In the Morning (Original 7" Version)
16    16                               unknown                                               unknown                                Hot Chip                                                           She Wolf
17    17                               unknown                                               unknown                                    ABBA                        Gimme! Gimme! Gimme! (A Man After Midnight)
18    18                               unknown                                               unknown                             Utah Saints                                             What Can You Do For Me
19    19                               unknown                                               unknown                           Basement Jaxx                                                  Magnificent Romeo
20    20                               unknown                                               unknown                              Lily Allen                                                                LDN
21    21                               unknown                                               unknown                             Say She She                                                              Norma
22    22                               unknown                                               unknown                            Book Of Love  Tubular Bells/Pretty Boys and Pretty Girls (Regan's House Medley)
23    23                               unknown                                               unknown                              Underworld                                              The Hump (Wild Beast)
24    24                               unknown                                               unknown                                The Cure                                                Why Can't I Be You?
25    25                               unknown                                               unknown                              Pretenders                                                    Message of Love
26    26                               unknown                                               unknown                          The Charlatans                                                The Only One I Know
27    27                               unknown                                               unknown                               Tori Amos                                                    Take To the Sky
28    28                               unknown                                               unknown                          The Sugarcubes                                                    Delicious Demon
29    29                               unknown                                               unknown                                 The Who                                                        Squeeze Box
30    30                               unknown                                               unknown                  The Traveling Wilburys                                                 Not Alone Any More
31    31                               unknown                                               unknown                              The Smiths                                 The Boy With the Thorn In His Side
32    32                               unknown                                               unknown                             David Bowie                                                 Black Country Rock
33    33                               unknown                                               unknown                   International Pen Pal                                       Barbara Spinelli [Edit +3db]
34    34                               unknown                                               unknown                                  Spouse                                                              Focus
35    35                               unknown                                               unknown                            Gin Blossoms                                             Til I Hear It from You
36    36                               unknown                                               unknown                                  R.E.M.                                             Talk About the Passion
37    37                               unknown                                               unknown                          The Stranglers                                         (Get A) Grip (On Yourself)
38    38                               unknown                                               unknown                             The Zombies                                                        Tell Her No
39    39                               unknown                                               unknown                             The Beatles                                                             Taxman
40    40                               unknown                                               unknown                       The Modern Lovers                                                       Astral Plane
41    41                               unknown                                               unknown                             Dub Pistols                                     Rapture (featuring Terry Hall)
42    42                               unknown                                               unknown                         LCD Soundsystem                     Get Innocuous! (Live At Madison Square Garden)
43    43                               unknown                                               unknown                              Diana King                                                            Shy Guy
44    44                               unknown                                               unknown                    Chaka Demus & Pliers                                                   Murder She Wrote
45    45                               unknown                                               unknown                              Bob Marley                                                 Could You Be Loved
46    46                               unknown                                               unknown                     Lee "Scratch" Perry                                                     Having a Party
47    47                               unknown                                               unknown                               Destroyer                                                             Kaputt
48    48                               unknown                                               unknown                                    Blur                                                          Beetlebum
49    49                               unknown                                               unknown                         Concrete Blonde                                    Bloodletting (The Vampire Song)
50    50                               unknown                                               unknown                          Violent Femmes                                                   Please Do Not Go
51    51                               unknown                                               unknown                             Classics IV                                                             Spooky
52    52                               unknown                                               unknown                               The Clash                                                      Four Horsemen
53    53                               unknown                                               unknown                                 Toadies                                                         Backslider
54    54                               unknown                                               unknown                                  Clinic                                           Sunlight Bathes Our Home
55    55                               unknown                                               unknown                                  R.E.M.                                                Crush With Eyeliner
56    56                               unknown                                               unknown                               Morrissey                                                          Suedehead
57    57                               unknown                                               unknown                                    Ride                                                       Vapour Trail
58    58                               unknown                                               unknown                                 Wig Wam                                               Do Ya Wanna Taste It
59    59                               unknown                                               unknown                        Goddamn Draculas                                                Raise Em Up (Radio)
60    60                               unknown                                               unknown                            Alice Cooper                                                             Poison
61    61                               unknown                                               unknown                             Roy Orbison                                                         Shahdaroba
62    62                               unknown                                               unknown                            Orville Peck                                                       Turn to Hate
63    63                               unknown                                               unknown                         The Moody Blues                                                Your Wildest Dreams
