     seq                           show                                        episode                               artist                                                                track
0      0                        unknown                                        unknown                  Ready for the World                                                            Oh Sheila
1      1                        unknown                                        unknown                              Chromeo                                        Come Alive (feat. Toro Y Moi)
2      2                        unknown                                        unknown                      Giorgio Moroder                                                             La Disco
3      3                        unknown                                        unknown                              Orbital                                                             P.H.U.K.
4      4                        unknown                                        unknown                               Deorro                                Bailar (feat. Pitbull & Elvis Crespo)
5      5                        unknown                                        unknown                                Robyn                                                 Call Your Girlfriend
6      6                        unknown                                        unknown                              Rihanna                                                                  S&M
7      7                        unknown                                        unknown                       Britney Spears                                                  Till The World Ends
8      8                        unknown                                        unknown                       Fedde Le Grand                           Put Your Hands Up for Detroit (Radio Edit)
9      9                        unknown                                        unknown                         Depeche Mode                              Just Can't Get Enough (Dirty South Mix)
10    10                        unknown                                        unknown                    Whodini & DJ Icey                               Five Minutes of Funk (Icey's 7" Magic)
11    11                        unknown                                        unknown                           Dis N' Dat                             Party (feat. 69 Boyz & Quad City D.J.'s)
12    12                        unknown                                        unknown                                Duice                                                          Dazzey Duks
13    13                        unknown                                        unknown                          Splack Pack      Shake That Ass Bitch [Blutarski Still-Explicit Radio-Only Edit]
14    14                        unknown                                        unknown     Iggy & The Stooges / Salt-N-Pepa                                                     No Fun / Push It
15    15                        unknown                                        unknown                             The Grid                                                          Swamp Thing
16    16                        unknown                                        unknown                           Power-Pill                                      Pac-Man (Original Full Version)
17    17                        unknown                                        unknown                      LCD Soundsystem                                                         Tribulations
18    18                        unknown                                        unknown              W&W, Hardwell & Lil Jon                                                       Live the Night
19    19                        unknown                                        unknown                        DJs from Mars  Phat Ass Drop (How To Produce a Club Track Today) [Main Radio Edit]
20    20                        unknown                                        unknown                        Lords of Acid                                                       Let's Get High
21    21                        unknown                                        unknown                        One Direction                                               Live While We're Young
22    22                        unknown                                        unknown                               *NSYNC                                                  Pop (Radio Version)
23    23                        unknown                                        unknown                           L.A. Style                                                  James Brown Is Dead
24    24                        unknown                                        unknown                            Daft Punk                                                             Derezzed
25    25                        unknown                                        unknown                   The Crystal Method                                                       Trip Like I Do
26    26                        unknown                                        unknown                            Digikid84                                                     Bboy Underground
27    27                        unknown                                        unknown                         The Gap Band                                             You Dropped a Bomb On Me
28    28                        unknown                                        unknown                      The Stone Roses                                                  She Bangs the Drums
29    29                        unknown                                        unknown                      Sinéad O'Connor                                                             Mandinka
30    30                        unknown                                        unknown                           Paul Simon                                                           Kodachrome
31    31                        unknown                                        unknown                        Daniel Lanois                                          Sleeping In The Devil's Bed
32    32                        unknown                                        unknown                                   U2                                                  With or Without You
33    33                        unknown                                        unknown                         Joy Division                                                           Shadowplay
34    34                        unknown                                        unknown                          Iron Maiden                                                         Wasted Years
35    35                        unknown                                        unknown                      Concrete Blonde                                                 Dance Along the Edge
36    36                        unknown                                        unknown         Creedence Clearwater Revival                                                    Born On The Bayou
37    37                        unknown                                        unknown                      LCD Soundsystem                                                        Bye Bye Bayou
38    38                        unknown                                        unknown                            Liz Phair                                                      Johnny Sunshine
39    39                        unknown                                        unknown                               Pixies                                                         Tony's Theme
40    40                        unknown                                        unknown                  The Magnetic Fields                              The Luckiest Guy On The Lower East Side
41    41                        unknown                                        unknown                   The Mountain Goats                             The Best Ever Death Metal Band in Denton
42    42                        unknown                                        unknown                          Tenacious D                                                            Wonderboy
43    43                        unknown                                        unknown                      HomeStar Runner                                                              Trogdor
44    44                        unknown                                        unknown                     The Replacements                                                    Bastards of Young
45    45                        unknown                                        unknown                            D-Tension                                                       Kenmore Square
46    46                        unknown                                        unknown          The Mighty Mighty Bosstones                                                  They Came To Boston
47    47                        unknown                                        unknown                              Tove Lo                                                   Habits (Stay High)
48    48                        unknown                                        unknown                                Annie                                              April (feat. Richard X)
49    49                        unknown                                        unknown                             The 1975                                                        Somebody Else
50    50                        unknown                                        unknown                             Al Green                                                  Let's Stay Together
51    51                        unknown                                        unknown                         Beastie Boys                                                      Get It Together
52    52                        unknown                                        unknown                                Björk                                                       Possibly Maybe
53    53                        unknown                                        unknown                        Peter Gabriel                             Games Without Frontiers (Massive/DB Mix)
54    54                        unknown                                        unknown                        Still Corners                                                         Black Lagoon
55    55                        unknown                                        unknown                    Flight Facilities                                                        Clair De Lune
56    56                        unknown                                        unknown                           Basshunter                                                           Boten Anna
57    57                        unknown                                        unknown      Love Regenerator, Calvin Harris                                            Hypnagogic (I Can't Wait)
58    58                        unknown                                        unknown                         David Guetta                                 Bang My Head (feat. Sia & Fetty Wap)
59    59                        unknown                                        unknown                         Depeche Mode                                                          Strangelove
60    60                        unknown                                        unknown                           S.O.S Band                                         Take Your Time (Do It Right)
61    61                        unknown                                        unknown                Elton John & Dua Lipa                                              Cold Heart (PNAU Remix)
62    62                        unknown                                        unknown                             Cut Copy                                  Standing In The Middle Of The Field
63    63                        unknown                                        unknown                          Dub Pistols                                       Rapture (featuring Terry Hall)
64    64                        unknown                                        unknown                 They Might Be Giants                              S-E-X-X-Y (Kendal Mintcake Total Remix)
65    65                        unknown                                        unknown                           Underworld                                                The Hump (Wild Beast)
66    66                        unknown                                        unknown                              Bauhaus                               Kick in the Eye (Remix Single Version)
67    67                        unknown                                        unknown                              Messiah                                                     Temple of Dreams
68    68                        unknown                                        unknown                             Bigod 20                                                              America
69    69                        unknown                                        unknown                  Pop Will Eat Itself                                                          Def Con One
70    70                        unknown                                        unknown                         DJ Crook Air                                                          Usher Foley
71    71                        unknown                                        unknown                        Alec Guinness                                    Resolutions When I Come to Be Old
72    72                ALLSTON PUDDING                                            #18                          Galaxie 500                                                         I Wanna Live
73    73                ALLSTON PUDDING                                            #18                               Lutalo                                             Ocean Swallows Him Whole
74    74                ALLSTON PUDDING                                            #18                            THUS LOVE                                                         On The Floor
75    75                ALLSTON PUDDING                                            #18       Ezra Cohen & The Big City Band                                                            Kick Back
