     seq      time                        scheduled_show                           show                                        episode                                        artist                                                        track
0      0   9:18 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                  David Guetta                         Bang My Head (feat. Sia & Fetty Wap)
1      1   9:22 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                  Depeche Mode                                                  Strangelove
2      2   9:26 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                    S.O.S Band                                 Take Your Time (Do It Right)
3      3   9:28 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                         Elton John & Dua Lipa                                      Cold Heart (PNAU Remix)
4      4   9:31 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                      Cut Copy                          Standing In The Middle Of The Field
5      5   9:33 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                   Dub Pistols                               Rapture (featuring Terry Hall)
6      6   9:37 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                          They Might Be Giants                      S-E-X-X-Y (Kendal Mintcake Total Remix)
7      7   9:39 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                    Underworld                                        The Hump (Wild Beast)
8      8   9:44 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                       Bauhaus                       Kick in the Eye (Remix Single Version)
9      9   9:46 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                       Messiah                                             Temple of Dreams
10    10   9:49 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                      Bigod 20                                                      America
11    11   9:53 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                           Pop Will Eat Itself                                                  Def Con One
12    12   9:56 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                  DJ Crook Air                                                  Usher Foley
13    13   9:59 AM    VERY SELDOM CASUAL with Doug Adams                        unknown                                        unknown                                 Alec Guinness                            Resolutions When I Come to Be Old
14    14  10:01 AM               UNCERTAIN TIMES with TJ                ALLSTON PUDDING                                            #18                                   Galaxie 500                                                 I Wanna Live
15    15  10:03 AM               UNCERTAIN TIMES with TJ                ALLSTON PUDDING                                            #18                                        Lutalo                                     Ocean Swallows Him Whole
16    16  10:06 AM               UNCERTAIN TIMES with TJ                ALLSTON PUDDING                                            #18                                     THUS LOVE                                                 On The Floor
17    17  10:10 AM               UNCERTAIN TIMES with TJ                ALLSTON PUDDING                                            #18                Ezra Cohen & The Big City Band                                                    Kick Back
18    18  10:14 AM               UNCERTAIN TIMES with TJ                ALLSTON PUDDING                                            #18                                   Doug Tuttle                                                     Dog Eyes
