     seq      time                        scheduled_show                show                                                                           episode                                        artist                                              track
0      0   8:01 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                          INXS                                      New Sensation
1      1   8:05 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                          Devo                                   Watch Us Work It
2      2   8:07 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                     The Tubes                                         Turn Me On
3      3   8:11 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                         Jason & The Scorchers                             19th Nervous Breakdown
4      4   8:11 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                         Kinky                                         Tonos Rosa
5      5   8:11 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                         Jason & The Scorchers                             19th Nervous Breakdown
6      6   8:11 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                  Billy Cobham                                         Quadrant 4
7      7   8:24 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                 Talking Heads                                      Love for Sale
8      8   8:29 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                       Size 14                                Claire Danes Poster
9      9   8:33 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                             Bruce Springsteen                                      She's the One
10    10   8:33 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                     Metallica                                               Fuel
11    11   8:42 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                   David Bowie                                   Fame ('90 Remix)
12    12   8:45 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                Kirsty MacColl                                          Treachery
13    13   8:49 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                               Yeah Yeah Yeahs                                           Hysteric
14    14   8:55 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                    The Smiths                                              Panic
15    15   8:55 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                  Gloria Jones                                       Tainted Love
16    16   8:59 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                 The Flatmates                                     Heaven Is Blue
17    17   9:01 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                        The Mighty Lemon Drops                                         Happy Head
18    18   9:03 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                     Lee Moses                                        Day Tripper
19    19   9:05 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                Tomoyasu Hotei                                              Jingi
20    20   9:07 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                   Small Faces                         What'cha Gonna Do About It
21    21   9:09 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                    The Stairs                                           Weed Bus
22    22   9:11 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                     The Hives                  Two-Timing Touch and Broken Bones
23    23   9:13 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                             X                                       Soul Kitchen
24    24   9:18 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                         Tonic                                  Open Up Your Eyes
25    25   9:21 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                               The Casual Gods                                     Cherokee Chief
26    26   9:26 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                  Alice Cooper                                     Muscle of Love
27    27   9:29 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                  Adrian Belew                                The Lone Rhinoceros
28    28   9:33 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                   Sex Pistols                      (I'm Not Your) Stepping Stone
29    29   9:38 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                        Yellow Magic Orchestra                                    Behind the Mask
30    30   9:41 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                       Madonna                                       Dress You Up
31    31   9:45 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                           Bis                                         Shopaholic
32    32   9:48 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                          Stiff Little Fingers                                        Tin Soldier
33    33   9:52 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                   Bryan Ferry                                       What Goes On
34    34   9:58 AM    VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL  Thanks for listening! Even if you tried just a little! All 'pronouncements' guar                             Something Happens         Hello, Hello, Hello, Hello, Hello (Petrol)
35    35  10:02 AM               UNCERTAIN TIMES with TJ  VERY SELDOM CASUAL  Thanks for listening! Even if you tried just a little! All 'pronouncements' guar                       Ferdinand Jay Smith III  HBO Feature Presentation ("Flight Over The City")
36    36  10:02 AM               UNCERTAIN TIMES with TJ  VERY SELDOM CASUAL  Thanks for listening! Even if you tried just a little! All 'pronouncements' guar                                   Iron Maiden                                        Iron Maiden
37    37  10:02 AM               UNCERTAIN TIMES with TJ  VERY SELDOM CASUAL  Thanks for listening! Even if you tried just a little! All 'pronouncements' guar                                 Leonard Nimoy                      Music to Watch Space Girls By
