     seq      time                                             scheduled_show                 show                   episode                              artist                                                track
0      0   unknown                                                    unknown              unknown                   unknown                       Talking Heads                                      I'm Not in Love
1      1  12:07 AM                                                    unknown              unknown                   unknown                          Roxy Music                                        Do the Strand
2      2  12:07 AM                                                    unknown              unknown                   unknown           David Byrne and Brian Eno                                    Strange Overtones
3      3  12:19 AM                                                    unknown              unknown                   unknown                          Roxy Music                                     Love Is the Drug
4      4  12:22 AM                                                    unknown              unknown                   unknown                                  U2                          Pride (In the Name of Love)
5      5  12:26 AM                                                    unknown              unknown                   unknown                               James                           Sometimes (Lester Piggott)
6      6  12:31 AM                                                    unknown              unknown                   unknown                         David Bowie                                             "Heroes"
7      7  12:31 AM                                                    unknown              unknown                   unknown                      Chuck Mangione                                 Cannonball Run Theme
8      8  12:31 AM                                                    unknown              unknown                   unknown                                  U2                       Where the Streets Have No Name
9      9  12:31 AM                                                    unknown              unknown                   unknown                       Talking Heads                                   Once In a Lifetime
10    10  12:31 AM                                                    unknown              unknown                   unknown                                 MTM                                            MTM Kitty
11    11  12:56 AM                                                    unknown              unknown                   unknown             Brian Eno & David Byrne                                   America Is Waiting
12    12  12:59 AM                                                    unknown              unknown                   unknown                            Slowdive                                                 Sing
13    13   1:03 AM                                                    unknown              unknown                   unknown          Elvis Costello & Brian Eno                                         My Dark Life
14    14   1:03 AM                                                    unknown              unknown                   unknown                     Sinéad O'Connor                                       No Man's Woman
15    15   1:13 AM                                                    unknown              unknown                   unknown                            Coldplay                                          A L I E N S
16    16   1:18 AM                                                    unknown              unknown                   unknown                       Peter Gabriel                          Road to Joy (Dark-Side Mix)
17    17   1:39 AM                                                    unknown              unknown                   unknown                            The Cure                 Friday I'm In Love (Strangelove Mix)
18    18   1:39 AM                                                    unknown              unknown                   unknown                        Stevie Nicks                                    Edge of Seventeen
19    19   1:39 AM                                                    unknown              unknown                   unknown                        Meat Puppets                                            Backwater
20    20   1:53 AM                                                    unknown              unknown                   unknown        Creedence Clearwater Revival                             Lookin' Out My Back Door
21    21   1:56 AM                                                    unknown              unknown                   unknown                They Might Be Giants                   Which Describes How You're Feeling
22    22   1:57 AM                                                    unknown              unknown                   unknown                They Might Be Giants                                      Cage & Aquarium
23    23   1:58 AM                                                    unknown              unknown                   unknown                         Stephen Fry                                   Where To Get Lunch
24    24   1:59 AM                                                    unknown              unknown                   unknown                        Beastie Boys                                   Bobo On the Corner
25    25   8:03 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #80                       Magdalena Bay                                      That's My Floor
