     seq      time                                             scheduled_show                                  show                               episode                                          artist                                                                           track
0      0   unknown                                                    unknown                               unknown                               unknown                              Angelo Badalamenti                                              Audrey's Waking Up (Blutarski Mix)
1      1  12:04 AM                                                    unknown                               unknown                               unknown               Peter Fernandez and Keith Messier                                                                         Popcorn
2      2  12:06 AM                                                    unknown                               unknown                               unknown                                        No Doubt                                                                      Spiderwebs
3      3  12:10 AM                                                    unknown                               unknown                               unknown                            Squirrel Nut Zippers                                                                            Hell
4      4  12:14 AM                                                    unknown                               unknown                               unknown                                  Twisted Sister                                                                    Burn In Hell
5      5  12:18 AM                                                    unknown                               unknown                               unknown                                 TV On The Radio                                                                    Wolf Like Me
6      6  12:22 AM                                                    unknown                               unknown                               unknown                                      Toto Coelo                                                                 I Eat Cannibals
7      7  12:26 AM                                                    unknown                               unknown                               unknown                                           Ghost                                            Dance Macabre (Carpenter Brut Remix)
8      8  12:29 AM                                                    unknown                               unknown                               unknown                                     Andrew Gold                                Spooky, Scary Skeletons (Undead Tombstone Remix)
9      9  12:31 AM                                                    unknown                               unknown                               unknown                                           Cults                                                                        Abducted
10    10  12:34 AM                                                    unknown                               unknown                               unknown                                 Type O Negative                                                                     Black No. 1
11    11  12:44 AM                                                    unknown                               unknown                               unknown                                    Alice Cooper                                                            Feed My Frankenstein
12    12  12:48 AM                                                    unknown                               unknown                               unknown                                      Rob Zombie                                                                Living Dead Girl
13    13  12:51 AM                                                    unknown                               unknown                               unknown                                 Nine Inch Nails                                                                      Dead Souls
14    14  12:56 AM                                                    unknown                               unknown                               unknown                                             Sia                                                                      Chandelier
15    15   1:00 AM                                                    unknown                               unknown                               unknown                                    Lana Del Rey                                                               Once Upon a Dream
16    16   1:03 AM                                                    unknown                               unknown                               unknown                                    Sleigh Bells                                                  Where Did You Sleep Last Night
17    17   1:05 AM                                                    unknown                               unknown                               unknown                                         Garbage                                                                        #1 Crush
18    18   1:10 AM                                                    unknown                               unknown                               unknown                                        Delerium                                            Flowers Become Screens (Single Edit)
19    19   1:14 AM                                                    unknown                               unknown                               unknown                                     Nerf Herder                                                  Buffy the Vampire Slayer Theme
20    20   1:15 AM                                                    unknown                               unknown                               unknown                                        Ladytron                                                                          Ghosts
21    21   1:19 AM                                                    unknown                               unknown                               unknown                                     David Bowie                                                 Magic Dance ("Mystery Version")
22    22   1:21 AM                                                    unknown                               unknown                               unknown                                   Gerard McMann                                    Cry Little Sister (Theme from The Lost Boys)
23    23   1:26 AM                                                    unknown                               unknown                               unknown                                  Chuck Mangione                                                            Cannonball Run Theme
24    24   1:27 AM                                                    unknown                               unknown                               unknown                        SQÜRL & Jozef Van Wissem                                                          Only Lovers Left Alive
25    25   1:30 AM                                                    unknown                               unknown                               unknown                                     Roy Orbison                                                                       In Dreams
26    26   1:32 AM                                                    unknown                               unknown                               unknown                                   The Flamingos                                                        I Only Have Eyes for You
27    27   1:36 AM                                                    unknown                               unknown                               unknown       The City of Prague Philharmonic Orchestra                                                           Transylvanian Lullaby
28    28   1:37 AM                                                    unknown                               unknown                               unknown                                   Frank Sinatra                                                                  Young-At-Heart
29    29   1:40 AM                                                    unknown                               unknown                               unknown                                             MTM                                                                       MTM Kitty
30    30   1:55 AM                                                    unknown                               unknown                               unknown                                    Sleigh Bells                                                  Where Did You Sleep Last Night
31    31   8:03 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                Jeff Alexander, Alfred Hitchcock                                         Music To Be Murdered By/2HSFRFH Sweeper
32    32   8:04 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                                    Alice Cooper                                                         Welcome To My Nightmare
33    33   8:07 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                               Claudio Simonetti                                                              Dracula Main Theme
34    34   8:08 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                                     Dr. Octagon                                                       Halfsharkalligatorhalfman
35    35   8:12 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                             Echo & The Bunnymen                                                                The Killing Moon
36    36   8:12 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                       Siouxsie and The Banshees                                                                       Halloween
37    37   8:21 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                                 Concrete Blonde                                                 Bloodletting (The Vampire Song)
38    38   8:21 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                         Zombina & The Skeletons                                                                      Zombie Hop
39    39   8:29 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                   #83                                         The Who                                                       Hall Of The Mountain King
40    40   8:35 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                               Charles Bernstein                                          Main Title (A Nightmare on Elm Street)
41    41   8:38 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                 Alien Sex Fiend                                                       Now I'm Feeling Zombified
42    42   8:38 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                       clipping.                                                               Blood of the Fang
43    43   8:48 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                     King Horror                                                      Dracula Prince of Darkness
44    44   8:51 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                        Ministry                                                          Every Day Is Halloween
45    45   8:51 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                         Outkast                                                 Dracula's Wedding (feat. Kelis)
46    46   9:01 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                   The Creatures                                                                  Mostly Ghostly
47    47   9:03 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                      Cal Tjader                                                                          Spooky
48    48   9:07 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                   Walter Murphy                                                     Toccata and Funk in D Minor
49    49   9:10 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                        Acanthus                                                         Le Frisson Des Vampires
50    50   9:13 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                  Birthday Party                                                                Release The Bats
51    51   9:15 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                    The Crystals                                                              Frankenstein Twist
52    52   9:18 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                                         Misfits                                                                    Monster Mash
53    53   9:21 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                             MC & JEFF  Two Hour Spooky Fun Radio Fiend Hour                   Billy Demarco & Count Dracula                                                                     Drac's Back
