     seq      time                            scheduled_show                        show                                        episode                                           artist                                                          track
0      0   unknown                                   unknown                     unknown                                        unknown                                     Beastie Boys                                             Bobo On the Corner
1      1   8:02 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                  Balkan Beat Box                                                      Hermetico
2      2   8:06 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                       Snoop Dogg                       Gangsta Luv (Featuring The Dream) (Main)
3      3   8:10 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                              112                                       Dance With Me (Club Mix)
4      4   8:13 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                          Pete Rock & C.L. Smooth                             They Reminisce Over You (T.R.O.Y.)
5      5   8:17 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                        P.M. Dawn                                   Looking Through Patient Eyes
6      6   8:21 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                           Prince                                              Sign O' The Times
7      7   8:25 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown             George Clinton Parliament Funkadelic                                                          Stomp
8      8   8:30 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                     Depeche Mode                                 Enjoy The Silence (Single Mix)
9      9   8:34 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                  The Stone Roses                                                     Fools Gold
10    10   8:34 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                Chance The Rapper                    All Night (feat. Knox Fortune) (Radio Edit)
11    11   8:45 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                           B.G. The Prince of Rap                                               This Beat Is Hot
12    12   8:47 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                           All Good Funk Alliance                                                    In the Rain
13    13   8:51 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                Moonchild Sanelly                                                   Come Correct
14    14   8:54 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                         The Cure                                  Hot Hot Hot!!! (Extended Mix)
15    15   9:02 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                    El Ten Eleven                                                         Connie
16    16   9:02 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                      Soundgarden                                                        Heretic
17    17   9:11 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                               Girls Against Boys                                            Kill the Sex Player
18    18   9:15 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                          Toadies                                                     Backslider
19    19   9:17 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                       Jawbreaker                                                           Ache
20    20   9:21 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                  Catherine Wheel                                                        Texture
21    21   9:26 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                            Belly                                                       Slow Dog
22    22   9:30 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                     Meat Puppets                                                      Backwater
23    23   9:33 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                            Oasis                                                     Supersonic
24    24   9:38 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                        Pearl Jam                                                         Breath
25    25   9:38 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                           Pixies                                                   Is She Weird
26    26   9:46 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                           Metric                                                Gold Guns Girls
27    27   9:50 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                               The Joy Formidable                                                 A Heavy Abacus
28    28   9:53 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                  LCD Soundsystem                               North American Scum (Radio Edit)
29    29   9:54 AM           ENJOY THE SILENCE with Silent g                     unknown                                        unknown                                           Metric                                                 Gimme Sympathy
30    30  10:01 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Liquid Liquid                                                         Cavern
31    31  10:03 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                        Furniture                                     Love Your Shoes (Extended)
32    32  10:03 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                      Single Lash                                            Sorry We Missed You
33    33  10:10 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                      The Bathers                                               Ave the Leopards
34    34  10:10 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                   The Apartments                                             Things You'll Keep
35    35  10:18 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Anna Butterss                                                          Shorn
36    36  10:22 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Primal Scream                                                  Velocity Girl
37    37  10:23 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Velocity Girl                                          My Forgotten Favorite
38    38  10:27 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                      Attic Ocean                                                           Glow
39    39  10:31 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                      Styrofoam and Sarah Shannon                                                   I Found Love
40    40  10:34 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                      Snow Patrol                                                  Velocity Girl
41    41  10:38 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Anna Butterss                                                        Saturno
42    42  10:42 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                       Supertramp                                               The Logical Song
43    43  10:46 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                          Rapallo                                             Nothing You Can Do
44    44  10:46 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                     Bill Withers                                                     Lovely Day
45    45  10:46 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                       Paul Davis                                                       Do Right
46    46  10:57 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Anna Butterss                                                       Pokemans
47    47  11:00 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                     Book of Love                           I Touch Roses (Long Stemmed Version)
48    48  11:00 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                        Faux Real                                    Walking Away From My Demons
49    49  11:09 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                 Swing Out Sister                                          Breakout (N.A.D. Mix)
50    50  11:09 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                The Style Council                                               Shout To The Top
51    51  11:19 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Anna Butterss                                                     Seeing You
52    52  11:22 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                   The Field Mice                                                        Clearer
53    53  11:26 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                          Humdrum                                                Come And Get Me
54    54  11:29 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                 The Darling Buds                                 Do You Have to Break My Heart?
55    55  11:32 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                       The Chills                                               Heavenly Pop Hit
56    56  11:35 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Anna Butterss                                Dance Steve (feat. Jeff Parker)
57    57  11:39 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                       Romeo Void                       A Girl in Trouble (Is a Temporary Thing)
58    58  11:39 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                   Plastic Estate                                              Feeling Like Ours
59    59  11:49 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Prefab Sprout                                                 Cars and Girls
60    60  11:54 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                         The Cars                                               Looking For Love
61    61  11:57 AM          GUNS OR BUTTER with Keith Sawyer              GUNS OR BUTTER                                            #33                                    Anna Butterss                                                         Bishop
62    62  12:01 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                                         Yeasayer                                                    Ambling Alp
63    63  12:04 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                                     The Go! Team                                               Junior Kickstart
64    64  12:08 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                              Bombay Bicycle Club                                                        Shuffle
65    65  12:11 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                                             GRiZ                             Bustin’ Out (feat. Bootsy Collins)
66    66  12:14 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                                        DJ Shadow                                    Rocket Fuel (f. De La Soul)
67    67  12:17 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                                        Discovery                                                      So Insane
68    68  12:21 PM  MAURA DOT COM SLASH UNCERTAIN with Maura              GUNS OR BUTTER                                            #33                                              CSS                                       Music Is My Hot, Hot Sex
