     seq      time                                  scheduled_show                                        show                                                                           episode                                          artist                                                                                                                                                        track
0      0   8:03 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #76                                    Quincy Jones                                                                                                                                            Something Special
1      1   8:05 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #76                                   George Benson                                                                                                                                                  Love X Love
2      2   8:10 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #76                                      Steely Dan                                                                                                                                              Kid Charlemagne
3      3   8:18 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                Sharon Van Etten                                                                                                                                                    Afterlife
4      4   8:23 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                        The Cure                                                                                                                                         The End of the World
5      5   8:26 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                       2nd Grade                                                                                                                                      Triple Bypass In B-Flat
6      6   8:28 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                            The Happy Somethings                                                                                                                                                   Bed Friend
7      7   8:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                    Chime School                                                                                                                                      Taking Time to Tell You
8      8   8:35 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                             Belle and Sebastian                                                                                                                                             Me and the Major
9      9   8:38 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                       Stereolab                                                                                                                                                Laissez Faire
10    10   8:42 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                   U.S. Highball                                                                                                                                              Which Way is Up
11    11   8:45 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                            Slaughter Beach, Dog                                                                                                                                                  Pretty O.K.
12    12   8:48 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                               Alanis Morissette                                                                                                                                               Head over Feet
13    13   8:52 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                   Pom Pom Squad                                                                                                                                                     Messages
14    14   8:55 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                       OMBIIGIZI                                                                                                                                 Street Names and Land Claims
15    15   8:58 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                Titus Andronicus                                                                                                                                             Titus Andronicus
16    16   9:01 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                  Cloud Nothings                                                                                                                                           I'm Not Part Of Me
17    17   9:06 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                 Jeff Rosenstock                                                                                                                                      All This Useless Energy
18    18   9:09 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                               Car Seat Headrest                                                                                                                                                        Bodys
19    19   9:09 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                        Pardoner                                                                                                                                              Future of Music
20    20   9:18 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                 Mannequin Pussy                                                                                                                                                       Aching
21    21   9:19 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                       The Clash                                                                                                                                 I'm So Bored with the U.S.A.
22    22   9:21 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                         Ramones                                                                                                                                        Bonzo Goes to Bitburg
23    23   9:25 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                            Stiff Little Fingers                                                                                                                                             Barbed Wire Love
24    24   9:29 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                    Generation X                                                                                                                                          Dancing with Myself
25    25   9:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                 Vampire Weekend                                                                                                                                                       A-Punk
26    26   9:35 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                 TV on the Radio                                                                                                                                                 Wolf Like Me
27    27   9:39 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                       Soft Kill                                                                                                                                                  Wanting War
28    28   9:43 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                         Nothing                                                                                                                                                    Bent Nail
29    29   9:46 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                       Cold Cave                                                                                                                                              She Reigns Down
30    30   9:48 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                           NESYA                                                                                                                                                       Delulu
31    31   9:51 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                         Fuck It Here's Some Music                                Xeno & Oaklander                                                                                                                                        Magic of the Manifold
