     seq      time                                             scheduled_show                                  show                        episode                                       artist                                                                    track
0      0   unknown                                                    unknown                               unknown                        unknown                                      Re-Flex                                                  The Politics Of Dancing
1      1  12:12 AM                                                    unknown                               unknown                        unknown                                          Yaz                                              Situation (Richard X Remix)
2      2  12:15 AM                                                    unknown                               unknown                        unknown                               The Disco Boys                                    Hold the Line (Radio Edit feat. Toto)
3      3  12:17 AM                                                    unknown                               unknown                        unknown                                DJs From Mars                                                          Enter Telephone
4      4  12:21 AM                                                    unknown                               unknown                        unknown             Iggy & The Stooges / Salt-N-Pepa                                                         No Fun / Push It
5      5  12:23 AM                                                    unknown                               unknown                        unknown                                     The Grid                                                              Swamp Thing
6      6  12:25 AM                                                    unknown                               unknown                        unknown                                       Darude                                                                Sandstorm
7      7  12:26 AM                                                    unknown                               unknown                        unknown                                          DMX                                                     X Gon' Give It To Ya
8      8  12:29 AM                                                    unknown                               unknown                        unknown                                      KRS-One                                                       Sound of da Police
9      9  12:32 AM                                                    unknown                               unknown                        unknown                         A Tribe Called Quest                                                              Buggin' Out
10    10  12:35 AM                                                    unknown                               unknown                        unknown                                        Ghost                                                        Jesus He Knows Me
11    11  12:39 AM                                                    unknown                               unknown                        unknown                                     Bon Jovi                                                         Raise Your Hands
12    12  12:41 AM                                                    unknown                               unknown                        unknown                                       Darude                                                                Sandstorm
13    13  12:42 AM                                                    unknown                               unknown                        unknown                                    Daft Punk                                                          Human After All
14    14  12:46 AM                                                    unknown                               unknown                        unknown                              LCD Soundsystem                   Daft Punk Is Playing At My House (Soulwax Shibuya Mix)
15    15  12:51 AM                                                    unknown                               unknown                        unknown                                    New Order                          Confusion (The Pump Panel Reconstruction Remix)
16    16  12:55 AM                                                    unknown                               unknown                        unknown                      Prince & The Revolution                                                                  America
17    17  12:58 AM                                                    unknown                               unknown                        unknown    The City of Prague Philharmonic Orchestra                                            Dr. Strangelove: The Bomb Run
18    18   1:00 AM                                                    unknown                               unknown                        unknown                                   Superchunk                                                  What A Time To Be Alive
19    19   1:04 AM                                                    unknown                               unknown                        unknown                         Hallelujah The Hills                               People Keep Dying (And No One Can Stop It)
20    20   1:08 AM                                                    unknown                               unknown                        unknown                               Chuck Mangione                                                     Cannonball Run Theme
