     seq      time                                  scheduled_show                                        show                                                                           episode                                              artist                                                              track
0      0   8:03 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #78                                           Kurt Vile                                              Wakin On a Pretty Day
1      1   8:03 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #78                                             M. Ward                                                Chinese Translation
2      2   8:19 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                        Matt Pond PA                                                              Korea
3      3   8:23 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                             Jordana                                                   Anything For You
4      4   8:27 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                       José González                                                         El Invento
5      5   8:29 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                          Lord Huron                                                       Not Dead Yet
6      6   8:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                    Courtney Barnett                                                  City Looks Pretty
7      7   8:37 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                               Wilco                                                Heavy Metal Drummer
8      8   8:40 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                        Warren Zevon                                               Werewolves of London
9      9   8:43 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                            Gobble                                            Hanemoon                                               Easy on the Wildlife
10    10   8:50 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                           Assistant                                             My Phone Began To Ring
11    11   8:53 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                       The Clientele                                    These Days Nothing But Sunshine
12    12   8:56 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                 Belle and Sebastian                                            Heaven In the Afternoon
13    13   8:59 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                 The Laughing Chimes                                                         High Beams
14    14   9:03 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                      Camera Obscura                                                 The Sweetest Thing
15    15   9:07 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                               Cults                                                             Bumper
16    16   9:10 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                     The Cranberries                                                             Dreams
17    17   9:14 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                         The Sundays                                     You're Not The Only One I Know
18    18   9:18 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                     Gobble Gobble                                      Kate Bollinger                                    What’s This About (La La La La)
19    19   9:23 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Gobble Gobble GOBBLE                                         Sacred Paws                                                        Another Day
20    20   9:26 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Gobble Gobble GOBBLE                                            The Cure                                                 Friday I'm In Love
21    21   9:29 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Gobble Gobble GOBBLE                                            Pavement                                            Shady Lane (Krossfader)
22    22   9:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Gobble Gobble GOBBLE                                     Suki Waterhouse                                                             My Fun
23    23   9:34 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Gobble Gobble GOBBLE                                        Arlo Guthrie                                                Highway In the Wind
24    24   9:37 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Gobble Gobble GOBBLE                                     George Harrison                                                     If Not for You
