     seq      time                                             scheduled_show                show                                    episode                                          artist                                                     track
0      0  12:02 AM                                                    unknown             unknown                                    unknown                                          Fozzie                                                   America
1      1   8:03 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                          Klaatu                                            True Life Hero
2      2   8:05 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                 Adam & The Ants                                                Cartrouble
3      3   8:09 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                          Pixies                                       You're So Impatient
4      4   8:13 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                     Little Feat                             Fat Man In the Bathtub (Live)
5      5   8:18 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                      Larkin Poe                                      Wanted Woman / AC/DC
6      6   8:22 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                       Bruce Hornsby & The Range                                           The Valley Road
7      7   8:27 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                       Carla Olson & Mick Taylor                                                      Sway
8      8   8:37 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                   Johnny Winter                                             All Tore Down
9      9   8:41 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                          Visage                                                 The Anvil
10    10   8:46 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                    Tom Tom Club                                                L'elephant
11    11   8:50 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                          Gustaf                                      Starting and Staring
12    12   8:54 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                       The Clash                                         Capital Radio One
13    13   8:56 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                         The Who                                 Substitute (Live At Hull)
14    14   8:58 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                 Mike Bloomfield                                                Lights Out
15    15   9:00 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                               Patti Smith Group                                                      Hymn
16    16   9:01 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                   The Courettes                                  I Wanna Be Your Yoko Ono
17    17   9:03 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                          Emerson, Lake & Palmer                                      The Hut Of Baba Yaga
18    18   9:04 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                              Ultramagnetic MC's                 Traveling At the Speed of Thought (Remix)
19    19   9:06 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                    Creedence Clearwater Revival                                                Ooby Dooby
20    20   9:08 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                    The Two Tens                                  Don't Tell Me What to Do
21    21   9:10 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                       Green Day                                                   Burnout
22    22   9:12 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                    unknown                                         Squeeze                                                 Get Smart
