     seq      time                            scheduled_show                           show                                                    episode                             artist                                                                   track
0      0   unknown                                   unknown                        unknown                                                    unknown                        The Misfits                                                              We Are 138
1      1   8:03 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                 The Rolling Stones                                                  Sympathy for the Devil
2      2   8:03 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                            Cracker                                                                     Low
3      3   8:13 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                  Cage the Elephant                                                              In One Ear
4      4   8:17 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                   The Burning Hell                                                         Amateur Rappers
5      5   8:21 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                            Kneecap                                                       Guilty Conscience
6      6   8:24 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                       Beastie Boys                                                                 Egg Man
7      7   8:29 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                          Buzzcocks                                                          What Do I Get?
8      8   8:31 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                         The Smiths                                  A Rush and a Push and the Land Is Ours
9      9   8:34 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                         The Smiths                                                  These Things Take Time
10    10   8:37 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                               Soho                                                              Hippychick
11    11   8:40 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                      Happy Mondays                                                                 Step On
12    12   8:46 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                             B-52's                                                                   Topaz
13    13   8:50 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                             Mansun                                                         Wide Open Space
14    14   8:55 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                     The Charlatans                                                     The Only One I Know
15    15   8:59 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                               sElf                                                        Trunk Fulla Amps
16    16   9:02 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                                CSS                                                Music Is My Hot, Hot Sex
17    17   9:06 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                  Caroline Polachek                                                    Welcome to My Island
18    18   9:09 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                           Gorillaz                                       Cracker Island (feat. Thundercat)
19    19   9:13 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                          Freezepop                                                     Less Talk More Rokk
20    20   9:18 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                     Shiny Toy Guns                                                                Le Disko
21    21   9:21 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                           Ladytron                                                               Seventeen
22    22   9:26 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                               Blur                                                          Girls and Boys
23    23   9:34 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                           Ministry                                                           Work for Love
24    24   9:39 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                A Flock of Seagulls                                  Wishing (If I Had a Photograph of You)
25    25   9:39 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                       Chapterhouse                                                            Pearl (Edit)
26    26   9:39 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                               Ride                                                            Vapour Trail
27    27   9:53 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                               Lush                                                                For Love
28    28   9:56 AM           ENJOY THE SILENCE with Silent g              ENJOY THE SILENCE                                                        #82                       Depeche Mode                                                                New Life
29    29  10:02 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                      Liquid Liquid                                                                  Cavern
30    30  10:03 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                       Aztec Camera                                                               Oblivious
31    31  10:05 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                       Culture Club                                               Time (Clock Of The Heart)
32    32  10:07 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                     Plastic Estate                                                               Open Eyes
33    33  10:14 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                       When in Rome                                                             The Promise
34    34  10:14 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Human Error                                                            Orion's Belt
35    35  10:21 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                              James                                                          Ring the Bells
36    36  10:26 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                          The Veldt                                                                    CCCP
37    37  10:29 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                          Best Bets                                                       When You Walk Out
38    38  10:34 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                              Suede                                                            Metal Mickey
39    39  10:37 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Human Error                                                       Flood in the Club
40    40  10:39 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                           The Cult                                                             Wild Flower
41    41  10:43 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                          Caterwaul                                                          Dizzy Delirium
42    42  10:47 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                          Babel Map                                                            Kevin's Dead
43    43  10:52 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                       East of Eden                                                             Mystic Love
44    44  10:56 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Human Error                                                              Sea Voyage
45    45  10:56 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Rod Stewart                                                             Young Turks
46    46  11:03 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                  The Boomtown Rats                                                            Drag Me Down
47    47  11:08 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        HousePlants                                                           Swimming Pool
48    48  11:12 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                       The Rave-ups                                                      Positively Lost Me
49    49  11:12 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Human Error                                                           Human Error 5
50    50  11:21 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38              The Innocence Mission                                                        Black Sheep Wall
51    51  11:24 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                             Cranes                                                        Beautiful Friend
52    52  11:28 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                         Tess Parks                                                               Crown Shy
53    53  11:32 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                         Mazzy Star                                                     Flowers in December
54    54  11:37 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Human Error                                                             Ice Capades
55    55  11:40 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                    Lisa Stansfield                                                    All Around the World
56    56  11:44 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                          Tara Kemp                                                          Hold You Tight
57    57  11:49 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Rachel Kiel                                                              Good Scare
58    58  11:53 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38     D-Mob (Featuring Cathy Dennis)                                                   C'mon And Get My Love
59    59  11:57 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                        #38                        Human Error                                                           Night Feeling
60    60  12:01 PM  MAURA DOT COM SLASH UNCERTAIN with Maura  MAURA DOT COM SLASH UNCERTAIN                                                         #8                      maura dot com                                                         slash uncertain
61    61  12:02 PM  MAURA DOT COM SLASH UNCERTAIN with Maura  MAURA DOT COM SLASH UNCERTAIN                                                         #8               mary in the junkyard                                                   this is my california
62    62  12:06 PM  MAURA DOT COM SLASH UNCERTAIN with Maura  MAURA DOT COM SLASH UNCERTAIN                                                         #8                        Celebration                                                                   Foxes
63    63  12:10 PM  MAURA DOT COM SLASH UNCERTAIN with Maura  MAURA DOT COM SLASH UNCERTAIN                                                         #8         The Sweet Release of Death                                                     Ghosts in Fur Coats
64    64  12:12 PM  MAURA DOT COM SLASH UNCERTAIN with Maura  MAURA DOT COM SLASH UNCERTAIN                                                         #8                              Edsel                                                             My Manacles
