     seq      time                                  scheduled_show                                        show                                                                           episode                                        artist                                                      track
0      0   8:01 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #79                                      Slowdive                                                    40 Days
1      1   8:04 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                               #79                                     Radiohead                                           Paranoid Android
2      2   8:13 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                                     Biig Piig                                             Favourite Girl
3      3   8:16 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                                      Jamie xx                                   Loud Places (feat. Romy)
4      4   8:21 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                    Gil Scott-Heron & Jamie xx                                        I'll Take Care of U
5      5   8:25 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                                        The xx                                                    Chained
6      6   8:28 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                                        Lescop                                                   La forêt
7      7   8:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                                  Sky Ferreira                                 Everything Is Embarrassing
8      8   8:37 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar                             Caroline Polachek                          So Hot You're Hurting My Feelings
9      9   8:40 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                            Anyone Can Play Guitar               Charli xcx & The Japanese House                         Apple featuring the japanese house
10    10   8:46 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                                   Katie Gavin                                            Casual Drug Use
11    11   8:49 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                                    Sam Fender                                      Seventeen Going Under
12    12   8:54 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                                        Lucius                                                   Old Tape
13    13   8:59 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                                   Buffalo Tom                                                   Sodajerk
14    14   9:03 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                                    Joy Buzzer                                                   Jeanette
15    15   9:06 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                                        R.E.M.                                                 These Days
16    16   9:10 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy           Chris Richards and the Subtractions                                               And Suddenly
17    17   9:13 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                           The Laughing Chimes                                                 High Beams
18    18   9:17 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Sorry for Calling This Next Song Peppy                              The Well Wishers                                                     Fed Up
19    19   9:23 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                 Glitter Party                                               Baby Bye Bye
20    20   9:25 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                Beat Happening                                                      Noise
21    21   9:29 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                      Pavement                            Shoot the Singer (1 Sick Verse)
22    22   9:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                        My Wonderful Boyfriend                                        Here Comes Your Man
23    23   9:35 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                      Thursday                                                White Bikes
24    24   9:39 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                         Glare                                                   Floating
25    25   9:43 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                      Longwave                                               No Direction
26    26   9:47 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                   The Ravines                                                  Blue Eyes
27    27   9:50 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                      1 Sick Verse                                     2nd Grade                                    I Wanna Be On Your Mind
28    28   9:57 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                        Can You Hear The Thunder??                         The Smashing Pumpkins                                       The Everlasting Gaze
29    29  10:02 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                          SNFU                                        Uncontrollable Urge
30    30  10:04 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                The Fleshtones                                                Layin' Pipe
31    31  10:07 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                    The Donnas                                              Nothing To Do
32    32  10:11 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                      John Doe                                        Giant Step Backward
33    33  10:16 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                              The Launderettes                                                  Red River
34    34  10:20 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                               Three Dog Night                                                        One
35    35  10:23 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                       Blondie                                                      11:59
36    36  10:27 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                      KO KO MO                                                 Pass It On
37    37  10:32 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                            Big Audio Dynamite                             Rock Non-Stop (All Night Long)
38    38  10:36 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                   Patti Smith                                              Gimme Shelter
39    39  10:41 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                   Peter Green                                            Green Manalishi
40    40  10:45 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                      Rockpile                                           Oh What a Thrill
41    41  10:48 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                      Iggy Pop                                                       Home
42    42  10:53 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                     The Muffs                                           What You've Done
43    43  10:55 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                 Talking Heads                                                 Who Is It?
44    44  10:57 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                  Rachel Sweet                                      Baby Let's Play House
45    45  10:59 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                  The Ventures                                                Night Stick
46    46  11:01 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                    Papa Roach                                                 Gouge Away
47    47  11:03 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                       Madness                                                 E.R.N.I.E.
48    48  11:05 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                    The Rutles                                               Nevertheless
49    49  11:06 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                 Lalo Schifrin                                             The School Bus
50    50  11:08 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                   The Network                                                   Hey Elon
51    51  11:09 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                            Girls At Our Best!                                       Getting Nowhere Fast
52    52  11:11 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                           Wax                                                 California
53    53  11:15 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                       Satriani, Johnson & Vai                          My Guitar Wants To Kill Your Mama
54    54  11:15 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                   David Byrne                                           His Wife Refused
55    55  11:24 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                The Stranglers                                              Choosey Susie
56    56  11:27 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                   Steppenwolf                                        Screaming Night Hog
57    57  11:30 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                          Martha & The Muffins                         Danceparc (Everyday It's Tomorrow)
58    58  11:35 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                          Reverend Horton Heat                                                       Slow
59    59  11:38 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                     New Order                                                  The Beach
60    60  11:38 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                   David Bowie                                        It's No Game, Pt. 1
61    61  11:50 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                        Our Daughter's Wedding                                                Lawn Chairs
62    62  11:53 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                 The Romantics                                       She's Got Everything
63    63  11:57 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL  Thanks for trying to listen! Really! What would you be if you didn't at least tr                             Udo Dirkschneider                                                 The Stroke
64    64  12:02 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                               #65                                   Johnny Cash                                                   Thirteen
65    65  12:03 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                               #65                                     Neko Case                                                   Bad Luck
66    66  12:03 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                               #65                                     Jeff Beck                                      I Ain't Superstitious
67    67  12:12 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                               #65                                 Stevie Wonder                                               Superstition
68    68  12:18 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                               Captain Tractor                                    Frozen Puck to the Head
69    69  12:21 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                                Cowboy Junkies                                      Fuck, I Hate the Cold
70    70  12:25 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                                     The Dudes                           Saturday Night (My C is Alright)
71    71  12:28 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                            The Arrogant Worms                                             Me Like Hockey
72    72  12:32 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                            The Tragically Hip                                          Fifty-Mission Cap
73    73  12:36 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                                   Chixdiggit!  (I Feel Like) (Gerry) Cheevers (Stitch Marks On My Heart)
74    74  12:36 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                              Dropkick Murphys                                                 Time to Go
75    75  12:36 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                                        D.O.A.                                            The Hockey Song
76    76  12:44 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO ThE sHoW                               Captain Tractor                                     Going to a Hockey Game
77    77  12:49 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                  The Runaways                                                Cherry Bomb
78    78  12:52 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                  The Come Ons                                      Red Lips & Fingertips
79    79  12:54 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                    Mary Weiss                                        Cry About the Radio
80    80  12:56 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                               The Raveonettes                                  Will You Love Me Tomorrow
81    81  12:59 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                 The Eyeliners                                              Do the Zombie
82    82   1:01 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                   The Misfits                   This Magic Moment (feat. Ronnie Spector)
83    83   1:03 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                   Starcrawler                                          Love's Gone Again
84    84   1:06 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                                    The Donnas                                      Living After Midnight
85    85   1:09 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                      intermission                             Fabulous Disaster                                               Got the Time
86    86   1:09 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                                   Flatfoot 56                                               I Believe It
87    87   1:17 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                                     The Clash                                                  Clampdown
88    88   1:22 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                                      Black 47                                Funky Céili (Bridie's Song)
89    89   1:26 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                                Flogging Molly                                          Black Friday Rule
90    90   1:26 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                                 Skinny Lister                                   Trouble On Oxford Street
91    91   1:26 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                    The Men They Couldn't Hang                                 I Loved the Summer of Hate
92    92   1:26 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                                    The Pogues                      Sally Maclennane (The John Peel Show)
93    93   1:41 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                        talk break                               The Saw Doctors                                            Bless Me Father
94    94   1:47 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                    tis the season                                 The Gobshites     Sorry Mom I Spent Your Christmas Present Money On Beer
95    95   1:47 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                    tis the season                    The Men They Couldn't Hang                                 I Loved the Summer of Hate
96    96   1:47 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                    tis the season                                  The Rumjacks                                     Christmas in Killarney
97    97   1:51 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                                    tis the season                                  Frank Turner                                             Last Christmas
98    98   1:57 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                          GoOd nIgHt AnD gOoD lUcK                                 The Dollyrots                                      Fairytale of New York
99    99   2:02 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                 Liquid Liquid                                                     Cavern
100  100   2:03 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                     John Foxx                                                  Underpass
101  101   2:06 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                  Tubeway Army                                   Something's in the House
102  102   2:08 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                         AK/DK                                   Square Route [feat TVAM]
103  103   2:08 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                        Chrome                                                Danger Zone
104  104   2:08 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                       Yesness                                              If You Say So
105  105   2:20 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                 The Raincoats                                       No One's Little Girl
106  106   2:20 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                 Medium Medium                                           Hungry, So Angry
107  107   2:29 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                   La Sécurité                                                     Detour
108  108   2:32 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                      Au Pairs                                               It's Obvious
109  109   2:32 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                       Yesness                                     Your Reverb Is Showing
110  110   2:41 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                 Majesty Crush                                                  No. 1 Fan
111  111   2:45 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                          Ride                                            Like a Daydream
112  112   2:48 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                           Underlined Passages                                                    lkbkwds
113  113   2:51 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                                      Spirea X                                             Speed Reaction
114  114   2:54 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #39                               The Boo Radleys                                            Does This Hurt?
