     seq      time                                             scheduled_show                show                              episode                                          artist                                                                                                                             track
0      0   8:02 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                       The Kinks                                                                                                                      The Hard Way
1      1   8:05 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                          Pixies                                                                                                                   I’ve Been Tired
2      2   8:08 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                     The Samples                                                                                                               Tears For Souvenirs
3      3   8:12 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                     John Lennon                                                                                                                   Crippled Inside
4      4   8:16 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                       The Rides                                                                                                               Only Teardrops Fall
5      5   8:21 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                        The Fall                                                                                                    Squid Lord (BBC Radio Session)
6      6   8:24 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                              Jefferson Airplane                                                                                                         Have You Seen the Saucers
7      7   8:29 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                    Gang Of Four                                                                                                                        Call Me Up
8      8   8:33 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                               Something Happens                                                                                                                         What Now?
9      9   8:37 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                        The Band                                                                                                       When I Paint My Masterpiece
10    10   8:37 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                           Slash & Brian Johnson                                                                                                                     Killing Floor
11    11   8:45 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                       Dan Baird                                                                                                                              Hush
12    12   8:45 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                               X                                                                                                                   Around My Heart
13    13   8:56 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                        Elastica                                                                                                                       All-Nighter
14    14   8:57 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                    Adrian Belew                                                                                                                    Twang Bar King
15    15   8:58 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                     The Shadows                                                                                                                          36-24-36
16    16   9:00 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                   Trailer Bride                                                                                                   Poor Little Critter On the Road
17    17   9:00 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                    Robbie Fulks                                                                                                                    F**k This Town
18    18   9:04 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                 Ten Years After                                                                                                                    I Want to Know
19    19   9:06 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                      Electronic                                                                                                                            Soviet
20    20   9:08 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                         Cracker                                                                                                                Hand Me My Inhaler
21    21   9:09 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                     Richard Hell & The Voidoids                                                                                                 The Kid with the Replaceable Head
22    22   9:12 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                         Sham 69                                                                                                               Hey Little Rich Boy
23    23   9:15 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                   The Yardbirds                                                                                                          The Train Kept A-Rollin'
24    24   9:15 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                      Roxy Music                                                                                                                     Ain't That So
25    25   9:15 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                            Blur                                                                                                              There's No Other Way
26    26   9:27 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                             ABC                                                                                                                   So Hip It Hurts
27    27   9:31 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                              unknown                                  The Raconteurs                                                                                                               Steady, As She Goes
