     seq      time                      scheduled_show                                  show                                                                          episode                                                    artist                                                                     track
0      0   unknown                             unknown                               unknown                                                                          unknown                                           Jerry Goldsmith                                            The Gremlin Rag (Full Version)
1      1  12:08 AM                             unknown                               unknown                                                                          unknown                                             Abbie Barrett                                                            Christmas Star
2      2  12:11 AM                             unknown                               unknown                                                                          unknown                                               David Bowie                                                                   Starman
3      3  12:11 AM                             unknown                               unknown                                                                          unknown                                                     Wham!                                                            Last Christmas
4      4  12:19 AM                             unknown                               unknown                                                                          unknown                                          Jackie DeShannon                                           Put A Little Love In Your Heart
5      5  12:22 AM                             unknown                               unknown                                                                          unknown                                         Howard Huntsberry                            (Your Love Keeps Lifting Me) Higher And Higher
6      6  12:26 AM                             unknown                               unknown                                                                          unknown                                                South Park                                               What Would Brian Boitano Do
7      7  12:31 AM                             unknown                               unknown                                                                          unknown                                           Elmer Bernstein                                                          Jamaican Bye Bye
8      8  12:32 AM                             unknown                               unknown                                                                          unknown                                            José Feliciano                                                             Feliz Navidad
9      9  12:35 AM                             unknown                               unknown                                                                          unknown                         Bing Crosby & The Andrews Sisters                                                           Mele Kalikimaka
10    10  12:38 AM                             unknown                               unknown                                                                          unknown                                         Steve Miller Band                                                         Fly Like an Eagle
11    11  12:42 AM                             unknown                               unknown                                                                          unknown                                                Steely Dan                                                                       Aja
12    12  12:52 AM                             unknown                               unknown                                                                          unknown                                                      Tyga                                                           Bops Goin Brazy
13    13  12:53 AM                             unknown                               unknown                                                                          unknown                                                       Nas                                               Never Die (feat. Lil Wayne)
14    14  12:56 AM                             unknown                               unknown                                                                          unknown                                           Eric B. & Rakim                                                          Musical Massacre
15    15   1:00 AM                             unknown                               unknown                                                                          unknown                                                       !!!                                            There's No Fucking Rules, Dude
16    16   1:00 AM                             unknown                               unknown                                                                          unknown                                                     YACHT                                                Psychic City (Voodoo City)
17    17   1:15 AM                             unknown                               unknown                                                                          unknown                                              Beastie Boys                                                           Time To Get Ill
18    18   1:18 AM                             unknown                               unknown                                                                          unknown                                      A Tribe Called Quest                                                Can I Kick It (Spirit Mix)
19    19   1:19 AM                             unknown                               unknown                                                                          unknown                                         Land Of The Loops                                             Fresh Pond Parkway [No Outro]
20    20   1:22 AM                             unknown                               unknown                                                                          unknown                                                 Liz Phair                                                          Explain It To Me
21    21   1:25 AM                             unknown                               unknown                                                                          unknown                           Harry Nilsson and George Tipton                              Everybody's Talkin' (From "Midnight Cowboy")
22    22   1:28 AM                             unknown                               unknown                                                                          unknown                                                      10cc                                                           I'm Not in Love
23    23   1:28 AM                             unknown                               unknown                                                                          unknown                                              Depeche Mode                                                                  Stripped
24    24   1:39 AM                             unknown                               unknown                                                                          unknown                                               Roy Orbison                                                                 In Dreams
25    25   1:41 AM                             unknown                               unknown                                                                          unknown                                               Men At Work                                                                  Overkill
26    26   1:45 AM                             unknown                               unknown                                                                          unknown                                        The Rolling Stones                                                                  Miss You
27    27   1:50 AM                             unknown                               unknown                                                                          unknown                                                   Ted Leo                                                    Since U Been Gone/Maps
28    28   1:53 AM                             unknown                               unknown                                                                          unknown                                                  The Cars                                                           You Might Think
29    29   1:56 AM                             unknown                               unknown                                                                          unknown                                                De La Soul                              Buddy (feat. Jungle Brothers, Q-Tip & Phife)
30    30   8:02 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                                                                              #86                                              Danny Elfman                                                                 Ice Dance
31    31   8:04 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                              The Spinanes                                                             Winter on Ice
32    32   8:08 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                              Thomas Abban                                                                    Winter
33    33   8:12 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                  David Byrne, St. Vincent                                                                   Ice Age
34    34   8:15 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                                  The Cure                                                                      Cold
35    35   8:19 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                               Arcade Fire                                                 Neighborhood #1 (Tunnels)
36    36   8:24 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                                      DEVO                                                                  Snowball
37    37   8:26 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                               Of Montreal                                        A sentence Of Sorts In Kongsvinger
38    38   8:32 AM  VERY SELDOM CASUAL with Doug Adams  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  I wonder if the snow loves the trees and fields, that it kisses them so gently?                                                 Lullatone                                                An Ode to Eaten Snowflakes
