     seq      time                            scheduled_show                           show                                                                    episode                              artist                                                              track
0      0   unknown                                   unknown                        unknown                                                                    unknown                        Gary Portnoy                                               ‘Cheers’ End Credits
1      1  12:01 AM                                   unknown                        unknown                                                                    unknown                         Boyz II Men                                                          Countdown
2      2  12:02 AM                                   unknown                        unknown                                                                    unknown                         UNCERTAINFM  Happy 2025 From UNCERTAINFM and Bob Odenkirk’s Hated Milk Machine
3      3  12:02 AM                                   unknown                        unknown                                                                    unknown                           Bob James                                                           Nautilus
4      4  12:02 AM                                   unknown                        unknown                                                                    unknown                  Angelo Badalamenti                                                   Freshly Squeezed
5      5   9:45 AM           ENJOY THE SILENCE with Silent g                        unknown                                                                    unknown                                Neu!                                                         Hallogallo
6      6   9:45 AM           ENJOY THE SILENCE with Silent g                        unknown                                                                    unknown                                  U2                                                     New Year's Day
7      7  10:01 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                       Liquid Liquid                                                             Cavern
8      8  10:02 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                         Field Music                                             The Limits of Language
9      9  10:06 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                             SPRINTS                                                Shaking Their Hands
10    10  10:09 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                             Allie X                                                  Girl With No Face
11    11  10:14 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                           Cold Cave                                                        Everlasting
12    12  10:18 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                        Unwed Sailor                                                      Final Feather
13    13  10:20 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41          Girlfriends and Boyfriends                                         Lovers In A Dangerous Time
14    14  10:25 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                           Persimmon                                                           Anglesea
15    15  10:25 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                              triage                                                        come n play
16    16  10:32 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                         Attic Ocean                                                               Glow
17    17  10:36 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                       Montel Palmer                                                        Get Into It
18    18  10:38 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                       Still Corners                                                   Lose More Slowly
19    19  10:42 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                        Molchat Doma                                                            Kolesom
20    20  10:46 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                              Sedona                                                         Deadweight
21    21  10:49 AM          GUNS OR BUTTER with Keith Sawyer                 GUNS OR BUTTER                                                                        #41                             Humdrum                                               There And Back Again
