     seq      time                                             scheduled_show                 show                   episode                                            artist                                                                     track
0      0   unknown                                                    unknown              unknown                   unknown                                   Joubert Singers                                       Stand On the Word (Larry Levan Mix)
1      1   unknown                                                    unknown              unknown                   unknown                                       Roy Orbison                                                                Shahdaroba
2      2  12:12 AM                                                    unknown              unknown                   unknown                                     Soul Coughing                                                           I Miss The Girl
3      3  12:16 AM                                                    unknown              unknown                   unknown                                The Gothic Archies                                          Smile! No One Cares How You Feel
4      4  12:18 AM                                                    unknown              unknown                   unknown                                     the furniture              to every roommate i ever made angry, you were probably right
5      5  12:20 AM                                                    unknown              unknown                   unknown                                            Mogwai                                                            Ceiling Granny
6      6  12:23 AM                                                    unknown              unknown                   unknown                                          Set Fire                                                                No Quarter
7      7  12:23 AM                                                    unknown              unknown                   unknown                                            Mekons                                                               Millionaire
8      8  12:33 AM                                                    unknown              unknown                   unknown                                               Ace                                                                  How Long
9      9  12:36 AM                                                    unknown              unknown                   unknown                                 Climax Blues Band                                                     Couldn't Get It Right
10    10  12:39 AM                                                    unknown              unknown                   unknown                                        Dobie Gray                                                                Drift Away
11    11  12:43 AM                                                    unknown              unknown                   unknown                                    Dionne Warwick                                                     I Say a Little Prayer
12    12  12:46 AM                                                    unknown              unknown                   unknown                  Cornelius Brothers & Sister Rose                                                 Too Late to Turn Back Now
13    13  12:49 AM                                                    unknown              unknown                   unknown                                              Sade                                                           Soldier of Love
14    14  12:49 AM                                                    unknown              unknown                   unknown                                   Minnie Riperton                                                                Les Fleurs
15    15  12:58 AM                                                    unknown              unknown                   unknown                                   Elmer Bernstein                                                          Jamaican Bye Bye
16    16   1:00 AM                                                    unknown              unknown                   unknown                                     The Creatures                                                            Standing There
17    17   1:03 AM                                                    unknown              unknown                   unknown                                   Suburban Living                                                                Once/Twice
18    18   1:07 AM                                                    unknown              unknown                   unknown                                          The Cure                                                          Just Like Heaven
19    19   1:10 AM                                                    unknown              unknown                   unknown                 Orchestral Manoeuvres In The Dark                                                        Metroland (Single)
20    20   1:14 AM                                                    unknown              unknown                   unknown                         Nina Simone & Sofi Tukker                                             Sinnerman (Sofi Tukker Remix)
21    21   1:18 AM                                                    unknown              unknown                   unknown                                         Daft Punk                                                              Digital Love
22    22   1:22 AM                                                    unknown              unknown                   unknown                                       World Party                              Ship of Fools (feat. Anthony Thistlethwaite)
23    23   1:27 AM                                                    unknown              unknown                   unknown                                       Fats Domino                                                   I Want to Walk You Home
24    24   1:29 AM                                                    unknown              unknown                   unknown                                            R.E.M.                                            New Orleans Instrumental No. 1
25    25   1:31 AM                                                    unknown              unknown                   unknown                                               MTM                                                                 MTM Kitty
26    26   1:31 AM                                                    unknown              unknown                   unknown                                           Orbital                                         The Girl With the Sun In Her Head
27    27   1:56 AM                                                    unknown              unknown                   unknown                                            Fozzie                                                                   America
28    28   1:56 AM                                                    unknown              unknown                   unknown                                            R.E.M.                                                    Talk About the Passion
29    29   8:03 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #83    illuminati hotties & Hopelessly Devoted To You                                                                  December
30    30   8:06 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK   DUAL CASSETTE DECK                       #83                                   Teenage Fanclub                                                                  December
