     seq      time                                             scheduled_show                                  show                   episode                                       artist                                                   track
0      0   8:02 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                 Jesse Welles                                           United Health
1      1   8:03 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                    Saya Gray                                      SHELL ( OF A MAN )
2      2   8:07 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                    Remi Wolf                                              Cinderella
3      3   8:11 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                      Doechii                                           NISSAN ALTIMA
4      4   8:14 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                   Charly xcx                                                     365
5      5   8:16 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                              Brittany Howard                                        Proove It To You
6      6   8:19 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                Nilüfer Yanya                                            Method Actor
7      7   8:23 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                  St. Vincent                                              Broken Man
8      8   8:26 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK                               unknown                   unknown                                  OT The Real                                                    Blow
9      9   8:32 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS         Moses Sumney, Lyra Ptamuk, Sam Smith                          You Make Me Feel (Mighty Real)
10    10   8:34 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                The Sorcerers                                               Bebaynetu
11    11   8:39 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                        Ke$ha                                                 JOYRIDE
12    12   8:43 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             Childish Gambino                                 A Place Where Love Goes
13    13   8:46 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS      Skrillex, Hamdi, TAICHU, OFFIAH, contra                                                    Push
14    14   8:48 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                        Chinese American Bear                                  Feelin' Fuzzy (毛绒绒的感觉)
15    15   8:51 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             Patricia Brennan                                               Five Suns
16    16   9:00 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Waxahatchee                   Right Back to It (feat. MJ Lenderman)
17    17   9:02 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                Gillian Welch, David Rawlings                                             Howdy Howdy
18    18   9:06 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                              Adrianne Lenker                                           Free Treasure
19    19   9:10 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Angel Olsen                                                Sinkhole
20    20   9:14 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Yin Yin                                  The Year of the Rabbit
21    21   9:18 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Kim Deal                                          Crystal Breath
22    22   9:22 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Tierra Whack                                             SHOWER SONG
23    23   9:25 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               Kendrick Lamar                            tv off (feat. Lefty gunplay)
