     seq      time                            scheduled_show                show                                         episode                                               artist                                                                                                             track
0      0   8:02 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                              Sebadoh                                                                                                             Flame
1      1   8:04 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                   Rodrigo y Gabriela                                                                                                             Orion
2      2   8:08 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                          Deep Purple                                                                                                      Stormbringer
3      3   8:16 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                               T. Rex                                                                                        Children Of The Revolution
4      4   8:20 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                       The Lemonheads                                                                                          Down About It (Acoustic)
5      5   8:22 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                         The Memories                                                                                                  End of the World
6      6   8:25 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                        The Guess Who                                                                                                        These Eyes
7      7   8:27 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                  The Lightning Seeds                                                                                                              Pure
8      8   8:31 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                        The Beta Band                                                                                                      Dry The Rain
9      9   8:41 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                                   U2                                                                                                           Seconds
10    10   8:42 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                             Ian Dury                                                                             Sex &amp; Drugs &amp; Rock &amp; Roll
11    11   8:44 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                              The Jam                                                                                                  The Modern World
12    12   8:47 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                 Elvis Costello &amp; The Attractions                                                                                   (I Don't Want To Go To) Chelsea
13    13   8:50 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                            The Doors                                                                                                    Love Her Madly
14    14   8:53 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                             The Cars                                                                                   You're All I Got Tonight (Demo)
15    15   8:56 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                              Squeeze                                                                                   Take Me I'm Yours (Single Edit)
16    16   9:00 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                          Billy Bragg                                                                                     The Milkman Of Human Kindness
17    17   9:03 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                    Temple of the Dog                                                                                          Hunger Strike (2016 Mix)
18    18   9:06 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                        The Atlantics                                                                                                      Lonelyhearts
19    19   9:09 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                       Throwing Muses                                                                                                Counting Backwards
20    20   9:17 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                            The Kills                                                                                                         Satellite
21    21   9:18 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                      Hanni El Khatib                                                                                                  F--k It, You Win
22    22   9:21 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                        Handsome Furs                                                                                                   When I Get Back
23    23   9:24 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                         Meat Puppets                                                                                                          Rat Farm
24    24   9:29 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                                 Luna                                                                                                  Slash Your Tires
25    25   9:33 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                     Juliana Hatfield                                                                                        Everybody Loves Me But You
26    26   9:37 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                    Little Green Cars                                                                                                    The John Wayne
27    27   9:41 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                                 Blur                                                                                                          Parklife
28    28   9:49 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                              Camille                                                                                                        Ta Douleur
29    29   9:50 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                            Discovery                                                                                                         So Insane
30    30   9:52 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                              Erasure                                                                                                        Oh L'Amour
31    31   9:55 AM           ENJOY THE SILENCE with Silent g             unknown                                         unknown                                          The Members                                                                                                             Radio
32    32  10:01 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                                 A-Ha                                                                                              Hunting High And Low
33    33  10:04 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                           World News                                                                                                          Mindsnap
34    34  10:07 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                The Teardrop Explodes                                                                                                           Treason
35    35  10:12 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                           The Smiths                                                                              There Is a Light That Never Goes Out
36    36  10:15 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                             Baldruin                                                                                           Stimme des Wegelagerers
37    37  10:19 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                            Heaven 17                                                                                                   We Live So Fast
38    38  10:22 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                         Department S                                                                                                  Going Left Right
39    39  10:26 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                          Alien Tears                                                                                                             Blank
40    40  10:29 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                          The Higsons                                                                                                 Push Out The Boat
41    41  10:31 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                         unknown                                        Family Fodder                                                                                                      Debbie Harry
