     seq      time                                  scheduled_show                                        show                                                          episode                                                       artist                                                         track
0      0   8:01 AM                       ENJOY YOUR DAY with Chris                                     unknown                                                          unknown                                                    Big Thief                                                 Spud Infinity
1      1   8:02 AM                       ENJOY YOUR DAY with Chris                                     unknown                                                          unknown                                    Julien Baker &amp; Torres                                             Sugar in the Tank
2      2   8:14 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                            Exploding Flowers                                               Crowded Streets
3      3   8:17 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                               The Lemonheads                                  If I Could Talk I'd Tell You
4      4   8:20 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                                    New Order                                               Love Vigilantes
5      5   8:23 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                      Kitchens of Distinction                                                 Gorgeous Love
6      6   8:27 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                                Cocteau Twins                                             Carolyn’s Fingers
7      7   8:31 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                                  Beach House                                                   Drunk In LA
8      8   8:34 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                                Beach Fossils                                                    Inside Out
9      9   8:38 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                 Bangers Galore on Sick Day, Baby                                                  copperplate                                                   outnumbered
10    10   8:47 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY    Have Been Waiting A While To Do That Beach Beach Back-to-Back                                                    Zack Keim                                                        Canyon
11    11   8:51 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY    Have Been Waiting A While To Do That Beach Beach Back-to-Back                                                   Autocamper                                                       Blanche
