     seq      time                                  scheduled_show                                        show                                                                           episode                                                              artist                                                                                         track
0      0   8:01 AM                       ENJOY YOUR DAY with Chris                                     unknown                                                                           unknown                                                          Diana King                                                                                       Shy Guy
1      1   8:02 AM                       ENJOY YOUR DAY with Chris                                     unknown                                                                           unknown                                                 Beats International                                                                             Dub Be Good to Me
2      2   8:05 AM                       ENJOY YOUR DAY with Chris                                     unknown                                                                           unknown                                                       Happy Mondays                                                                                     Loose Fit
3      3   8:13 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                        Blankenberge                                                                                      Together
4      4   8:17 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                          Lucy Dacus                                                                                        Ankles
5      5   8:21 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                       Daneshevskaya                                                                             Kermit &amp; Gyro
6      6   8:24 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                        Cass McCombs                                                                              Belong to Heaven
7      7   8:26 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                          Paul Simon                                                                           Late In the Evening
8      8   8:30 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                      Jackson Browne                                                                               Lawyers In Love
9      9   8:34 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                         The Walkmen                                                                                        Heaven
10    10   8:38 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                                          Soups Up                                                            Delivery                                                                                     Deadlines
11    11   8:46 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                            The Tubs                                                                                    Narcissist
12    12   8:49 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                           Parannoul                                                                                   Imagination
13    13   8:53 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                        Chime School                                                                                Dead Saturdays
14    14   8:58 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                          The Smiths                                                                                 Cemetry Gates
15    15   9:01 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                           Chew Bear                                                                                Sewing Machine
16    16   9:03 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                    quickly, quickly                                                                                      Enything
17    17   9:06 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                          Ducks Ltd.                                                            Head On (feat. illuminati hotties)
18    18   9:11 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                Picturing Kermit the Frog Eating A Big Sloppy Gyro                                                             Ginnels                                                                                 Lands Faraway
19    19   9:17 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                      Drop Nineteens                                                                                      Mayfield
20    20   9:20 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                           Wednesday                                                                             One More Last One
21    21   9:23 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                        Swervedriver                                                                                     Rave Down
22    22   9:26 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                         Sonic Youth                                                                                   Dirty Boots
23    23   9:32 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                     Stephen Malkmus &amp; The Jicks                                                                                        Shiggy
24    24   9:37 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                         Angel Olsen                                                                               High &amp; Wild
25    25   9:40 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                      Camera Obscura                                                                             Tears for Affairs
26    26   9:44 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                            Apologies to My Fellow Weather Freakos                                                          Shilpa Ray                                                                        Portrait Of A Cat Lady
27    27   9:52 AM                       ENJOY YOUR DAY with Chris                              ENJOY YOUR DAY                                                              Send the Krang Below                                                            Chevelle                                                                           Send the Pain Below
28    28  10:02 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                              Spirit                                                                             Morning Will Come
29    29  10:03 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                   The Three O'Clock                                                                                     I Go Wild
30    30  10:04 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                          Supergrass                                                                                Rush Hour Soul
31    31  10:10 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                  The Rolling Stones                                                                            Stop Breaking Down
32    32  10:12 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                          Steely Dan                                                                                The Boston Rag
33    33  10:16 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                         Baxter Dury                                                                                        Claire
34    34  10:22 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                      The Julie Ruin                                                                         Roses More than Water
35    35  10:25 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                              Pixies                                                                                  Dig for Fire
36    36  10:31 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                                NRBQ                                                                                    Get Rhythm
37    37  10:33 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                          Joe Cocker                                                                                 Space Captain
38    38  10:36 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                            The Cure                                                      All I Ever Am (Live Troxy London MMXXIV)
39    39  10:41 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                              Sponge                                                                                    Supersonic
40    40  10:46 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                               The New Pornographers                                                                                        Use It
41    41  10:54 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                           The Clash                                                                                     Koka Kola
42    42  10:56 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                      The Undertones                                                                           (She's a) Runaround
43    43  10:57 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                       The Flatmates                                                                         You're Gonna Get Hurt
44    44  10:59 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                           Joan Jett                                                                        What Can I Do for You?
45    45  11:01 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                           The Muffs                                                                                      Crush Me
46    46  11:03 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                      Emmylou Harris                                                              Didn't Leave Nobody But The Baby
47    47  11:05 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                        Janis Joplin                                                                                 Mercedes Benz
48    48  11:07 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                            Elastica                                                                                      Car Song
49    49  11:08 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                The Groovie Ghoulies                                                                            Planet Brian Jones
50    50  11:11 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                         The Beatles                                                               Why Don't We Do It In the Road?
51    51  11:14 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                             Orbital                                                                               The Saint Theme
52    52  11:16 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                          The Police                                                                                  Masoko Tanga
53    53  11:20 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                  Big Audio Dynamite                                                                                 Limbo The Law
54    54  11:26 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                         The Members                                                                           Radio (Dub Version)
55    55  11:36 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                      Thompson Twins                                                                Who Wants To Be A Millionaire?
56    56  11:37 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                    John Butler Trio                                                                              Used to Get High
57    57  11:40 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                    Long John Baldry                                                                                 It Ain't Easy
58    58  11:44 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                                   Something Happens                                                                                     Parachute
59    59  11:49 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL                                                                           unknown                                      Graham Parker &amp; The Rumour                                                                               I Want You Back
60    60  11:57 AM              VERY SELDOM CASUAL with Doug Adams                          VERY SELDOM CASUAL  Thanks for listening! (No babies were harmed during the making of this photoplay                                                           The Hives                                                                     Hate to Say I Told You So
61    61  12:01 AM                                         unknown                          VERY SELDOM CASUAL  Thanks for listening! (No babies were harmed during the making of this photoplay                                                      Obi-Wan Kenobi                                                                     This Message Is a Warning
62    62  12:02 AM                                         unknown                          VERY SELDOM CASUAL  Thanks for listening! (No babies were harmed during the making of this photoplay                                                        Frank Turner                                                                         The Sand in the Gears
63    63  12:03 AM                                         unknown                          VERY SELDOM CASUAL  Thanks for listening! (No babies were harmed during the making of this photoplay                                                    Titus Andronicus                                                                             We're Coming Back
64    64  12:05 AM                                         unknown                          VERY SELDOM CASUAL  Thanks for listening! (No babies were harmed during the making of this photoplay                                                         Ezra Furman                                                                     Tell Em All to Go to Hell
65    65  12:08 AM                                         unknown                          VERY SELDOM CASUAL  Thanks for listening! (No babies were harmed during the making of this photoplay                                                        Magneta Lane                                                                            Leave The Light On
66    66  12:15 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                            Sade Adu                                                                                    Young Lion
67    67  12:17 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                     The Raveonettes                                                                               Uncertain Times
68    68  12:21 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                      Sara Bareilles                                                                                         Brave
69    69  12:24 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                     Kacey Musgraves                                                                             Follow Your Arrow
70    70  12:28 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                            Worriers                                                                              They/Them/Theirs
71    71  12:31 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                         Against Me!                                                                         True Trans Soul Rebel
72    72  12:34 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                             Garbage                                                                                     Androgyny
73    73  12:37 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                          Lily Allen                                                                                      Fuck You
74    74  12:40 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                    Sam Roberts Band                                                                    We're All In This Together
75    75  12:44 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                         Beach Bunny                                                                Cloud 9 (feat. Tegan and Sara)
76    76  12:49 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                       Fun Boy Three                                                     The Lunatics (Have Taken Over the Asylum)
77    77  12:51 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                           The Clash                                                                              Know Your Rights
78    78  12:54 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                   Tom Morello, The Bloody Beetroots  Radium Girls (feat. Pussy Riot, The Last Internationale, Aimee Interrupter &amp; White Lung)
79    79  12:58 AM                                         unknown                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                        Public Enemy     Fight the Power: Remix 2020 (feat. Nas, Rapsody, Black Thought, Jahi, YG &amp; Questlove)
80    80   1:01 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                           clipping.                                                                                   Chapter 319
81    81   1:06 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                          Body Count                                                        Comfortably Numb (feat. David Gilmour)
82    82   1:10 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                            Jyn Erso                                                                  Rebellions Are Built on Hope
83    83   1:16 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                      Gogol Bordello                  Solidarity (feat. Bernard Sumner (New Order)) [Gogol Bordello’s “Unity” Mix]
84    84   1:17 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                      Girl In a Coma                                                                       As the World Falls Down
85    85   1:21 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                    World/Inferno Friendship Society                                                                            I'll Be Your Alibi
86    86   1:24 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                          Ethel Cain                                                                             American Teenager
87    87   1:27 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                       Janelle Monáe                                                                                     Americans
88    88   1:32 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                    Hot 8 Brass Band                                                                              Working Together
89    89   1:36 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                      Chicano Batman                                                                        This Land Is Your Land
90    90   1:40 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                   Mariachi El Bronx                                                         Friends Can Make You Smile (Yo Gabba)
91    91   1:43 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                         Jimmy Cliff                                                                          The Harder They Come
92    92   1:44 PM             RADIO FREE ENTROPY with Mike Tatroe                          RADIO FREE ENTROPY                                                               WeLcOmE tO tHe ShOw                                                           Eric Bibb                                                   Don't Ever Let Nobody Drag Your Spirit Down
