     seq      time                           scheduled_show                show                                               episode                                                      artist                                                                                     track
0      0   6:02 AM  SURREPTITIOUS MUSIC with Matt Lavallee              unknown                                               unknown                                                Beastie Boys                                                                           Get It Together
1      1   8:02 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                    Paperboy                                                                        Ditty (Radio Edit)
2      2   8:06 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                      Afu-Ra                                                                                God of Rap
3      3   8:09 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                       Lizzo                                                 Batches &amp; Cookies (feat. Sophia Eris)
4      4   8:13 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                     Rihanna                                                                                  Rude Boy
5      5   8:16 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                   DJ Shadow               C.O.N.F.O.R.M. (f. Gift Of Gab, Lateef The Truth Speaker, and Infamous Taz)
6      6   8:20 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                Terror Squad                                                         Lean Back (f. Fat Joe &amp; Remy)
7      7   8:23 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                 Major Lazer                                         Bubble Butt (feat. Bruno Mars, Tyga &amp; Mystic)
8      8   8:26 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                 Jagged Edge                                                                        Where the Party At
9      9   8:27 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                             Destiny's Child                                                                                  Survivor
10    10   8:35 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                  Superchunk                                                                           Break the Glass
11    11   8:36 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                 The Urinals                                                                                 I'm A Bug
12    12   8:38 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                     Battles                                                                                 Ddiamondd
13    13   8:40 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                       Death from Above 1979                                                                   Right On, Frankenstein!
14    14   8:42 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                        They Might Be Giants                                                              I Should Be Allowed To Think
15    15   8:45 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                        Lush                                                                                  For Love
16    16   8:48 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                     Cracker                                                                      This Is Cracker Soul
17    17   8:52 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                        LIVE                                               Operation Spirit (The Tyranny of Tradition)
18    18   8:58 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                   Liz Phair                                                                           Johnny Sunshine
19    19   8:59 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                      Pixies                                                                              Tony's Theme
20    20   9:02 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                         The Magnetic Fields                                                   The Luckiest Guy On The Lower East Side
21    21   9:04 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                          The Mountain Goats                                                  The Best Ever Death Metal Band in Denton
22    22   9:08 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                 Tenacious D                                                                                 Wonderboy
23    23   9:10 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                             HomeStar Runner                                                                                   Trogdor
24    24   9:14 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                            The Replacements                                                                         Bastards of Young
25    25   9:15 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                   D-Tension                                                                            Kenmore Square
26    26   9:19 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                 The Mighty Mighty Bosstones                                                                       They Came To Boston
27    27   9:25 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                    Pavement                                                              Summer Babe (Winter Version)
28    28   9:26 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                          Japanese Breakfast                                                                                  Be Sweet
29    29   9:29 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                                 Yo La Tengo                                                                                 Mr. Tough
30    30   9:32 AM            CHÉZ BEETS with Mark Hamilton             unknown                                               unknown                                        They Might Be Giants                                                                              Minimum Wage
