     seq      time                                  scheduled_show                show                                                                           episode                                artist                                                                               track
0      0   8:01 AM                       ENJOY YOUR DAY with Chris             unknown                                                                           unknown                            Deerhunter                                                                  Back to the Middle
1      1   8:02 AM                       ENJOY YOUR DAY with Chris             unknown                                                                           unknown                          The National                                                                     Apartment Story
2      2   8:04 AM                       ENJOY YOUR DAY with Chris             unknown                                                                           unknown                   Hamilton Leithauser                                                                      Knockin' Heart
3      3   8:11 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                                 Momma                                                                  I Want You (Fever)
4      4   8:15 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                           Veruca Salt                                                                       Volcano Girls
5      5   8:18 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                             That Dog.                                                                         Minneapolis
6      6   8:21 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                         Casper Skulls                                                                         Roddy Piper
7      7   8:25 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                          Ribbon Skirt                                                                        Wrong Planet
8      8   8:28 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                       Letters to Cleo                                                                               Awake
9      9   8:32 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                             Alex Vile                                                                         Back On You
10    10   8:36 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                         Velocity Girl                                                                          Go Coastal
11    11   8:38 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                             We're Just Normal Men                                 mishi                                                                         party trick
12    12   8:43 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                        Tunde Adebimpe                                                                                Drop
13    13   8:48 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                                Beulah                                                           Emma Blowgun's Last Stand
14    14   8:52 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                          Bishop Allen                                                                                Rain
15    15   8:57 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts               Echo &amp; The Bunnymen                                                                          Seven Seas
16    16   9:01 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                          Aztec Camera                                                                  Walk Out to Winter
17    17   9:04 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                             Split Enz                                                          Six Months In a Leaky Boat
18    18   9:07 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                      The English Beat                                                                           I Confess
19    19   9:12 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts                           Haircut 100                                                                       Love Plus One
20    20   9:16 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                                      Hot Thoughts       Letting Up Despite Great Faults                                                                             Cascade
21    21   9:23 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                               Florist                                                                         Have Heaven
22    22   9:28 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                     Number One Lovers                                                                      Lonesome Light
23    23   9:31 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                        Built to Spill                                                                                Else
24    24   9:33 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                               Islands                                                        Don't Call Me Whitney, Bobby
25    25   9:38 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                           Jens Lekman                                                  Friday Night at the Drive-In Bingo
26    26   9:40 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                   The Magnetic Fields                                                                 All My Little Words
27    27   9:44 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                             Wednesday                                                                   Chosen to Deserve
28    28   9:47 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                                  Lotta Wet Songs In That Last Set                           Waxahatchee                                                                                 Mud
29    29   9:55 AM                       ENJOY YOUR DAY with Chris      ENJOY YOUR DAY                                    Loud Songs from 2002 Continue (Until I Forget)                               Nirvana                                                               You Know You're Right
30    30  10:02 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                               Chelsea                                                               War Across the Nation
31    31  10:03 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                          The Transits                                                                  Come Melt My Heart
32    32  10:05 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                   Bis                                                                    Action And Drama
33    33  10:10 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                           Sheryl Crow                                                          A Change Would Do You Good
34    34  10:12 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                 Wings                                                                      Venus and Mars
35    35  10:16 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                                 Wings                                                                           Rock Show
36    36  10:17 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                      Apples in Stereo                                                                      Strawberryfire
37    37  10:23 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                          The Ratchets                                                                     Policy of Truth
38    38  10:32 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                     The Three O'Clock                                                        With a Cantaloupe Girlfriend
39    39  10:34 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                         The Waterboys                                                                   I Will Not Follow
40    40  10:36 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                              The Cure                                                                      Hot Hot Hot!!!
41    41  10:42 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                              Kasabian                                                          Where Did All The Love Go?
42    42  10:45 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                        The Del Fuegos                                                                      Don't Run Wild
43    43  10:52 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                             Karen Dió                                                                            My World
44    44  10:54 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown  Elvis Costello &amp; The Attractions                                                   I Can't Stand Up For Falling Down
45    45  10:56 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                     The Count Bishops                                                                     I Ain't Got You
46    46  10:58 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                           David Bowie                                                                 Don't Bring Me Down
47    47  10:59 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                      Guided By Voices                                                             Elfin Flower With Knees
48    48  11:01 AM              VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                                                           unknown                       The Buckinghams                                                                      Kind of a Drag
