     seq      time                                             scheduled_show                                  show                                              episode                                          artist                                                                         track
0      0   8:02 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                      Status Quo                                                               Again and Again
1      1   8:03 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                    Adrian Belew                                                                      I'm Down
2      2   8:07 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                      Teddybears                                                Get Mama a House (feat. B.o.B)
3      3   8:13 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                       Bob Dylan                                                                        Jolene
4      4   8:15 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                       Dan Baird                                                             Pick Up The Knife
5      5   8:18 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                           Elbow                                                                          Balu
6      6   8:23 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                            INXS                                                                     Wild Life
7      7   8:27 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                      Pretenders                                                                   Up the Neck
8      8   8:34 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                         The Jam                                                             News Of The World
9      9   8:35 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                         Madonna                                                               Open Your Heart
10    10   8:38 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                          Manic Street Preachers                                                           Out Of Time Revival
11    11   8:42 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                               The J. Geils Band                                                               Just Can't Wait
12    12   8:45 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                      The B-52's                                                                          Pump
13    13   8:53 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                        Elastica                                                                    Connection
14    14   8:55 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                            Wire                                                             Three Girl Rhumba
15    15   8:57 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                    Dr. Feelgood                                                               She's a Wind Up
16    16   8:59 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                    Randy Newman                                                      He Gives Us All His Love
17    17   9:01 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                   Woody Guthrie                                                                  Dance Around
18    18   9:02 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                 Yeah Yeah Yeahs                                                                Yeah! New York
19    19   9:05 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                         Ratboys                                                             Crossed that Line
20    20   9:07 AM                         VERY SELDOM CASUAL with Doug Adams                    VERY SELDOM CASUAL                                              unknown                                      Barry Gray                                                                     UFO Theme
