     seq      time                                             scheduled_show                show                                               episode                                artist                                                       track
0      0   8:01 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                      Juliana Hatfield                                                 What a Life
1      1   8:02 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                              Morphine                                                    Thursday
2      2   8:05 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                         Todd Rundgren                                    Couldn't I Just Tell You
3      3   8:12 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                            Larkin Poe                                           If God Is a Woman
4      4   8:14 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                           John Lennon                                           How Do You Sleep?
5      5   8:17 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                          Stan Ridgway                                             Drive, She Said
6      6   8:23 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                      Lucinda Williams                                                Can't Let Go
7      7   8:26 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                                  NRBQ                      Howard Johnson's Got His Ho-Jo Working
8      8   8:33 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown         Jeff Lorber &amp; Karen White                                           The Facts of Love
9      9   8:35 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                             Sea Level                                            Scarborough Fair
10    10   8:39 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                             Kate Bush                                        Night of the Swallow
11    11   8:44 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                         Mike Oldfield                                              Five Miles Out
12    12   8:54 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                     The Neighborhoods                                          No Place Like Home
13    13   8:55 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                          Mose Allison                                           Young Man's Blues
14    14   8:57 AM                         VERY SELDOM CASUAL with Doug Adams  VERY SELDOM CASUAL                                               unknown                             Green Day                                                  The Grouch
